Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,-9999
44,Alex Erickson,0,0,0,0,0,Sun,12,12,2022-11-27,30-021,WAS,,ATL,W 19-13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,EricAl01
45,Derek Watt,0,0,0,0,0,Sun,7,7,2022-10-23,29-350,PIT,@,MIA,L 10-16,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,WattDe00
46,Derek Watt,0,0,0,0,0,Sun,6,6,2022-10-16,29-343,PIT,,TAM,W 20-18,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,WattDe00
47,C.J. Uzomah,0,0,0,0,0,Sun,10,11,2022-11-20,29-310,NYJ,@,NWE,L 3-10,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,UzomC.00
48,Nick Vannett,0,0,0,0,0,Sat,15,16,2022-12-24,29-293,NYG,@,MIN,L 24-27,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,VannNi00
49,Nick Boyle,0,0,0,0,0,Sun,12,13,2022-12-04,29-290,BAL,,DEN,W 10-9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,BoylNi00
50,Nick Boyle,0,0,0,0,0,Sun,11,12,2022-11-27,29-283,BAL,@,JAX,L 27-28,0,0,0,14,14,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,BoylNi00
51,Nick Vannett,0,0,0,0,0,Sun,12,13,2022-12-04,29-273,NYG,,WAS,T 20-20 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,VannNi00
52,Stephen Anderson,0,0,0,0,0,Thu,7,7,2022-10-20,29-263,ARI,,NOR,W 42-34,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,AndeSt01
53,DeVante Parker,0,0,0,0,0,Sun,5,5,2022-10-09,29-262,NWE,,DET,W 29-0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,ParkDe01
54,C.J. Uzomah,0,0,0,0,0,Sun,4,4,2022-10-02,29-261,NYJ,@,PIT,W 24-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,UzomC.00
55,Stephen Anderson,0,0,0,0,0,Sun,4,4,2022-10-02,29-245,ARI,@,CAR,W 26-16,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,AndeSt01
56,Stephen Anderson,0,0,0,0,0,Sun,3,3,2022-09-25,29-238,ARI,,LAR,L 12-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,AndeSt01
57,Keelan Cole,0,0,0,0,0,Sun,12,13,2022-12-04,29-228,LVR,,LAC,W 27-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,ColeKe00
58,Brandon Zylstra,0,0,0,0,0,Sun,8,9,2022-11-06,29-226,DET,,GNB,W 15-9,0,0,0,19,19,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,ZylsBr00
59,Stephen Anderson,0,0,0,0,0,Sun,1,1,2022-09-11,29-224,ARI,,KAN,L 21-44,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,AndeSt01
60,Nelson Agholor,0,0,0,0,0,Sat,15,16,2022-12-24,29-214,NWE,,CIN,L 18-22,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,AghoNe00
61,Keelan Cole,0,0,0,0,0,Mon,5,5,2022-10-10,29-173,LVR,@,KAN,L 29-30,0,0,0,3,3,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,ColeKe00
62,Keelan Cole,0,0,0,0,0,Sun,4,4,2022-10-02,29-165,LVR,,DEN,W 32-23,0,0,0,7,7,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,ColeKe00
63,C.J. Ham,0,0,0,0,0,Sun,12,13,2022-12-04,29-135,MIN,,NYJ,W 27-22,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,HamxC.00
64,Ameer Abdullah,0,0,0,0,0,Mon,5,5,2022-10-10,29-119,LVR,@,KAN,L 29-30,0,0,0,16,16,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,AbduAm00
65,Ameer Abdullah,0,0,0,0,0,Sun,4,4,2022-10-02,29-111,LVR,,DEN,W 32-23,0,0,0,17,17,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,AbduAm00
66,Ameer Abdullah,0,0,0,0,0,Sun,3,3,2022-09-25,29-104,LVR,@,TEN,L 22-24,0,0,0,23,23,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,AbduAm00
67,C.J. Ham,0,0,0,0,0,Sun,7,8,2022-10-30,29-100,MIN,,ARI,W 34-26,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,HamxC.00
68,Cody Hollister,0,0,0,0,0,Sun,11,12,2022-11-27,29-009,TEN,,CIN,L 16-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,HollCo00
69,C.J. Board,0,0,0,0,0,Sun,11,12,2022-11-27,28-350,TEN,,CIN,L 16-20,0,0,0,62,62,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,BoarC.00
70,C.J. Board,0,0,0,0,0,Thu,10,11,2022-11-17,28-340,TEN,@,GNB,W 27-17,0,0,0,12,12,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,BoarC.00
71,Cody Hollister,0,0,0,0,0,Sun,5,5,2022-10-09,28-325,TEN,@,WAS,W 21-17,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,HollCo00
72,Chester Rogers,0,0,0,0,0,Sun,5,5,2022-10-09,28-270,CLE,,LAC,L 28-30,0,0,0,64,64,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,RogeCh02
73,Chester Rogers,0,0,0,0,0,Thu,3,3,2022-09-22,28-253,CLE,,PIT,W 29-17,0,0,0,11,11,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,RogeCh02
74,Trent Taylor,0,0,0,0,0,Sun,16,18,2023-01-08,28-253,CIN,,BAL,W 27-16,0,0,0,12,12,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
75,Jonathan Williams,0,0,0,0,0,Sun,5,5,2022-10-09,28-249,WAS,,TEN,L 17-21,0,0,0,19,19,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,WillJo07
76,Eric Saubert,0,0,0,0,0,Sun,15,16,2022-12-25,28-238,DEN,@,LAR,L 14-51,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,SaubEr00
77,Trent Taylor,0,0,0,0,0,Sat,15,16,2022-12-24,28-238,CIN,@,NWE,W 22-18,0,0,0,35,35,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,TaylTr02
