Rk,Player,STSnp,Day,G#,Week,Date,Age,Team,,Opp,Result,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
59,Kyle Rudolph,1,Sun,16,17,2023-01-01,33-053,TAM,,CAR,W 30-24,11,14.1,0,0.0,1,3.2,TE,RudoKy00
60,Ryan Griffin,12,Sun,17,18,2023-01-08,32-362,CHI,,MIN,L 13-29,3,5.9,0,0.0,12,52.2,TE,GrifRy00
61,Ryan Griffin,19,Sun,16,17,2023-01-01,32-355,CHI,@,DET,L 10-41,8,15.4,0,0.0,19,63.3,TE,GrifRy00
62,Ryan Griffin,13,Sat,15,16,2022-12-24,32-347,CHI,,BUF,L 13-35,17,27.0,0,0.0,13,52.0,TE,GrifRy00
63,Brandon Bolden,15,Sat,17,18,2023-01-07,32-346,LVR,,KAN,L 13-31,0,0.0,0,0.0,15,65.2,RB,BoldBr00
64,Ryan Griffin,16,Sun,14,15,2022-12-18,32-341,CHI,,PHI,L 20-25,15,25.4,0,0.0,16,64.0,TE,GrifRy00
65,Brandon Bolden,19,Sun,16,17,2023-01-01,32-340,LVR,,SFO,L 34-37 (OT),15,21.4,0,0.0,19,57.6,RB,BoldBr00
66,Brandon Bolden,15,Sat,15,16,2022-12-24,32-332,LVR,@,PIT,L 10-13,2,3.8,0,0.0,15,68.2,RB,BoldBr00
67,Ryan Griffin,12,Sun,13,13,2022-12-04,32-327,CHI,,GNB,L 19-28,16,30.8,0,0.0,12,50.0,TE,GrifRy00
68,Brandon Bolden,24,Sun,14,15,2022-12-18,32-326,LVR,,NWE,W 30-24,0,0.0,0,0.0,24,75.0,RB,BoldBr00
69,Ryan Griffin,13,Sun,12,12,2022-11-27,32-320,CHI,@,NYJ,L 10-31,2,3.5,0,0.0,13,52.0,TE,GrifRy00
70,Brandon Bolden,17,Thu,13,14,2022-12-08,32-316,LVR,@,LAR,L 16-17,1,1.7,0,0.0,17,68.0,RB,BoldBr00
71,Ryan Griffin,14,Sun,11,11,2022-11-20,32-313,CHI,@,ATL,L 24-27,8,11.6,0,0.0,14,51.9,TE,GrifRy00
72,Brandon Bolden,19,Sun,12,13,2022-12-04,32-312,LVR,,LAC,W 27-20,0,0.0,0,0.0,19,63.3,RB,BoldBr00
73,Ryan Griffin,14,Sun,10,10,2022-11-13,32-306,CHI,,DET,L 30-31,13,21.3,0,0.0,14,48.3,TE,GrifRy00
74,Brandon Bolden,11,Sun,11,12,2022-11-27,32-305,LVR,@,SEA,W 40-34 (OT),0,0.0,0,0.0,11,32.4,RB,BoldBr00
75,Ryan Griffin,13,Sun,9,9,2022-11-06,32-299,CHI,,MIA,L 32-35,2,2.7,0,0.0,13,50.0,TE,GrifRy00
76,Brandon Bolden,19,Sun,10,11,2022-11-20,32-298,LVR,@,DEN,W 22-16 (OT),3,4.5,0,0.0,19,65.5,RB,BoldBr00
77,Ryan Griffin,7,Sun,8,8,2022-10-30,32-292,CHI,@,DAL,L 29-49,6,7.6,0,0.0,7,24.1,TE,GrifRy00
78,Brandon Bolden,17,Sun,9,10,2022-11-13,32-291,LVR,,IND,L 20-25,0,0.0,0,0.0,17,73.9,RB,BoldBr00
79,Ryan Griffin,9,Mon,7,7,2022-10-24,32-286,CHI,@,NWE,W 33-14,11,15.5,0,0.0,9,36.0,TE,GrifRy00
80,Brandon Bolden,17,Sun,8,9,2022-11-06,32-284,LVR,@,JAX,L 20-27,4,6.8,0,0.0,17,63.0,RB,BoldBr00
81,Brandon Bolden,14,Sun,7,8,2022-10-30,32-277,LVR,@,NOR,L 0-24,1,1.7,0,0.0,14,73.7,RB,BoldBr00
82,Ryan Griffin,5,Thu,6,6,2022-10-13,32-275,CHI,,WAS,L 7-12,3,4.2,0,0.0,5,25.0,TE,GrifRy00
83,Ryan Griffin,6,Sun,5,5,2022-10-09,32-271,CHI,@,MIN,L 22-29,13,26.0,0,0.0,6,26.1,TE,GrifRy00
84,Brandon Bolden,16,Sun,6,7,2022-10-23,32-270,LVR,,HOU,W 38-20,0,0.0,0,0.0,16,59.3,RB,BoldBr00
85,Brandon Bolden,13,Mon,5,5,2022-10-10,32-257,LVR,@,KAN,L 29-30,10,15.6,0,0.0,13,46.4,RB,BoldBr00
86,Ryan Griffin,9,Sun,2,2,2022-09-18,32-250,CHI,@,GNB,L 10-27,11,26.8,0,0.0,9,40.9,TE,GrifRy00
87,Brandon Bolden,20,Sun,4,4,2022-10-02,32-249,LVR,,DEN,W 32-23,5,6.7,0,0.0,20,62.5,RB,BoldBr00
88,Ryan Griffin,13,Sun,1,1,2022-09-11,32-243,CHI,,SFO,W 19-10,31,53.4,0,0.0,13,54.2,TE,GrifRy00
89,Brandon Bolden,8,Sun,3,3,2022-09-25,32-242,LVR,@,TEN,L 22-24,25,35.7,0,0.0,8,33.3,RB,BoldBr00
90,Brandon Bolden,13,Sun,1,1,2022-09-11,32-228,LVR,@,LAC,L 19-24,16,27.6,0,0.0,13,54.2,RB,BoldBr00
91,Rex Burkhead,4,Sun,14,15,2022-12-18,32-169,HOU,,KAN,L 24-30 (OT),12,19.0,0,0.0,4,14.3,RB,BurkRe00
92,Rex Burkhead,6,Sun,13,14,2022-12-11,32-162,HOU,@,DAL,L 23-27,5,7.6,0,0.0,6,21.4,RB,BurkRe00
93,Rex Burkhead,2,Sun,11,12,2022-11-27,32-148,HOU,@,MIA,L 15-30,11,18.0,0,0.0,2,6.7,RB,BurkRe00
94,Taysom Hill,13,Sun,17,18,2023-01-08,32-138,NOR,,CAR,L 7-10,18,30.0,0,0.0,13,65.0,TE/QB,HillTa00
95,Randall Cobb,3,Sun,16,17,2023-01-01,32-132,GNB,,MIN,W 41-17,29,46.0,0,0.0,3,10.7,WR,CobbRa00
96,Taysom Hill,14,Sun,16,17,2023-01-01,32-131,NOR,@,PHI,W 20-10,31,44.9,0,0.0,14,53.8,TE/QB,HillTa00
97,Randall Cobb,1,Sun,15,16,2022-12-25,32-125,GNB,@,MIA,W 26-20,32,48.5,0,0.0,1,3.8,WR,CobbRa00
98,Taysom Hill,15,Sat,15,16,2022-12-24,32-123,NOR,@,CLE,W 17-10,25,46.3,0,0.0,15,68.2,TE/QB,HillTa00
99,Rex Burkhead,3,Sun,7,8,2022-10-30,32-120,HOU,,TEN,L 10-17,10,18.5,0,0.0,3,11.1,RB,BurkRe00
100,Randall Cobb,1,Mon,14,15,2022-12-19,32-119,GNB,,LAR,W 24-12,29,40.8,0,0.0,1,4.8,WR,CobbRa00
101,Taysom Hill,15,Sun,14,15,2022-12-18,32-117,NOR,,ATL,W 21-18,24,43.6,0,0.0,15,68.2,TE/QB,HillTa00
102,Adam Thielen,1,Sun,13,14,2022-12-11,32-111,MIN,@,DET,L 23-34,61,93.8,0,0.0,1,3.4,WR,ThieAd00
103,Randall Cobb,1,Sun,13,13,2022-12-04,32-104,GNB,@,CHI,W 28-19,33,50.0,0,0.0,1,4.2,WR,CobbRa00
104,Taysom Hill,11,Mon,13,13,2022-12-05,32-104,NOR,@,TAM,L 16-17,27,45.8,0,0.0,11,40.7,TE/QB,HillTa00
105,Taysom Hill,8,Sun,12,12,2022-11-27,32-096,NOR,@,SFO,L 0-13,28,49.1,0,0.0,8,47.1,TE/QB,HillTa00
106,Rex Burkhead,2,Sun,4,4,2022-10-02,32-092,HOU,,LAC,L 24-34,18,31.6,0,0.0,2,6.9,RB,BurkRe00
107,Taysom Hill,11,Sun,11,11,2022-11-20,32-089,NOR,,LAR,W 27-20,24,42.1,0,0.0,11,35.5,TE/QB,HillTa00
108,Randall Cobb,1,Thu,11,11,2022-11-17,32-087,GNB,,TEN,L 17-27,34,55.7,0,0.0,1,4.5,WR,CobbRa00
109,Taysom Hill,8,Sun,10,10,2022-11-13,32-082,NOR,@,PIT,L 10-20,19,40.4,0,0.0,8,33.3,TE/QB,HillTa00
110,Taysom Hill,9,Mon,9,9,2022-11-07,32-076,NOR,,BAL,L 13-27,17,33.3,0,0.0,9,34.6,TE/QB,HillTa00
111,Taysom Hill,7,Sun,8,8,2022-10-30,32-068,NOR,,LVR,W 24-0,23,35.9,0,0.0,7,36.8,TE/QB,HillTa00
112,Taysom Hill,8,Thu,7,7,2022-10-20,32-058,NOR,@,ARI,L 34-42,18,25.0,0,0.0,8,25.0,TE/QB,HillTa00
113,Adam Thielen,1,Sun,6,6,2022-10-16,32-055,MIN,@,MIA,W 24-16,45,86.5,0,0.0,1,3.2,WR,ThieAd00
114,Taysom Hill,6,Sun,6,6,2022-10-16,32-054,NOR,,CIN,L 26-30,15,20.8,0,0.0,6,20.7,TE/QB,HillTa00
115,Taysom Hill,15,Sun,5,5,2022-10-09,32-047,NOR,,SEA,W 39-32,23,29.9,0,0.0,15,44.1,TE/QB,HillTa00
116,Taysom Hill,8,Sun,4,4,2022-10-02,32-040,NOR,,MIN,L 25-28,12,20.0,0,0.0,8,25.8,TE/QB,HillTa00
117,Taysom Hill,12,Sun,2,2,2022-09-18,32-026,NOR,,TAM,L 10-20,6,8.8,0,0.0,12,46.2,TE/QB,HillTa00
118,Taysom Hill,9,Sun,1,1,2022-09-11,32-019,NOR,@,ATL,W 27-26,16,26.2,0,0.0,9,28.1,TE/QB,HillTa00
119,Zach Ertz,2,Thu,7,7,2022-10-20,31-344,ARI,,NOR,W 42-34,53,80.3,0,0.0,2,6.3,TE,ErtzZa00
120,Marquise Goodwin,1,Sun,7,7,2022-10-23,31-338,SEA,@,LAC,W 37-23,38,53.5,0,0.0,1,3.4,WR,GoodMa00
121,Zach Ertz,1,Sun,4,4,2022-10-02,31-326,ARI,@,CAR,W 26-16,62,81.6,0,0.0,1,4.3,TE,ErtzZa00
122,Marquise Goodwin,1,Sun,4,4,2022-10-02,31-317,SEA,@,DET,W 48-45,29,41.4,0,0.0,1,3.0,WR,GoodMa00
123,Cordarrelle Patterson,4,Sun,17,18,2023-01-08,31-297,ATL,,TAM,W 30-17,19,27.9,0,0.0,4,14.3,RB,PattCo00
124,Cordarrelle Patterson,6,Sun,16,17,2023-01-01,31-290,ATL,,ARI,W 20-19,31,50.0,0,0.0,6,24.0,RB,PattCo00
125,Cordarrelle Patterson,5,Sat,15,16,2022-12-24,31-282,ATL,@,BAL,L 9-17,26,36.6,0,0.0,5,23.8,RB,PattCo00
126,Cordarrelle Patterson,4,Sun,14,15,2022-12-18,31-276,ATL,@,NOR,L 18-21,37,50.0,0,0.0,4,18.2,RB,PattCo00
127,Cordarrelle Patterson,6,Sun,13,13,2022-12-04,31-262,ATL,,PIT,L 16-19,25,46.3,0,0.0,6,24.0,RB,PattCo00
128,Kyle Juszczyk,4,Sun,17,18,2023-01-08,31-260,SFO,,ARI,W 38-13,27,43.5,0,0.0,4,15.4,FB,JuszKy00
129,Cordarrelle Patterson,5,Sun,12,12,2022-11-27,31-255,ATL,@,WAS,L 13-19,33,57.9,0,0.0,5,20.8,RB,PattCo00
130,Kyle Juszczyk,3,Sun,16,17,2023-01-01,31-253,SFO,@,LVR,W 37-34 (OT),31,46.3,0,0.0,3,9.1,FB,JuszKy00
131,Cordarrelle Patterson,5,Sun,11,11,2022-11-20,31-248,ATL,,CHI,W 27-24,27,49.1,0,0.0,5,18.5,RB,PattCo00
132,Kyle Juszczyk,6,Sat,15,16,2022-12-24,31-245,SFO,,WAS,W 37-20,22,42.3,0,0.0,6,22.2,FB,JuszKy00
133,Cordarrelle Patterson,7,Thu,10,10,2022-11-10,31-238,ATL,@,CAR,L 15-25,24,38.1,0,0.0,7,24.1,RB,PattCo00
134,Kyle Juszczyk,10,Thu,14,15,2022-12-15,31-236,SFO,@,SEA,W 21-13,33,51.6,0,0.0,10,35.7,FB,JuszKy00
135,Kyle Juszczyk,4,Sun,13,14,2022-12-11,31-232,SFO,,TAM,W 35-7,41,65.1,0,0.0,4,19.0,FB,JuszKy00
136,Kyle Juszczyk,8,Sun,12,13,2022-12-04,31-225,SFO,,MIA,W 33-17,46,54.8,0,0.0,8,26.7,FB,JuszKy00
137,Kyle Juszczyk,5,Sun,11,12,2022-11-27,31-218,SFO,,NOR,W 13-0,30,42.9,0,0.0,5,29.4,FB,JuszKy00
138,Kyle Juszczyk,7,Mon,10,11,2022-11-21,31-212,SFO,@,ARI,W 38-10,25,43.1,0,0.0,7,26.9,FB,JuszKy00
139,Kyle Juszczyk,4,Sun,9,10,2022-11-13,31-204,SFO,,LAC,W 22-16,27,38.0,0,0.0,4,14.3,FB,JuszKy00
140,Cordarrelle Patterson,6,Sun,3,3,2022-09-25,31-192,ATL,@,SEA,W 27-23,35,61.4,0,0.0,6,24.0,RB,PattCo00
141,Cameron Brate,7,Sun,17,18,2023-01-08,31-189,TAM,@,ATL,L 17-30,27,49.1,0,0.0,7,25.0,TE,BratCa00
142,Cordarrelle Patterson,7,Sun,2,2,2022-09-18,31-185,ATL,@,LAR,L 27-31,36,59.0,0,0.0,7,30.4,RB,PattCo00
143,Kyle Juszczyk,5,Sun,7,7,2022-10-23,31-183,SFO,,KAN,L 23-44,38,48.1,0,0.0,5,17.9,FB,JuszKy00
144,Cordarrelle Patterson,5,Sun,1,1,2022-09-11,31-178,ATL,,NOR,L 26-27,49,65.3,0,0.0,5,15.6,RB,PattCo00
