Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
43,Zach Wilson,3,0,0,0,3,Sun,10,11,11/20/2022,23-109,NYJ,@,NWE,L 3-10,3,70,26,26,0,0,0,0,0,0,3,26,8.7,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
44,Zach Wilson,5,0,1,0,5,Sun,9,9,11/6/2022,23-095,NYJ,,BUF,W 20-17,5,160,24,24,0,1,0,0,0,0,5,24,4.8,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
45,Zach Wilson,1,0,0,0,1,Sun,8,8,10/30/2022,23-088,NYJ,,NWE,L 17-22,1,338,2,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
46,Zach Wilson,4,0,0,0,4,Sun,7,7,10/23/2022,23-081,NYJ,@,DEN,W 16-9,4,129,24,24,0,0,0,0,0,0,4,24,6,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
47,Zach Wilson,5,0,0,0,5,Sun,6,6,10/16/2022,23-074,NYJ,@,GNB,W 27-10,5,100,1,1,0,0,0,0,0,0,5,1,0.2,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,2-Jan,WilsZa00
48,Zach Wilson,4,0,0,1,4,Sun,5,5,10/9/2022,23-067,NYJ,,MIA,W 40-17,4,189,2,2,0,0,0,0,0,0,4,2,0.5,1,1,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,2-Jan,WilsZa00
49,Zach Wilson,2,1,0,1,3,Sun,4,4,10/2/2022,23-060,NYJ,@,PIT,W 24-20,3,263,17,17,0,0,1,0,0,0,2,15,7.5,0,0,1,1,2,2,1,100,2,1,1,0,0,,0,0,,0,0,6,QB,2-Jan,WilsZa00
50,Russell Wilson,8,0,0,0,8,Sun,17,18,1/8/2023,34-040,DEN,,LAC,W 31-28,8,284,18,18,0,0,0,0,0,0,8,18,2.3,0,2,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
51,Russell Wilson,4,0,1,2,4,Sun,16,17,1/1/2023,34-033,DEN,@,KAN,L 24-27,4,217,27,27,0,1,0,0,0,0,4,27,6.8,2,3,0,0,0,,0,,,0,2,0,0,,0,0,,0,0,12,QB,Mar-75,WilsRu00
52,Russell Wilson,2,0,0,0,2,Sun,15,16,12/25/2022,34-026,DEN,@,LAR,L 14-51,2,191,17,17,0,0,0,0,0,0,2,17,8.5,0,2,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
53,Russell Wilson,4,0,0,0,4,Sun,13,14,12/11/2022,34-012,DEN,,KAN,L 28-34,4,255,57,57,0,0,0,0,0,0,4,57,14.3,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
54,Russell Wilson,2,0,0,0,2,Sun,12,13,12/4/2022,34-005,DEN,@,BAL,L 9-10,2,205,21,21,0,0,0,0,0,0,2,21,10.5,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Mar-75,WilsRu00
