Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
2212,Lamar Jackson,11,0,1,0,11,Mon,9,9,11/7/2022,25-304,BAL,@,NOR,W 27-13,11,213,82,82,0,1,1,0,0,0,11,82,7.5,0,7,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Jan-32,JackLa00
2213,Lamar Jackson,11,0,0,1,11,Sun,10,11,11/20/2022,25-317,BAL,,CAR,W 13-3,11,224,31,31,0,0,0,0,0,0,11,31,2.8,1,4,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Jan-32,JackLa00
2214,Lamar Jackson,14,0,1,0,14,Sun,11,12,11/27/2022,25-324,BAL,@,JAX,L 27-28,14,342,89,89,0,1,0,0,0,0,14,89,6.4,0,5,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Jan-32,JackLa00
2215,Lamar Jackson,1,0,0,0,1,Sun,12,13,12/4/2022,25-331,BAL,,DEN,W 10-9,1,10,9,9,0,0,0,0,0,0,1,9,9,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,QB,Jan-32,JackLa00
2216,Justin Jackson,2,2,0,1,4,Sun,4,4,10/2/2022,26-163,DET,,SEA,L 45-48,4,3,7,7,0,0,0,0,0,0,2,3,1.5,0,0,2,2,4,2,1,100,2,1,1,0,0,,0,0,,0,0,6,RB,7-251,JackJu01
2217,Justin Jackson,3,1,0,0,3,Sun,5,5,10/9/2022,26-170,DET,@,NWE,L 0-29,3,14,14,14,0,0,0,0,0,0,3,14,4.7,0,1,1,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2218,Justin Jackson,3,0,0,0,3,Sun,6,7,10/23/2022,26-184,DET,@,DAL,L 6-24,3,2,2,2,0,0,0,0,0,0,3,2,0.7,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2219,Justin Jackson,4,0,0,0,4,Sun,8,9,11/6/2022,26-198,DET,,GNB,W 15-9,4,27,27,74,47,0,0,0,0,0,4,27,6.8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2220,Justin Jackson,4,3,0,0,6,Sun,9,10,11/13/2022,26-205,DET,@,CHI,W 31-30,6,14,28,67,39,0,0,0,0,0,4,14,3.5,0,2,3,2,14,7,0,66.7,4.7,0,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2221,Justin Jackson,9,1,0,0,10,Sun,10,11,11/20/2022,26-212,DET,@,NYG,W 31-18,10,66,77,139,62,0,0,0,0,0,9,66,7.3,0,2,1,1,11,11,0,100,11,1,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2222,Justin Jackson,4,2,0,0,5,Thu,11,12,11/24/2022,26-216,DET,,BUF,L 25-28,5,4,19,86,67,0,0,0,0,0,4,4,1,0,1,2,1,15,15,0,50,7.5,1,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2223,Justin Jackson,1,5,0,0,4,Sun,12,13,12/4/2022,26-226,DET,,JAX,W 40-14,4,4,23,94,71,0,0,0,0,0,1,4,4,0,0,5,3,19,6.3,0,60,3.8,1,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2224,Justin Jackson,4,1,0,1,5,Sun,13,14,12/11/2022,26-233,DET,,MIN,W 34-23,5,19,31,52,21,0,0,0,0,0,4,19,4.8,1,1,1,1,12,12,0,100,12,1,1,0,0,,0,0,,0,0,6,RB,7-251,JackJu01
2225,Justin Jackson,6,2,0,0,7,Sun,14,15,12/18/2022,26-240,DET,@,NYJ,W 20-17,7,16,31,56,25,0,0,0,0,0,6,16,2.7,0,0,2,1,15,15,0,50,7.5,1,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2226,Justin Jackson,1,1,0,0,1,Sat,15,16,12/24/2022,26-246,DET,@,CAR,L 23-37,1,-1,-1,139,140,0,0,0,0,0,1,-1,-1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2227,Justin Jackson,1,1,0,0,2,Sun,17,18,1/8/2023,26-261,DET,@,GNB,W 20-16,2,2,13,61,48,0,0,0,0,0,1,2,2,0,0,1,1,11,11,0,100,11,1,0,0,0,,0,0,,0,0,0,RB,7-251,JackJu01
2228,DeSean Jackson,0,2,0,0,1,Mon,9,9,11/7/2022,35-341,BAL,@,NOR,W 27-13,1,0,16,16,0,0,0,0,0,0,0,0,,0,0,2,1,16,16,0,50,8,1,0,0,0,,0,0,,0,0,0,WR,Feb-49,JackDe00
2229,DeSean Jackson,0,3,0,0,2,Sun,11,12,11/27/2022,35-361,BAL,@,JAX,L 27-28,2,0,74,74,0,0,0,0,0,0,0,0,,0,0,3,2,74,37,0,66.7,24.7,2,0,0,0,,0,0,,0,0,0,WR,Feb-49,JackDe00
2230,DeSean Jackson,0,3,0,0,2,Sun,12,13,12/4/2022,36-003,BAL,,DEN,W 10-9,2,0,10,10,0,0,0,0,0,0,0,0,,0,,3,2,10,5,0,66.7,3.3,,0,0,0,,0,0,,0,0,0,WR,Feb-49,JackDe00
2231,DeSean Jackson,0,2,0,0,2,Sun,13,14,12/11/2022,36-010,BAL,@,PIT,W 16-14,2,0,34,34,0,0,0,0,0,0,0,0,,0,0,2,2,34,17,0,100,17,1,0,0,0,,0,0,,0,0,0,WR,Feb-49,JackDe00
2232,DeSean Jackson,0,2,0,0,1,Sat,15,16,12/24/2022,36-023,BAL,,ATL,W 17-9,1,0,10,10,0,0,0,0,0,0,0,0,,0,0,2,1,10,10,0,50,5,1,0,0,0,,0,0,,0,0,0,WR,Feb-49,JackDe00
2233,DeSean Jackson,0,2,0,0,1,Sun,16,17,1/1/2023,36-031,BAL,,PIT,L 13-16,1,0,9,9,0,0,0,0,0,0,0,0,,0,,2,1,9,9,0,50,4.5,,0,0,0,,0,0,,0,0,0,WR,Feb-49,JackDe00
2234,Andy Isabella,0,3,0,0,1,Sun,1,1,9/11/2022,25-297,ARI,,KAN,L 21-44,1,0,10,10,0,0,0,0,0,0,0,0,,0,0,3,1,10,10,0,33.3,3.3,1,0,0,0,,0,0,,0,0,0,WR,Feb-62,IsabAn00
2235,Andy Isabella,0,2,0,0,1,Sun,3,3,9/25/2022,25-311,ARI,,LAR,L 12-20,1,0,11,11,0,0,0,0,0,0,0,0,,0,0,2,1,11,11,0,50,5.5,1,0,0,0,,0,0,,0,0,0,WR,Feb-62,IsabAn00
2236,Andy Isabella,1,0,0,0,1,Sun,16,17,1/1/2023,26-044,BAL,,PIT,L 13-16,1,1,1,1,0,0,0,0,0,0,1,1,1,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,Feb-62,IsabAn00
2237,Mark Ingram,4,1,1,0,5,Sun,1,1,9/11/2022,32-264,NOR,@,ATL,W 27-26,5,22,23,23,0,1,0,0,0,0,4,22,5.5,0,2,1,1,1,1,0,100,1,0,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2238,Mark Ingram,10,2,1,0,12,Sun,2,2,9/18/2022,32-271,NOR,,TAM,L 10-20,12,58,61,61,0,1,0,0,0,0,10,58,5.8,0,3,2,2,3,1.5,0,100,1.5,0,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2239,Mark Ingram,5,0,0,1,5,Sun,3,3,9/25/2022,32-278,NOR,@,CAR,L 14-22,5,18,18,18,0,0,0,0,0,0,5,18,3.6,1,1,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,RB,28-Jan,IngrMa01
2240,Mark Ingram,10,3,0,0,13,Sun,4,4,10/2/2022,32-285,NOR,,MIN,L 25-28,13,30,43,43,0,0,0,0,0,0,10,30,3,0,1,3,3,13,4.3,0,100,4.3,0,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2241,Mark Ingram,9,0,0,0,9,Sun,5,5,10/9/2022,32-292,NOR,,SEA,W 39-32,9,16,16,16,0,0,0,0,0,0,9,16,1.8,0,,0,0,0,,0,,,,0,0,0,,0,0,,1,0,2,RB,28-Jan,IngrMa01
2242,Mark Ingram,9,2,0,0,10,Sun,6,6,10/16/2022,32-299,NOR,,CIN,L 26-30,10,46,57,57,0,0,0,0,0,0,9,46,5.1,0,3,2,1,11,11,0,50,5.5,1,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2243,Mark Ingram,4,3,0,0,7,Thu,7,7,10/20/2022,32-303,NOR,@,ARI,L 34-42,7,6,22,22,0,0,0,0,0,0,4,6,1.5,0,1,3,3,16,5.3,0,100,5.3,1,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2244,Mark Ingram,0,1,0,0,1,Sun,8,8,10/30/2022,32-313,NOR,,LVR,W 24-0,1,0,2,2,0,0,0,0,0,0,0,0,,0,,1,1,2,2,0,100,2,,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2245,Mark Ingram,4,1,0,0,4,Sun,12,12,11/27/2022,32-341,NOR,@,SFO,L 0-13,4,10,10,10,0,0,0,0,0,0,4,10,2.5,0,1,1,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2246,Mark Ingram,7,5,0,0,12,Mon,13,13,12/5/2022,32-349,NOR,@,TAM,L 16-17,12,27,49,49,0,0,0,0,0,0,7,27,3.9,0,,5,5,22,4.4,0,100,4.4,,0,0,0,,0,0,,0,0,0,RB,28-Jan,IngrMa01
2247,Keaontay Ingram,3,0,0,0,3,Sun,6,6,10/16/2022,22-355,ARI,@,SEA,L 9-19,3,7,7,7,0,0,0,0,0,0,3,7,2.3,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2248,Keaontay Ingram,9,2,0,1,11,Thu,7,7,10/20/2022,22-359,ARI,,NOR,W 42-34,11,14,37,37,0,0,0,0,0,0,9,14,1.6,1,2,2,2,23,11.5,0,100,11.5,1,1,0,0,,0,0,,0,0,6,RB,6-201,IngrKe01
2249,Keaontay Ingram,1,0,0,0,1,Sun,9,9,11/6/2022,23-011,ARI,,SEA,L 21-31,1,2,2,2,0,0,0,0,0,0,1,2,2,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2250,Keaontay Ingram,1,0,0,0,1,Sun,10,10,11/13/2022,23-018,ARI,@,LAR,W 27-17,1,5,5,5,0,0,0,0,0,0,1,5,5,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2251,Keaontay Ingram,5,0,0,0,5,Mon,11,11,11/21/2022,23-026,ARI,,SFO,L 10-38,5,19,19,19,0,0,0,0,0,0,5,19,3.8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2252,Keaontay Ingram,2,0,0,0,2,Sun,12,12,11/27/2022,23-032,ARI,,LAC,L 24-25,2,5,5,5,0,0,0,0,0,0,2,5,2.5,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2253,Keaontay Ingram,1,0,0,0,1,Mon,13,14,12/12/2022,23-047,ARI,,NWE,L 13-27,1,1,1,1,0,0,0,0,0,0,1,1,1,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2254,Keaontay Ingram,1,0,0,0,1,Sun,14,15,12/18/2022,23-053,ARI,@,DEN,L 15-24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2255,Keaontay Ingram,1,0,0,0,1,Sun,15,16,12/25/2022,23-060,ARI,,TAM,L 16-19 (OT),1,2,2,2,0,0,0,0,0,0,1,2,2,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2256,Keaontay Ingram,3,3,0,0,5,Sun,17,18,1/8/2023,23-074,ARI,@,SFO,L 13-38,5,5,3,3,0,0,0,0,0,0,3,5,1.7,0,1,3,2,-2,-1,0,66.7,-0.7,0,0,0,0,,0,0,,0,0,0,RB,6-201,IngrKe01
2257,Jalen Hurts,17,0,0,1,17,Sun,1,1,9/11/2022,24-035,PHI,@,DET,W 38-35,17,329,90,90,0,0,0,0,0,0,17,90,5.3,1,6,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Feb-53,HurtJa00
2258,Jalen Hurts,11,0,1,2,11,Mon,2,2,9/19/2022,24-043,PHI,,MIN,W 24-7,11,380,57,57,0,1,0,0,0,0,11,57,5.2,2,3,0,0,0,,0,,,0,2,0,0,,0,0,,0,0,12,QB,Feb-53,HurtJa00
2259,Jalen Hurts,9,0,0,0,9,Sun,3,3,9/25/2022,24-049,PHI,@,WAS,W 24-8,9,348,20,20,0,0,0,0,0,0,9,20,2.2,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Feb-53,HurtJa00
2260,Jalen Hurts,16,0,1,1,16,Sun,4,4,10/2/2022,24-056,PHI,,JAX,W 29-21,16,229,38,31,0,1,0,-7,0,0,16,38,2.4,1,4,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Feb-53,HurtJa00
2261,Jalen Hurts,15,0,0,2,15,Sun,5,5,10/9/2022,24-063,PHI,@,ARI,W 20-17,15,279,61,61,0,0,0,0,0,0,15,61,4.1,2,8,0,0,0,,0,,,0,2,0,0,,0,0,,0,0,12,QB,Feb-53,HurtJa00
2262,Jalen Hurts,9,0,1,0,9,Sun,6,6,10/16/2022,24-070,PHI,,DAL,W 26-17,9,159,27,21,0,1,1,-6,0,0,9,27,3,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Feb-53,HurtJa00
2263,Jalen Hurts,2,0,0,0,2,Sun,7,8,10/30/2022,24-084,PHI,,PIT,W 35-13,2,277,10,10,0,0,0,0,0,0,2,10,5,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Feb-53,HurtJa00
2264,Jalen Hurts,9,0,2,0,9,Thu,8,9,11/3/2022,24-088,PHI,@,HOU,W 29-17,9,240,23,23,0,2,0,0,0,0,9,23,2.6,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,1,0,2,QB,Feb-53,HurtJa00
2265,Jalen Hurts,6,0,0,1,6,Mon,9,10,11/14/2022,24-099,PHI,,WAS,L 21-32,6,198,28,28,0,0,0,0,0,0,6,28,4.7,1,4,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Feb-53,HurtJa00
2266,Jalen Hurts,16,0,2,1,16,Sun,10,11,11/20/2022,24-105,PHI,@,IND,W 17-16,16,259,86,86,0,2,1,0,0,0,16,86,5.4,1,8,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Feb-53,HurtJa00
2267,Jalen Hurts,17,0,1,0,17,Sun,11,12,11/27/2022,24-112,PHI,,GNB,W 40-33,17,294,157,157,0,1,0,0,0,0,17,157,9.2,0,10,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Feb-53,HurtJa00
2268,Jalen Hurts,5,0,1,1,5,Sun,12,13,12/4/2022,24-119,PHI,,TEN,W 35-10,5,387,12,12,0,1,0,0,0,0,5,12,2.4,1,3,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Feb-53,HurtJa00
2269,Jalen Hurts,7,0,0,1,7,Sun,13,14,12/11/2022,24-126,PHI,@,NYG,W 48-22,7,261,77,77,0,0,0,0,0,0,7,77,11,1,6,0,0,0,,0,,,0,1,0,0,,0,0,,0,0,6,QB,Feb-53,HurtJa00
2270,Jalen Hurts,17,0,0,3,17,Sun,14,15,12/18/2022,24-133,PHI,@,CHI,W 25-20,17,370,61,61,0,0,0,0,0,0,17,61,3.6,3,5,0,0,0,,0,,,0,3,0,0,,0,0,,1,0,20,QB,Feb-53,HurtJa00
2271,Jalen Hurts,9,0,0,0,9,Sun,17,18,1/8/2023,24-154,PHI,,NYG,W 22-16,9,220,13,13,0,0,0,0,0,0,9,13,1.4,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,Feb-53,HurtJa00
2272,Hayden Hurst,0,8,0,0,5,Sun,1,1,9/11/2022,29-018,CIN,,PIT,L 20-23 (OT),5,0,46,46,0,0,0,0,0,0,0,0,,0,0,8,5,46,9.2,0,62.5,5.8,3,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2273,Hayden Hurst,0,7,0,0,5,Sun,2,2,9/18/2022,29-025,CIN,@,DAL,L 17-20,5,0,24,24,0,0,0,0,0,0,0,0,,0,0,7,5,24,4.8,0,71.4,3.4,2,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2274,Hayden Hurst,0,2,0,0,1,Sun,3,3,9/25/2022,29-032,CIN,@,NYJ,W 27-12,1,0,7,7,0,0,0,0,0,0,0,0,,0,0,2,1,7,7,0,50,3.5,1,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2275,Hayden Hurst,0,4,0,1,3,Thu,4,4,9/29/2022,29-036,CIN,,MIA,W 27-15,3,0,27,27,0,0,0,0,0,0,0,0,,0,0,4,3,27,9,1,75,6.8,2,1,0,0,,0,0,,0,0,6,TE,25-Jan,HursHa00
2276,Hayden Hurst,0,7,0,1,6,Sun,5,5,10/9/2022,29-046,CIN,@,BAL,L 17-19,6,0,53,53,0,0,0,0,0,0,0,0,,0,0,7,6,53,8.8,1,85.7,7.6,2,1,0,0,,0,0,,0,0,6,TE,25-Jan,HursHa00
2277,Hayden Hurst,0,3,0,0,3,Sun,6,6,10/16/2022,29-053,CIN,@,NOR,W 30-26,3,0,21,21,0,0,0,0,0,0,0,0,,0,,3,3,21,7,0,100,7,,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2278,Hayden Hurst,0,8,0,0,6,Sun,7,7,10/23/2022,29-060,CIN,,ATL,W 35-17,6,0,48,48,0,0,0,0,0,0,0,0,,0,0,8,6,48,8,0,75,6,4,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2279,Hayden Hurst,0,4,0,0,4,Mon,8,8,10/31/2022,29-068,CIN,@,CLE,L 13-32,4,0,42,42,0,0,0,0,0,0,0,0,,0,0,4,4,42,10.5,0,100,10.5,2,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2280,Hayden Hurst,0,5,0,0,5,Sun,9,9,11/6/2022,29-074,CIN,,CAR,W 42-21,5,0,35,35,0,0,0,0,0,0,0,0,,0,0,5,5,35,7,0,100,7,2,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2281,Hayden Hurst,0,3,0,0,2,Sun,10,11,11/20/2022,29-088,CIN,@,PIT,W 37-30,2,0,28,28,0,0,0,0,0,0,0,0,,0,0,3,2,28,14,0,66.7,9.3,2,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2282,Hayden Hurst,0,9,0,0,6,Sun,11,12,11/27/2022,29-095,CIN,@,TEN,W 20-16,6,0,57,57,0,0,0,0,0,0,0,0,,0,0,9,6,57,9.5,0,66.7,6.3,2,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2283,Hayden Hurst,0,3,0,0,2,Sun,12,13,12/4/2022,29-102,CIN,,KAN,W 27-24,2,0,12,12,0,0,0,0,0,0,0,0,,0,,3,2,12,6,0,66.7,4,,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2284,Hayden Hurst,0,5,0,0,4,Sun,16,18,1/8/2023,29-137,CIN,,BAL,W 27-16,4,0,14,14,0,0,0,0,0,0,0,0,,0,0,5,4,14,3.5,0,80,2.8,3,0,0,0,,0,0,,0,0,0,TE,25-Jan,HursHa00
2285,Kareem Hunt,11,4,0,2,15,Sun,1,1,9/11/2022,27-036,CLE,@,CAR,W 26-24,15,46,70,70,0,0,0,0,0,0,11,46,4.2,1,3,4,4,24,6,1,100,6,2,2,0,0,,0,0,,0,0,12,RB,Mar-86,HuntKa00
2286,Kareem Hunt,13,2,0,0,15,Sun,2,2,9/18/2022,27-043,CLE,,NYJ,L 30-31,15,58,74,74,0,0,0,0,0,0,13,58,4.5,0,4,2,2,16,8,0,100,8,1,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2287,Kareem Hunt,12,4,0,0,15,Thu,3,3,9/22/2022,27-047,CLE,,PIT,W 29-17,15,47,61,61,0,0,0,0,0,0,12,47,3.9,0,3,4,3,14,4.7,0,75,3.5,1,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2288,Kareem Hunt,10,3,0,0,12,Sun,4,4,10/2/2022,27-057,CLE,@,ATL,L 20-23,12,49,68,68,0,0,0,0,0,0,10,49,4.9,0,3,3,2,19,9.5,0,66.7,6.3,1,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2289,Kareem Hunt,11,3,0,1,14,Sun,5,5,10/9/2022,27-064,CLE,,LAC,L 28-30,14,47,57,57,0,0,0,0,0,0,11,47,4.3,1,3,3,3,10,3.3,0,100,3.3,1,1,0,0,,0,0,,0,0,6,RB,Mar-86,HuntKa00
2290,Kareem Hunt,4,1,0,0,4,Sun,6,6,10/16/2022,27-071,CLE,,NWE,L 15-38,4,12,12,12,0,0,0,0,0,0,4,12,3,0,,1,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2291,Kareem Hunt,5,2,0,1,6,Sun,7,7,10/23/2022,27-078,CLE,@,BAL,L 20-23,6,4,8,8,0,0,0,0,0,0,5,4,0.8,1,1,2,1,4,4,0,50,2,0,1,0,0,,0,0,,0,0,6,RB,Mar-86,HuntKa00
2292,Kareem Hunt,11,4,0,0,15,Mon,8,8,10/31/2022,27-086,CLE,,CIN,W 32-13,15,42,72,72,0,0,0,0,0,0,11,42,3.8,0,2,4,4,30,7.5,0,100,7.5,1,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2293,Kareem Hunt,6,1,0,0,7,Sun,9,10,11/13/2022,27-099,CLE,@,MIA,L 17-39,7,9,19,19,0,0,0,0,0,0,6,9,1.5,0,1,1,1,10,10,0,100,10,0,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2294,Kareem Hunt,5,2,0,0,7,Sun,10,11,11/20/2022,27-106,CLE,@,BUF,L 23-31,7,32,54,54,0,0,0,0,0,0,5,32,6.4,0,3,2,2,22,11,0,100,11,2,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2295,Kareem Hunt,5,2,0,0,6,Sun,11,12,11/27/2022,27-113,CLE,,TAM,W 23-17 (OT),6,15,21,21,0,0,0,0,0,0,5,15,3,0,2,2,1,6,6,0,50,3,0,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2296,Kareem Hunt,9,3,1,0,11,Sun,12,13,12/4/2022,27-120,CLE,@,HOU,W 27-14,11,56,74,74,0,1,1,0,0,0,9,56,6.2,0,3,3,2,18,9,0,66.7,6,1,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2297,Kareem Hunt,4,4,0,0,6,Sun,13,14,12/11/2022,27-127,CLE,@,CIN,L 10-23,6,6,12,12,0,0,0,0,0,0,4,6,1.5,0,1,4,2,6,3,0,50,1.5,0,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2298,Kareem Hunt,4,1,0,0,5,Sat,14,15,12/17/2022,27-133,CLE,,BAL,W 13-3,5,24,27,27,0,0,0,0,0,0,4,24,6,0,,1,1,3,3,0,100,3,,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2299,Kareem Hunt,7,3,0,0,10,Sat,15,16,12/24/2022,27-140,CLE,,NOR,L 10-17,10,8,22,22,0,0,0,0,0,0,7,8,1.1,0,1,3,3,14,4.7,0,100,4.7,0,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2300,Kareem Hunt,2,1,0,0,3,Sun,16,17,1/1/2023,27-148,CLE,@,WAS,W 24-10,3,0,-1,-1,0,0,0,0,0,0,2,0,0,0,,1,1,-1,-1,0,100,-1,,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2301,Kareem Hunt,4,4,0,0,7,Sun,17,18,1/8/2023,27-155,CLE,@,PIT,L 14-28,7,13,28,28,0,0,0,0,0,0,4,13,3.3,0,0,4,3,15,5,0,75,3.8,1,0,0,0,,0,0,,0,0,0,RB,Mar-86,HuntKa00
2302,Chuba Hubbard,1,0,0,0,1,Sun,1,1,9/11/2022,23-092,CAR,,CLE,L 24-26,1,3,3,3,0,0,0,0,0,0,1,3,3,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2303,Chuba Hubbard,3,0,0,0,3,Sun,3,3,9/25/2022,23-106,CAR,,NOR,W 22-14,3,25,25,25,0,0,0,0,0,0,3,25,8.3,0,2,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2304,Chuba Hubbard,2,1,0,0,3,Sun,6,6,10/16/2022,23-127,CAR,@,LAR,L 10-24,3,6,7,7,0,0,0,0,0,0,2,6,3,0,1,1,1,1,1,0,100,1,0,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2305,Chuba Hubbard,9,3,0,1,11,Sun,7,7,10/23/2022,23-134,CAR,,TAM,W 21-3,11,63,73,73,0,0,0,0,0,0,9,63,7,1,3,3,2,10,5,0,66.7,3.3,0,1,0,0,,0,0,,0,0,6,RB,4-126,HubbCh01
2306,Chuba Hubbard,5,0,0,0,5,Thu,10,10,11/10/2022,23-152,CAR,,ATL,W 25-15,5,14,14,14,0,0,0,0,0,0,5,14,2.8,0,1,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2307,Chuba Hubbard,4,3,0,0,6,Sun,11,11,11/20/2022,23-162,CAR,@,BAL,L 3-13,6,0,25,25,0,0,0,0,0,0,4,0,0,0,1,3,2,25,12.5,0,66.7,8.3,1,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2308,Chuba Hubbard,17,0,0,0,17,Sun,12,12,11/27/2022,23-169,CAR,,DEN,W 23-10,17,65,65,65,0,0,0,0,0,0,17,65,3.8,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2309,Chuba Hubbard,14,3,0,1,17,Sun,13,14,12/11/2022,23-183,CAR,@,SEA,W 30-24,17,74,99,99,0,0,0,0,0,0,14,74,5.3,1,6,3,3,25,8.3,0,100,8.3,2,1,0,0,,0,0,,0,0,6,RB,4-126,HubbCh01
2310,Chuba Hubbard,4,3,0,0,7,Sun,14,15,12/18/2022,23-190,CAR,,PIT,L 16-24,7,10,67,67,0,0,0,0,0,0,4,10,2.5,0,0,3,3,57,19,0,100,19,1,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2311,Chuba Hubbard,12,0,0,0,12,Sat,15,16,12/24/2022,23-196,CAR,,DET,W 37-23,12,125,125,125,0,0,0,0,0,0,12,125,10.4,0,3,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
2312,Chuba Hubbard,3,3,1,0,6,Sun,16,17,1/1/2023,23-204,CAR,@,TAM,L 24-30,6,12,65,65,0,1,0,0,0,0,3,12,4,0,0,3,3,53,17.7,0,100,17.7,1,0,0,0,,0,0,,0,0,0,RB,4-126,HubbCh01
