Rk,Team,Date,TD,Cmp,Att,Tot,TO,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Tot,TO,TD,XPA,XPM,Att,Md,Sfty
52,DET,12/24/2022,4,15,43,570,0,Sat,15,16,@,CAR,L 23-37,43,320,7.4,3,15,22,68.2,250,1,0,0,0,121.4,570,0,4,4,4,3,3,0
53,PHI,12/24/2022,4,27,31,419,1,Sat,15,16,@,DAL,L 34-40,31,115,3.7,1,27,35,77.1,304,3,6,43,1,119.2,419,1,4,4,4,4,4,0
54,DAL,12/24/2022,4,24,29,442,4,Sat,15,16,,PHI,W 40-34,29,87,3,1,24,40,60,355,2,0,0,2,84.9,442,4,4,4,4,2,2,0
55,NWE,12/18/2022,4,20,23,308,1,Sun,14,15,@,LVR,L 24-30,23,97,4.2,0,20,38,52.6,211,3,3,20,1,84.4,308,1,4,3,3,1,1,0
56,TAM,12/18/2022,4,27,21,237,1,Sun,14,15,,CIN,L 23-34,21,53,2.5,0,27,39,69.2,184,4,2,16,1,102.9,237,1,4,2,2,2,2,0
57,HOU,12/18/2022,4,36,33,502,2,Sun,14,15,,KAN,L 24-30 (OT),33,189,5.7,2,36,41,87.8,313,2,2,23,0,114.7,502,2,4,2,1,2,1,0
58,JAX,12/18/2022,4,23,41,397,2,Sun,14,15,,DAL,W 40-34 (OT),41,154,3.8,1,23,30,76.7,243,3,3,13,2,105.3,397,2,4,4,4,2,2,0
59,MIA,12/17/2022,4,25,29,446,1,Sat,14,15,@,BUF,L 29-32,29,150,5.2,0,25,40,62.5,296,4,2,8,0,118.3,446,1,4,3,3,1,1,0
60,DEN,12/11/2022,4,28,23,431,3,Sun,13,14,,KAN,L 28-34,23,89,3.9,0,28,42,66.7,342,3,2,10,3,85.6,431,3,4,4,4,2,2,0
61,TEN,12/11/2022,4,30,25,428,0,Sun,13,14,,JAX,L 22-36,25,60,2.4,1,30,42,71.4,368,3,0,0,0,121.9,428,0,4,3,3,3,3,0
62,KAN,12/11/2022,4,27,19,320,2,Sun,13,14,@,DEN,W 34-28,19,106,5.6,0,27,44,61.4,214,4,6,49,2,84.8,320,2,4,4,4,0,0,0
63,MIN,12/11/2022,4,27,30,464,0,Sun,13,14,@,DET,L 23-34,30,134,4.5,1,27,39,69.2,330,3,0,0,0,120.7,464,0,4,4,4,3,2,0
64,JAX,12/4/2022,4,31,31,437,0,Sun,12,13,@,DET,L 14-40,31,100,3.2,2,31,41,75.6,337,2,2,3,0,115.6,437,0,4,4,4,4,4,0
65,LVR,11/27/2022,4,27,23,372,2,Sun,11,12,@,SEA,W 40-34 (OT),23,65,2.8,2,27,37,73,307,2,3,21,1,104.2,372,2,4,4,4,2,2,0
66,CHI,11/27/2022,4,22,32,466,0,Sun,12,12,@,NYJ,L 10-31,32,158,4.9,1,22,29,75.9,308,3,1,7,0,144,466,0,4,4,4,2,1,0
67,PHI,11/27/2022,4,17,21,342,2,Sun,11,12,,GNB,W 40-33,21,106,5,1,17,25,68,236,3,3,17,2,104.3,342,2,4,4,3,2,2,0
68,NWE,11/24/2022,4,31,27,358,1,Thu,11,12,@,MIN,L 26-33,27,57,2.1,0,31,38,81.6,301,3,1,9,1,115,358,1,4,4,3,2,2,0
69,NYG,11/24/2022,4,21,39,430,2,Thu,11,12,@,DAL,L 20-28,39,169,4.3,2,21,30,70,261,2,0,0,2,91.1,430,2,4,4,4,1,0,0
70,PIT,11/20/2022,4,24,24,408,2,Sun,10,11,,CIN,L 30-37,24,62,2.6,0,24,39,61.5,346,4,2,9,2,103.2,408,2,4,4,4,3,3,0
71,MIN,11/20/2022,4,26,40,458,0,Sun,10,11,,DAL,L 3-40,40,151,3.8,2,26,30,86.7,307,2,0,0,0,131.5,458,0,4,4,4,4,4,0
72,NYG,11/20/2022,4,17,37,325,0,Sun,10,11,,DET,L 18-31,37,160,4.3,4,17,26,65.4,165,0,0,0,0,83,325,0,4,4,4,1,1,0
73,GNB,11/17/2022,4,24,32,408,1,Thu,11,11,,TEN,L 17-27,32,88,2.8,1,24,29,82.8,320,3,3,17,1,132.8,408,1,4,4,3,0,0,0
74,BUF,11/13/2022,4,30,25,481,2,Sun,9,10,,MIN,L 30-33 (OT),25,147,5.9,2,30,50,60,334,1,4,23,2,69.9,481,2,4,4,3,2,2,0
75,JAX,11/13/2022,4,26,27,486,3,Sun,10,10,@,KAN,L 17-27,27,155,5.7,0,26,35,74.3,331,4,0,0,1,129.6,486,3,4,4,3,0,0,0
76,DET,11/13/2022,4,12,35,408,1,Sun,9,10,@,CHI,W 31-30,35,258,7.4,2,12,20,60,150,2,3,17,1,95.8,408,1,4,4,3,1,1,0
77,GNB,11/13/2022,4,27,31,421,2,Sun,10,10,,DAL,W 31-28 (OT),31,159,5.1,1,27,46,58.7,262,3,2,3,2,78.4,421,2,4,4,4,0,0,0
78,CHI,11/13/2022,4,19,31,323,0,Sun,10,10,,DET,L 30-31,31,95,3.1,2,19,26,73.1,228,1,2,8,0,112.3,323,0,4,4,4,1,1,0
79,DAL,11/13/2022,4,14,39,415,2,Sun,9,10,@,GNB,L 28-31 (OT),39,207,5.3,1,14,20,70,208,3,2,16,0,143.3,415,2,4,4,4,2,1,0
80,MIA,11/6/2022,4,17,40,368,0,Sun,9,9,@,CHI,W 35-32,40,252,6.3,1,17,28,60.7,116,3,2,7,0,105.7,368,0,4,3,3,1,1,0
81,CHI,11/6/2022,4,21,23,379,0,Sun,9,9,,MIA,L 32-35,23,77,3.3,1,21,30,70,302,3,0,0,0,135.7,379,0,4,5,5,1,0,0
82,ARI,11/6/2022,4,26,34,421,1,Sun,9,9,,SEA,L 21-31,34,158,4.6,2,26,34,76.5,263,2,2,12,1,105.4,421,1,4,4,4,1,1,0
83,HOU,11/3/2022,4,21,31,360,1,Thu,8,9,,PHI,L 17-29,31,143,4.6,2,21,27,77.8,217,2,4,26,0,124.8,360,1,4,3,3,1,0,0
84,CIN,10/31/2022,4,17,44,440,2,Mon,8,8,@,CLE,L 13-32,44,172,3.9,3,17,23,73.9,268,1,2,10,1,108.6,440,2,4,3,3,2,1,0
85,CAR,10/30/2022,4,20,37,406,2,Sun,8,8,@,ATL,L 34-37 (OT),37,167,4.5,0,20,28,71.4,239,3,2,14,2,103.1,406,2,4,4,4,3,3,0
