Rk,Team,Date,TD,Pts,Cmp,Att,Tot,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
516,LAR,2022-10-03,0,9,32,18,257,0,Mon,4,4,@,SFO,L 9-24,32,48,16,66.7,200,0,1,0.0,2.1,71.0,7,54,12.73,4.2,3.64,3.23,2.82,6.3,9,24,-15,33,18,57,3.2,0,257,73,3.52,49,6.67,2,34:34,2:47,0,0,0,3,3,0,0,0
517,ATL,2022-10-02,0,23,7,35,333,2,Sun,4,4,,CLE,W 23-20,7,19,12,36.8,131,0,1,0.0,5.3,41.3,1,8,5.00,6.9,6.55,4.53,4.30,18.7,23,20,3,43,35,202,5.8,2,333,55,6.05,71,5.68,1,24:16,2:47,2,2,2,3,3,0,0,0
518,CLE,2022-10-02,0,20,21,35,403,2,Sun,4,4,@,ATL,L 20-23,21,35,14,60.0,226,0,1,0.0,2.9,68.0,1,8,2.78,6.5,6.28,5.17,5.03,10.8,20,23,-3,43,35,177,5.1,2,403,71,5.68,55,6.05,2,35:44,2:47,2,2,2,2,2,0,0,0
519,CHI,2022-10-02,0,12,11,32,304,0,Sun,4,4,@,NYG,L 12-20,11,22,11,50.0,155,0,0,0.0,0.0,76.7,6,19,21.43,7.0,5.54,7.05,5.54,14.1,12,20,-8,32,32,149,4.7,0,304,60,5.07,61,5.46,3,28:43,2:59,0,0,0,4,4,0,0,0
520,NYG,2022-10-02,0,20,9,44,333,2,Sun,4,4,,CHI,W 20-12,9,16,7,56.3,71,0,1,0.0,6.3,44.3,1,11,5.88,4.4,4.18,1.63,1.53,7.9,20,12,8,32,44,262,6.0,2,333,61,5.46,60,5.07,2,31:17,2:59,2,2,2,3,2,0,0,0
521,PHI,2022-10-02,0,29,16,50,401,4,Sun,4,4,,JAX,W 29-21,16,25,9,64.0,191,0,1,0.0,4.0,72.7,2,13,7.41,7.6,7.07,5.84,5.41,11.9,29,21,8,50,50,210,4.2,4,401,77,5.21,46,4.76,1,39:51,2:56,4,3,2,1,1,1,0,0
522,PIT,2022-10-02,0,20,17,31,297,2,Sun,4,4,,NYJ,L 20-24,17,26,9,65.4,178,0,4,0.0,15.4,49.7,3,26,10.34,6.8,6.14,-0.08,-0.07,10.5,20,24,-4,44,31,119,3.8,2,297,60,4.95,67,5.19,4,30:01,3:13,2,2,2,2,2,0,0,0
523,LVR,2022-10-02,0,32,21,38,385,3,Sun,4,4,,DEN,W 32-23,21,34,13,61.8,173,0,0,0.0,0.0,76.6,2,15,5.56,5.1,4.81,5.09,4.81,8.2,32,23,9,55,38,212,5.6,2,385,74,5.20,48,6.23,0,34:52,3:09,3,3,2,4,4,0,0,0
524,NYG,2022-09-26,0,16,20,25,336,1,Mon,3,3,,DAL,L 16-23,20,37,17,54.1,169,0,1,0.0,2.7,57.9,5,27,11.90,4.6,4.02,3.35,2.95,8.5,16,23,-7,39,25,167,6.7,1,336,67,5.01,61,6.41,1,27:18,3:11,1,1,1,4,3,0,0,0
525,CHI,2022-09-25,0,23,8,40,363,2,Sun,3,3,,HOU,W 23-20,8,17,9,47.1,82,0,2,0.0,11.8,27.7,5,24,22.73,4.8,3.73,-0.47,-0.36,10.3,23,20,3,43,40,281,7.0,2,363,62,5.85,57,5.77,2,31:22,2:55,2,2,2,3,3,0,0,0
526,ARI,2022-09-25,0,12,37,21,365,0,Sun,3,3,,LAR,L 12-20,37,58,21,63.8,295,0,0,0.0,0.0,77.8,2,19,3.33,5.1,4.92,5.09,4.92,8.0,12,20,-8,32,21,70,3.3,0,365,81,4.51,46,7.37,0,33:56,3:01,0,0,0,4,4,0,0,0
527,LAR,2022-09-25,0,20,18,20,339,2,Sun,3,3,@,ARI,W 20-12,18,25,7,72.0,239,0,0,0.0,0.0,103.6,1,10,3.85,9.6,9.19,9.56,9.19,13.3,20,12,8,32,20,100,5.0,2,339,46,7.37,81,4.51,1,26:04,3:01,2,2,2,2,2,0,0,0
528,DEN,2022-09-25,0,11,20,33,261,1,Sun,3,3,,SFO,W 11-10,20,33,13,60.6,160,0,0,0.0,0.0,75.8,4,24,10.81,4.8,4.32,4.85,4.32,8.0,11,10,1,21,33,101,3.1,1,261,70,3.73,52,5.13,0,34:29,3:05,1,0,0,2,1,1,0,1
529,NWE,2022-09-25,0,26,22,28,447,3,Sun,3,3,,BAL,L 26-37,22,32,10,68.8,302,0,3,0.0,9.4,62.1,3,19,8.57,9.4,8.63,5.22,4.77,13.7,26,37,-11,63,28,145,5.2,3,447,63,7.10,59,6.68,4,29:24,3:04,3,2,2,2,2,1,0,0
530,NYJ,2022-09-25,0,12,28,20,328,0,Sun,3,3,,CIN,L 12-27,28,52,24,53.8,252,0,2,0.0,3.8,53.8,4,33,7.14,4.8,4.50,3.12,2.89,9.0,12,27,-15,39,20,76,3.8,0,328,76,4.32,66,5.00,4,27:36,3:15,0,0,0,4,4,0,0,0
531,WAS,2022-09-25,0,8,25,22,240,1,Sun,3,3,,PHI,L 8-24,25,43,18,58.1,153,0,0,0.0,0.0,71.0,9,58,17.31,3.6,2.94,3.56,2.94,6.1,8,24,-16,32,22,87,4.0,1,240,74,3.24,68,5.88,1,32:54,3:11,1,0,0,0,0,1,0,1
532,PIT,2022-09-22,0,17,20,22,308,2,Thu,3,3,@,CLE,L 17-29,20,32,12,62.5,204,0,0,0.0,0.0,81.1,1,3,3.03,6.4,6.18,6.38,6.18,10.2,17,29,-12,46,22,104,4.7,2,308,55,5.60,71,5.30,1,23:51,3:10,2,2,2,2,1,0,0,0
533,TEN,2022-09-19,0,7,12,27,187,1,Mon,2,2,@,BUF,L 7-41,12,24,12,50.0,107,0,2,0.0,8.3,30.4,2,16,7.69,4.5,4.12,0.71,0.65,8.9,7,41,-34,48,27,80,3.0,1,187,53,3.53,65,6.37,4,28:26,3:15,1,1,1,0,0,0,0,0
534,HOU,2022-09-18,0,9,19,18,234,0,Sun,2,2,@,DEN,L 9-16,19,38,19,50.0,154,0,0,0.0,0.0,63.2,3,23,7.32,4.1,3.76,4.05,3.76,8.1,9,16,-7,25,18,80,4.4,0,234,59,3.97,65,5.38,0,27:27,3:04,0,0,0,3,3,0,0,0
535,CHI,2022-09-18,0,10,7,27,228,1,Sun,2,2,@,GNB,L 10-27,7,11,4,63.6,48,0,1,0.0,9.1,43.8,3,22,21.43,4.4,3.43,0.27,0.21,6.9,10,27,-17,37,27,180,6.7,1,228,41,5.56,66,6.27,1,22:45,2:46,1,1,1,1,1,0,0,0
536,IND,2022-09-18,0,0,16,13,218,0,Sun,2,2,@,JAX,L 0-24,16,30,14,53.3,164,0,3,0.0,10.0,34.0,5,31,14.29,5.5,4.69,0.97,0.83,10.3,0,24,-24,24,13,54,4.2,0,218,48,4.54,67,4.94,3,21:45,2:45,0,0,0,0,0,0,0,0
537,SEA,2022-09-18,0,7,24,14,216,1,Sun,2,2,@,SFO,L 7-27,24,31,7,77.4,180,0,2,0.0,6.5,66.2,2,17,6.06,5.8,5.45,2.90,2.73,7.5,7,27,-20,34,14,36,2.6,0,216,47,4.60,70,5.33,3,21:40,2:51,1,1,1,0,0,0,0,0
538,ATL,2022-09-11,0,26,20,38,416,2,Sun,1,1,,NOR,L 26-27,20,33,13,60.6,215,0,0,0.0,0.0,79.7,0,0,0.00,6.5,6.52,6.52,6.52,10.8,26,27,-1,53,38,201,5.3,2,416,71,5.86,57,6.75,2,33:44,3:07,2,2,2,5,4,0,0,0
539,SFO,2022-09-11,0,10,13,37,331,1,Sun,1,1,@,CHI,L 10-19,13,28,15,46.4,155,0,1,0.0,3.6,50.3,2,9,6.67,5.5,5.17,3.93,3.67,11.9,10,19,-9,29,37,176,4.8,1,331,67,4.94,56,3.64,2,33:28,3:01,1,1,1,1,1,0,0,0
540,DAL,2022-09-11,0,3,21,18,244,0,Sun,1,1,,TAM,L 3-19,21,42,21,50.0,173,0,1,0.0,2.4,53.5,4,25,8.70,4.1,3.76,3.05,2.78,8.2,3,19,-16,22,18,71,3.9,0,244,64,3.81,62,5.60,1,27:18,2:57,0,0,0,1,1,0,0,0
541,PHI,2022-09-11,0,38,18,39,455,5,Sun,1,1,@,DET,W 38-35,18,32,14,56.3,239,0,0,0.0,0.0,80.6,1,4,3.03,7.5,7.24,7.47,7.24,13.3,38,35,3,73,39,216,5.5,4,455,72,6.32,66,5.85,0,31:34,3:15,5,5,5,1,1,0,0,0
542,GNB,2022-09-11,0,7,26,18,338,1,Sun,1,1,@,MIN,L 7-23,26,39,13,66.7,227,0,1,0.0,2.6,74.7,4,33,9.30,5.8,5.28,4.67,4.23,8.7,7,23,-16,30,18,111,6.2,1,338,61,5.54,61,6.48,2,28:37,3:03,1,1,1,0,0,0,0,0
