Team,week,games,cum_off_cmp,cum_off_pas_att,cum_off_pas_yds,cum_off_pas_tds,cum_off_int,cum_off_fmb,cum_off_rus_att,cum_off_rus_yds,cum_off_rus_tds
HOU,10,9,184,296,1795,11,9,2,207,916,3
IND,10,10,256,377,2264,10,10,8,241,987,5
JAX,10,10,227,349,2226,13,6,7,275,1396,11
KAN,10,9,245,369,2825,25,7,5,213,983,8
LAC,10,9,254,388,2388,14,6,4,207,764,7
LAR,10,9,221,324,1931,9,9,6,191,613,7
LVR,10,9,203,325,2057,13,5,2,198,959,7
MIA,10,10,240,355,2938,21,7,3,235,977,8
MIN,10,9,230,357,2239,14,8,2,213,963,12
NOR,10,10,221,342,2377,16,12,7,254,1207,9
NWE,10,9,181,266,1824,9,10,7,259,1055,9
NYG,10,9,157,240,1449,8,3,5,310,1483,11
NYJ,10,9,189,324,1971,10,8,5,225,1044,10
PHI,10,9,181,267,2108,14,3,4,296,1284,17
PIT,10,9,210,325,1795,6,10,4,233,976,6
SEA,10,10,230,317,2278,17,5,8,247,1243,10
SFO,10,9,179,279,2127,12,6,7,253,1113,9
TAM,10,10,282,428,2698,12,3,6,227,707,4
TEN,10,9,126,212,1334,8,4,6,272,1201,10
WAS,10,10,219,353,2117,15,10,3,288,1124,6
ARI,9,9,242,364,1986,12,6,3,234,1053,7
ATL,9,9,124,201,1415,10,6,6,303,1466,11
BAL,9,9,160,257,1681,16,6,3,274,1513,9
BUF,9,8,193,305,2337,19,8,6,195,994,6
CAR,9,9,154,268,1661,9,8,4,205,948,8
CHI,9,9,111,188,1131,10,6,6,325,1759,10
CIN,9,9,237,337,2367,18,6,4,222,889,10
CLE,9,8,163,256,1769,7,6,6,266,1317,15
DAL,9,8,144,237,1525,8,5,2,225,1052,10
DEN,9,8,158,274,1764,6,5,4,211,867,5
DET,9,8,174,276,1945,14,7,5,214,1073,9
GNB,9,9,211,326,2022,14,7,6,224,1086,3
HOU,9,8,162,259,1509,10,8,1,188,815,3
IND,9,9,235,349,2056,9,10,7,211,780,3
JAX,9,9,198,309,1986,11,6,7,259,1321,11
KAN,9,8,219,334,2494,21,6,3,186,828,8
LAC,9,8,233,351,2201,13,5,4,191,713,7
LAR,9,8,196,287,1741,8,8,5,171,547,6
