player,team,pos,fpts_pred,fpts_fpros,fpts,rank,bye,pos_rank,RLB,PAR,PAR_PG,PAR Value,A,E,C,EC,Estimated Cost,Team ,Cost,,,,PAR Value Sum,Players Drafted,Total $,Inflation,,,RLB,RL_pg,A,B,C,,PAR_PPD,,,,
Malik Nabers,NYG,WR,218.5,238.6,235.3,12,14,6,85,150.3,8.839947652,32.84608862,57.8,-0.0643,,45.86146074,45.86146074,,,,,,WR,,,0,0,0,0,,,,,Sum,68.64705882,,,120,Per Game
Puka Nacua,LAR,WR,219.2,237.8,234.7,13,8,7,85,149.7,8.806894467,32.72701386,57.8,-0.0643,,43.00537591,43.00537591,,,,,,WR,,,0,0,0,0,,,,,Salary,185,,,51.35294118,Above Replacement
Josh Jacobs,GB,RB,186.2,251.2,240.4,14,5,7,85,155.4,9.141022065,33.93071523,0.0509,-3.9,73.9,57.2928147,57.2928147,,,,,,WR,,,0,0,0,0,,,,,,,,,0.277583466,
Brian Thomas,JAC,WR,129.4,229.7,213,15,8,8,85,128,7.527782414,28.11898705,57.8,-0.0643,,40.32715765,40.32715765,,,,,,TE,,,0,0,0,0,,,,,,,,,,
De Von Achane,MIA,RB,226.6,254.8,250.1,16,12,8,85,165.1,9.709960198,35.98032626,0.0509,-3.9,73.9,53.6325192,53.6325192,,,,,,Flex,,,0,0,0,0,,,,,,,,,,
Drake London,ATL,WR,162.4,220.9,211.1,17,5,9,85,126.1,7.419921612,27.73041635,57.8,-0.0643,,37.81572907,37.81572907,,,,,,Super,,,0,0,0,0,,,,,,,,,,
Jonathan Taylor,IND,RB,193.6,247.6,238.6,18,11,9,85,153.6,9.034139979,33.54567037,0.0509,-3.9,73.9,50.0910243,50.0910243,,,,,,K,,,0,0,0,0,,,,,,,,,,
Bucky Irving,TB,RB,148.5,235.4,220.9,19,9,10,85,135.9,7.996705749,29.80829276,0.0509,-3.9,73.9,46.66833,46.66833,,,,,,Def,,,0,0,0,0,,,,,,,,,,
Brock Bowers,LV,TE,112.5,201,186.2,20,8,1,85,101.2,5.953611714,22.44800554,55.4,-0.253,,50.2000462,50.2000462,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,233.1,240.3,239.1,21,10,11,85,154.1,9.065248219,33.65773843,0.0509,-3.9,73.9,43.3644363,43.3644363,,,,,Players Rem,18,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,349,383.1,377.4,22,7,1,187,190.4,11.2003186,41.34937229,56.4,-0.163,,55.91907251,55.91907251,,,,,$ Remaining,200,,,,,,,,,,,,,,,,
A J Brown,PHI,WR,197.4,217.8,214.4,23,9,10,85,129.4,7.61201869,28.42244992,57.8,-0.0643,,35.46070312,35.46070312,,,,,Value,0,,,,,,,,,,,,,,,,
Lamar Jackson,BAL,QB,371.9,382.4,380.6,24,7,2,187,193.6,11.39117273,42.03692809,56.4,-0.163,,47.50835127,47.50835127,,,,,Estimated Cost,0,,,,,,,,,,,,,,,,
Kyren Williams,LAR,RB,192.5,242.9,234.5,25,8,12,85,149.5,8.795134359,32.68464783,0.0509,-3.9,73.9,40.1793432,40.1793432,,,,,PAR_PG,0,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,100,212.1,193.4,26,12,11,85,108.4,6.375021063,23.96614117,57.8,-0.0643,,33.25233961,33.25233961,,,,,FPTS,0,,,,,,,,,,,,,,,,
Trey McBride,ARI,TE,173.7,192.3,189.2,27,8,2,85,104.2,6.129020318,23.07991856,55.4,-0.253,,38.97872354,38.97872354,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,174.9,220.3,212.7,28,7,13,85,127.7,7.511333729,28.05973033,0.0509,-3.9,73.9,37.1130507,37.1130507,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,365.5,361.1,361.8,29,12,3,187,174.8,10.28374629,38.04740216,56.4,-0.163,,40.36267662,40.36267662,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,210,204.7,205.6,30,12,14,85,120.6,7.095465905,26.56155816,0.0509,-3.9,73.9,34.1655588,34.1655588,,,,,,,,,,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,151,214.8,204.2,31,12,12,85,119.2,7.009763487,26.25281348,57.8,-0.0643,,31.18150495,31.18150495,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,181.3,206.7,202.5,32,10,13,85,117.5,6.91015927,25.89398729,57.8,-0.0643,,29.23963433,29.23963433,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith Njigba,SEA,WR,151.9,200,192,33,8,14,85,107,6.291664162,23.66584626,57.8,-0.0643,,27.41869634,27.41869634,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,95.1,187.8,172.3,34,14,3,85,87.3,5.138143278,19.51026416,55.4,-0.253,,30.2657269,30.2657269,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,PHI,QB,355,367.3,365.3,35,9,4,187,178.3,10.48664898,38.77836316,56.4,-0.163,,34.29177439,34.29177439,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,187.6,204.6,201.8,36,9,15,85,116.8,6.869383355,25.74709124,0.0509,-3.9,73.9,31.3368675,31.3368675,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,138.5,213.4,200.9,37,11,16,85,115.9,6.819536798,25.56751802,0.0509,-3.9,73.9,28.6269768,28.6269768,,,,,194,194,,,,,,,,,,,,,,,,
