player,team,pos,fpts_pred,fpts_fpros,fpts,rank,bye,pos_rank,RLB,PAR,PAR_PG,PAR Value,A,E,C,EC,Estimated Cost,Team ,Cost,,,,PAR Value Sum,Players Drafted,Total $,Inflation,,,RLB,RL_pg,A,B,C,,PAR_PPD,,,,
Bhayshul Tuten,JAC,RB,125.7,92.1,97.7,139,8,47,85,12.7,0.748389511,3.696088214,0.0509,-3.9,73.9,3.5454627,1,,,,,,12.8,,,,,,,,,,,,,,,,
Brandon Aiyuk,SF,WR,80.6,106.3,102,140,14,51,85,17,1.002123805,4.610171095,57.8,-0.0643,,2.539901064,2.539901064,,,,,,12.1,,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,122.5,120.9,121.2,141,12,52,85,36.2,2.128518683,8.668031223,57.8,-0.0643,,2.381725271,2.381725271,,,,,,11,,,,,,,,,,,,,,,,
Jayden Higgins,HOU,WR,121,115.5,116.4,142,6,53,85,31.4,1.847900316,7.657097933,57.8,-0.0643,,2.233400091,2.233400091,,,,,,9.4,,,,,,,,,,,,,,,,
Rashid Shaheed,NO,WR,124.1,145.7,142.1,143,11,54,85,57.1,3.358382286,13.09863951,57.8,-0.0643,,2.094312064,2.094312064,,,,,,6.5,,,,,,,,,,,,,,,,
Trey Benson,ARI,RB,70,104.8,99,144,8,48,85,14,0.825013502,3.97212768,0.0509,-3.9,73.9,4.6371912,1,,,,,,5.4,,,,,,,,,,,,,,,,
Rachaad White,TB,RB,110.7,115.9,115,145,9,49,85,30,1.765747282,7.361139979,0.0509,-3.9,73.9,5.8477203,1,,,,,,5.1,,,,,,,,,,,,,,,,
Jerome Ford,CLE,RB,144,125.3,128.4,146,9,50,85,43.4,2.553573122,10.19929836,0.0509,-3.9,73.9,7.17705,1,,,,,,3.6,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,74.9,133.8,123.9,148,12,55,85,38.9,2.290403141,9.25122323,57.8,-0.0643,,1.963885932,1.963885932,,,,,,2.9,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,115.8,91.3,95.4,149,10,51,85,10.4,0.612296138,3.205809112,0.0509,-3.9,73.9,8.6251803,1,,,,,,2,,,,,,,,,,,,,,,,
Luther Burden,CHI,WR,104,101.5,101.9,150,5,56,85,16.9,0.996205099,4.58884884,57.8,-0.0643,,1.841582265,1.841582265,,,,,,1.2,,,,,,,,,,,,,,,,
Trevor Lawrence,JAC,QB,274.3,284.3,282.6,151,8,20,187,95.6,5.624241542,21.2614429,56.4,-0.163,,2.526678291,2.526678291,,,,,,0,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,109.5,144.7,138.8,152,5,57,85,53.8,3.167537639,12.41111784,57.8,-0.0643,,1.726895226,1.726895226,,,,,,-1.5,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,82.1,92.9,91.1,153,7,52,85,6.1,0.359152164,2.293852869,0.0509,-3.9,73.9,10.1921112,1,,,,,,-3,,,,,,,,,,,,,,,,
Cam Ward,TEN,QB,253.6,263.5,261.8,154,10,21,187,74.8,4.400266493,16.85204825,56.4,-0.163,,2.146643612,2.146643612,,,,,,-4.6,,,,,,,,,,,,,,,,
Ollie Gordon,MIA,RB,106.1,80.1,84.4,155,12,53,85,-0.6,-0.03314821,0.88058291,0.0509,-3.9,73.9,11.8778427,1,,,,,,-5.4,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE,89,107.4,104.4,156,14,18,85,19.4,1.138397009,5.101098045,55.4,-0.253,,0.680461488,1,,,,,,-5.9,,,,,,,,,,,,,,,,
Dylan Sampson,CLE,RB,211.5,104.7,122.5,157,9,54,85,37.5,2.20618925,8.947840998,0.0509,-3.9,73.9,13.6823748,1,,,,,,-6.6,,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,101,114.1,111.9,159,12,19,85,26.9,1.583964993,6.706265638,55.4,-0.253,,0.52835649,1,,,,,,-8.3,,,,,,,,,,,,,,,,
Michael Penix,ATL,QB,264.6,269.8,268.9,160,5,22,187,81.9,4.819667639,18.36294928,56.4,-0.163,,1.823769498,1.823769498,,,,,,-9.2,,,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,113,88.5,92.5,161,14,55,85,7.5,0.443920576,2.599232775,0.0509,-3.9,73.9,15.6057075,1,,,,,,-10.5,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,114.7,82.6,87.9,162,10,56,85,2.9,0.171630154,1.618301071,0.0509,-3.9,73.9,17.6478408,1,,,,,,-11.3,,,,,,,,,,,,,,,,
Christian Kirk,HOU,WR,88.4,120,114.7,163,6,58,85,29.7,1.747145856,7.294127969,57.8,-0.0643,,1.619350477,1.619350477,,,,,,-16.8,,,,,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,279.7,270.3,271.9,164,12,23,187,84.9,4.993638868,18.98968412,56.4,-0.163,,1.549458495,1.549458495,,,,,,-17.2,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,80.1,94.9,92.4,165,5,57,85,7.4,0.437161738,2.574883923,0.0509,-3.9,73.9,19.8087747,1,,,,,,-20.6,,,,,,,,,,,,,,,,
Joshua Palmer,BUF,WR,73.5,106.9,101.4,166,7,59,85,16.4,0.962038479,4.465762906,57.8,-0.0643,,1.518503225,1.518503225,,,,,,-21,,,,,,,,,,,,,,,,
Marquise Brown,KC,WR,107.3,121.2,118.9,168,10,60,85,33.9,1.995063349,8.187255708,57.8,-0.0643,,1.423936371,1.423936371,,,,,,-23.1,,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,82.6,95.7,93.5,169,12,61,85,8.5,0.499370968,2.798993923,57.8,-0.0643,,1.335258798,1.335258798,,,,,,-23.8,,,,,,,,,,,,,,,,
Matthew Stafford,LAR,QB,263.8,266.2,265.8,170,8,24,187,78.8,4.636866199,17.70440343,56.4,-0.163,,1.316406284,1.316406284,,,,,,-25.3,,,,,,,,,,,,,,,,
Adam Thielen,MIN,WR,105.3,89.6,92.2,172,6,62,85,7.2,0.42643063,2.536224894,57.8,-0.0643,,1.25210374,1.25210374,,,,,,-25.6,,,,,,,,,,,,,,,,
Bryce Young,CAR,QB,265,270.8,269.8,173,14,25,187,82.8,4.873500019,18.55688151,56.4,-0.163,,1.118407179,1.118407179,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,PIT,QB,274.8,242.4,247.8,174,5,26,187,60.8,3.575040907,13.87915653,56.4,-0.163,,0.950188885,1,,,,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,BAL,WR,90.4,86,86.7,175,7,63,85,1.7,0.102161442,1.368038642,57.8,-0.0643,,1.174127277,1.174127277,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,BAL,WR,100.4,130.5,125.5,176,7,64,85,40.5,2.383757955,9.587535816,57.8,-0.0643,,1.101006905,1.101006905,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,SEA,QB,290.4,262.6,267.2,177,8,27,187,80.2,4.719710809,18.0028528,56.4,-0.163,,0.807272104,1,,,,,,,,,,,,,,,,,,,,,,
Geno Smith,LV,QB,277.7,266.5,268.3,179,8,28,187,81.3,4.784689709,18.23694059,56.4,-0.163,,0.685851266,1,,,,,,,,,,,,,,,,,,,,,,
Isaac Guerendo,SF,RB,74.5,46.5,51.1,180,14,58,85,-33.9,-1.991554348,0,0.0509,-3.9,73.9,22.0885092,1,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,66.9,100.6,94.9,182,10,20,85,9.9,0.584964562,3.10734656,55.4,-0.253,,0.410251845,1,,,,,,,,,,,,,,,,,,,,,,
Kyle Williams,NE,WR,74.9,75.8,75.7,183,14,65,85,-9.3,-0.549268726,0,57.8,-0.0643,,1.032440203,1,,,,,,,,,,,,,,,,,,,,,,
Brenton Strange,JAC,TE,40.2,103.6,93,187,8,21,85,8,0.473425897,2.705526284,55.4,-0.253,,0.318547381,1,,,,,,,,,,,,,,,,,,,,,,
Cade Otton,TB,TE,83.5,102.7,99.5,188,9,22,85,14.5,0.854730055,4.079182155,55.4,-0.253,,0.24734181,1,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,42,74.9,69.4,189,12,59,85,-15.6,-0.918194304,0,0.0509,-3.9,73.9,24.4870443,1,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely,BAL,TE,73.2,95.4,91.7,191,7,23,85,6.7,0.394934117,2.422758075,55.4,-0.253,,0.192052971,1,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LAR,RB,27.1,66.1,59.6,192,8,60,85,-25.4,-1.495708093,0,0.0509,-3.9,73.9,27.00438,1,,,,,,,,,,,,,,,,,,,,,,
Shedeur Sanders,CLE,WR,54.7,52.9,53.2,193,9,29,85,-31.8,-1.86875769,0,57.8,-0.0643,,10.451287,1,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,100.1,93.2,94.4,197,9,24,85,9.4,0.551608008,2.987178905,55.4,-0.253,,0.149122964,1,,,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,107.5,79.2,83.9,198,8,25,85,-1.1,-0.062914358,0.773349765,55.4,-0.253,,0.115789192,1,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,105.2,94.9,96.6,199,5,26,85,11.6,0.682266326,3.457878117,55.4,-0.253,,0.089906589,1,,,,,,,,,,,,,,,,,,,,,,
Darren Waller,MIA,TE,163.5,97.4,108.4,202,12,27,85,23.4,1.375108076,5.953854408,55.4,-0.253,,0.069809578,1,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,79.8,96.2,93.5,203,10,28,85,8.5,0.497778652,2.793257571,55.4,-0.253,,0.054204895,1,,,,,,,,,,,,,,,,,,,,,,
Dont e Thornton,LV,WR,58.6,57.2,57.4,207,8,66,85,-27.6,-1.622846952,0,57.8,-0.0643,,0.968143585,1,,,,,,,,,,,,,,,,,,,,,,
Woody Marks,HOU,RB,123.9,62.2,72.5,209,6,61,85,-12.5,-0.735596379,0,0.0509,-3.9,73.9,29.6405163,1,,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLE,WR,78.2,127.6,119.4,211,9,67,85,34.4,2.02234853,8.28555112,57.8,-0.0643,,0.907851127,1,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,67.7,49.3,52.4,212,5,62,85,-32.6,-1.919995112,0,0.0509,-3.9,73.9,32.3954532,1,,,,,,,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,84.1,127.2,120,214,14,68,85,35,2.058652106,8.416335478,57.8,-0.0643,,0.851313464,1,,,,,,,,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,27.5,44.3,41.5,215,9,63,85,-43.5,-2.56090087,0,0.0509,-3.9,73.9,35.2691907,1,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,80.4,117.7,111.5,218,14,69,85,26.5,1.556996851,6.609112367,57.8,-0.0643,,0.79829676,1,,,,,,,,,,,,,,,,,,,,,,
Wan Dale Robinson,NYG,WR,133.2,117.6,120.2,219,14,70,85,35.2,2.068140556,8.450517812,57.8,-0.0643,,0.748581744,1,,,,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,BAL,RB,25,58.6,53,222,7,64,85,-32,-1.881143859,0,0.0509,-3.9,73.9,38.2617288,1,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BAL,RB,109.3,71.7,78,224,7,65,85,-7,-0.412722061,0,0.0509,-3.9,73.9,41.3730675,1,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,97.1,65.5,70.8,225,8,71,85,-14.2,-0.835479424,0,57.8,-0.0643,,0.701962798,1,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,99.5,43.6,52.9,226,8,72,85,-32.1,-1.889648978,0,57.8,-0.0643,,0.65824711,1,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,101.8,109.4,108.2,228,5,73,85,23.2,1.362968661,5.910121925,57.8,-0.0643,,0.617253876,1,,,,,,,,,,,,,,,,,,,,,,
DJ Giddens,IND,RB,107.6,34.2,46.4,230,11,66,85,-38.6,-2.270248745,0,0.0509,-3.9,73.9,44.6032068,1,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,LV,WR,86.9,89.6,89.2,231,8,74,85,4.2,0.245569471,1.884668942,57.8,-0.0643,,0.578813552,1,,,,,,,,,,,,,,,,,,,,,,
Pat Bryant,DEN,WR,98.7,76.8,80.5,235,12,75,85,-4.5,-0.267645644,0.035801204,57.8,-0.0643,,0.542767151,1,,,,,,,,,,,,,,,,,,,,,,
Tahj Brooks,CIN,RB,108.5,60.1,68.1,236,10,67,85,-16.9,-0.991956309,0,0.0509,-3.9,73.9,47.9521467,1,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,NYG,NA,NA,58.9,NA,237,14,30,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Roschon Johnson,CHI,RB,46.1,75,70.2,239,5,68,85,-14.8,-0.871238802,0,0.0509,-3.9,73.9,51.4198872,1,,,,,,,,,,,,,,,,,,,,,,
Anthony Richardson,IND,NA,NA,60.7,NA,240,11,31,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Kendre Miller,NO,RB,33.7,80.1,72.4,241,11,69,85,-12.6,-0.742964701,0,0.0509,-3.9,73.9,55.0064283,1,,,,,,,,,,,,,,,,,,,,,,
Russell Wilson,NYG,QB,278.5,200.8,213.7,242,14,32,187,26.7,1.571173996,6.660185817,56.4,-0.163,,0.357330381,1,,,,,,,,,,,,,,,,,,,,,,
Brashard Smith,KC,RB,70.4,24.8,32.4,246,10,70,85,-52.6,-3.095734367,0,0.0509,-3.9,73.9,58.71177,1,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,29.6,57.2,52.6,247,12,71,85,-32.4,-1.906883753,0,0.0509,-3.9,73.9,62.5359123,1,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,IND,WR,83,90.5,89.2,248,11,76,85,4.2,0.248480604,1.895156358,57.8,-0.0643,,0.508965588,1,,,,,,,,,,,,,,,,,,,,,,
Joe Flacco,CLE,QB,277,163.7,182.6,249,9,33,187,-4.4,-0.258286449,0.06951789,56.4,-0.163,,0.303584743,1,,,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,52,71.7,68.4,250,10,77,85,-16.6,-0.976061795,0,57.8,-0.0643,,0.477269064,1,,,,,,,,,,,,,,,,,,,,,,
Jarquez Hunter,LAR,RB,121.5,49.2,61.2,251,8,72,85,-23.8,-1.397598653,0,0.0509,-3.9,73.9,66.4788552,1,,,,,,,,,,,,,,,,,,,,,,
Dalton Schultz,HOU,TE,66.6,94.3,89.6,252,6,29,85,4.6,0.272858797,1.982979285,55.4,-0.253,,0.04208836,1,,,,,,,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,36.5,82.8,75,254,8,78,85,-10,-0.58543105,0,57.8,-0.0643,,0.447546484,1,,,,,,,,,,,,,,,,,,,,,,
Daniel Jones,IND,QB,275.9,235.9,242.6,255,11,34,187,55.6,3.267876474,12.7725905,56.4,-0.163,,0.257922923,1,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough,NO,NA,NA,104.2,NA,256,11,35,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,77.6,113,107.1,257,14,79,85,22.1,1.300286208,5.684307131,57.8,-0.0643,,0.419674919,1,,,,,,,,,,,,,,,,,,,,,,
Spencer Rattler,NO,QB,277.7,171.2,188.9,258,11,36,187,1.9,0.112811524,1.406405776,56.4,-0.163,,0.186170104,1,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,DAL,RB,97.9,60,66.4,259,10,73,85,-18.6,-1.096671854,0,0.0509,-3.9,73.9,70.5405987,1,,,,,,,,,,,,,,,,,,,,,,
Ja Tavion Sanders,CAR,TE,38.3,78.8,72.1,260,14,30,85,-12.9,-0.761504139,0,55.4,-0.253,,0.03268026,1,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,43.8,77.5,71.9,262,12,80,85,-13.1,-0.77225327,0,57.8,-0.0643,,0.393539092,1,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan,TB,WR,80.3,46.4,52.1,263,9,81,85,-32.9,-1.93801627,0,57.8,-0.0643,,0.36903091,1,,,,,,,,,,,,,,,,,,,,,,
Jaylin Noel,HOU,WR,75.1,52.8,56.5,266,6,82,85,-28.5,-1.677559285,0,57.8,-0.0643,,0.346049009,1,,,,,,,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,52.8,67.8,65.3,267,8,83,85,-19.7,-1.157475481,0,57.8,-0.0643,,0.324498336,1,,,,,,,,,,,,,,,,,,,,,,
Raheem Mostert,LV,RB,63.8,65.6,65.3,268,8,74,85,-19.7,-1.160450205,0,0.0509,-3.9,73.9,74.7211428,1,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,68.8,87,83.9,269,14,84,85,-1.1,-0.063034122,0.772918311,57.8,-0.0643,,0.304289761,1,,,,,,,,,,,,,,,,,,,,,,
Kirk Cousins,ATL,NA,NA,8,NA,270,5,37,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,TEN,WR,80.8,102.5,98.8,271,10,85,85,13.8,0.814318245,3.933597802,57.8,-0.0643,,0.285339702,1,,,,,,,,,,,,,,,,,,,,,,
Dameon Pierce,HOU,RB,32.3,35.7,35.1,272,6,75,85,-49.9,-2.934040681,0,0.0509,-3.9,73.9,79.0204875,1,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,79.1,87.9,86.5,273,12,86,85,1.5,0.086036449,1.309948031,57.8,-0.0643,,0.267569784,1,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,JAC,WR,47.6,85.2,78.9,275,8,87,85,-6.1,-0.357664299,0,57.8,-0.0643,,0.250906512,1,,,,,,,,,,,,,,,,,,,,,,
Roman Wilson,PIT,WR,9.4,68.9,59,277,5,88,85,-26,-1.531913434,0,57.8,-0.0643,,0.235280968,1,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,62,76,73.6,278,10,89,85,-11.4,-0.668120994,0,57.8,-0.0643,,0.220628526,1,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,50.7,66.2,63.6,279,11,90,85,-21.4,-1.258331822,0,57.8,-0.0643,,0.206888584,1,,,,,,,,,,,,,,,,,,,,,,
MarShawn Lloyd,GB,RB,76.3,64.4,66.4,280,5,76,85,-18.6,-1.095237255,0,0.0509,-3.9,73.9,83.4386328,1,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARI,WR,85.5,102.8,99.9,281,8,91,85,14.9,0.877047476,4.159581113,57.8,-0.0643,,0.194004316,1,,,,,,,,,,,,,,,,,,,,,,
Elijah Mitchell,KC,RB,37.7,39.8,39.4,282,10,77,85,-45.6,-2.681855836,0,0.0509,-3.9,73.9,87.9755787,1,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,52.9,32.6,36,283,10,92,85,-49,-2.882430826,0,57.8,-0.0643,,0.181922434,1,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,78.9,88.9,87.2,284,14,31,85,2.2,0.129151909,1.46527234,55.4,-0.253,,0.025375172,1,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,77.5,44.4,49.9,285,14,78,85,-35.1,-2.065379307,0,0.0509,-3.9,73.9,92.6313252,1,,,,,,,,,,,,,,,,,,,,,,
Sean Tucker,TB,RB,29.8,40.8,38.9,286,9,79,85,-46.1,-2.710506492,0,0.0509,-3.9,73.9,97.4058723,1,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,47,91.5,84.1,287,11,32,85,-0.9,-0.054607649,0.803274851,55.4,-0.253,,0.019703006,1,,,,,,,,,,,,,,,,,,,,,,
AJ Henning,MIA,NA,NA,NA,NA,288,12,93,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLE,TE,105.1,56.5,64.6,289,9,33,85,-20.4,-1.199887422,0,55.4,-0.253,,0.015298752,1,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,LAC,TE,62.9,63.3,63.2,290,12,34,85,-21.8,-1.282253458,0,55.4,-0.253,,0.011878989,1,,,,,,,,,,,,,,,,,,,,,,
Tyler Higbee,LAR,TE,58,87.4,82.5,291,8,35,85,-2.5,-0.148197609,0.466115142,55.4,-0.253,,0.009223654,1,,,,,,,,,,,,,,,,,,,,,,
Chris Oladokun,KC,NA,NA,0,NA,292,10,38,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,89.6,47.7,54.7,293,11,80,85,-30.3,-1.784318015,0,0.0509,-3.9,73.9,102.29922,1,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,62.5,26.6,32.6,294,5,94,85,-52.4,-3.080996986,0,57.8,-0.0643,,0.159969058,1,,,,,,,,,,,,,,,,,,,,,,
Hunter Thedford,NA,NA,NA,NA,NA,295,NA,36,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Cephus Johnson,III,NA,NA,NA,NA,296,NA,95,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Ray Ray McCloud,ATL,WR,92.5,91.5,91.7,297,5,96,85,6.7,0.394045986,2.419558565,57.8,-0.0643,,0.140664892,1,,,,,,,,,,,,,,,,,,,,,,
Will Sheppard,GB,NA,NA,NA,NA,298,5,97,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,LAR,TE,92.3,46.5,54.1,299,8,37,85,-30.9,-1.817680593,0,55.4,-0.253,,0.005560963,1,,,,,,,,,,,,,,,,,,,,,,
Case Cookus,NA,NA,NA,NA,NA,300,NA,39,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,87.8,74.5,76.7,301,14,98,85,-8.3,-0.490162785,0,57.8,-0.0643,,0.123690244,1,,,,,,,,,,,,,,,,,,,,,,
Carlos Washington,ATL,RB,0,4.2,3.5,302,5,81,85,-81.5,-4.794117647,0,0.0509,-3.9,73.9,107.3113683,1,,,,,,,,,,,,,,,,,,,,,,
Jace Sternberger,NA,NA,NA,NA,NA,303,NA,38,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,41.3,55.6,53.2,304,5,39,85,-31.8,-1.869586948,0,55.4,-0.253,,0.003352718,1,,,,,,,,,,,,,,,,,,,,,,
Trevor Etienne,CAR,RB,92.2,44.8,52.7,305,14,82,85,-32.3,-1.898135563,0,0.0509,-3.9,73.9,112.4423172,1,,,,,,,,,,,,,,,,,,,,,,
Jacob Saylors,DET,NA,NA,NA,NA,306,8,83,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Jordan James,SF,RB,120.9,10.4,28.8,307,14,84,85,-56.2,-3.304962112,0,0.0509,-3.9,73.9,123.0606168,1,,,,,,,,,,,,,,,,,,,,,,
Toriano Clinton,NA,NA,NA,NA,NA,308,NA,85,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Damien Harris,NA,RB,NA,NA,NA,309,NA,86,85,#VALUE!,#VALUE!,#VALUE!,0.0509,-3.9,73.9,134.1541188,1,,,,,,,,,,,,,,,,,,,,,,
Kevin Davidson,NA,NA,NA,NA,NA,310,NA,40,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,70.3,98.4,93.7,311,5,99,85,8.7,0.510469458,2.838976456,57.8,-0.0643,,0.115987266,1,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,63.9,41.2,44.9,312,5,87,85,-40.1,-2.356841803,0,0.0509,-3.9,73.9,139.8790707,1,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,39.9,49.7,48.1,313,5,88,85,-36.9,-2.170837228,0,0.0509,-3.9,73.9,145.7228232,1,,,,,,,,,,,,,,,,,,,,,,
Josh Kelly,HOU,NA,NA,NA,NA,314,6,100,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Zach Pascal,NA,NA,NA,NA,NA,315,NA,101,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,67.8,59.3,60.7,316,12,102,85,-24.3,-1.430414446,0,57.8,-0.0643,,0.095638973,1,,,,,,,,,,,,,,,,,,,,,,
Chris Smith,NA,NA,NA,NA,NA,317,NA,89,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Darius Hagans,NA,NA,NA,NA,NA,318,NA,90,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,52.3,53,52.8,319,6,103,85,-32.2,-1.891604887,0,57.8,-0.0643,,0.089682926,1,,,,,,,,,,,,,,,,,,,,,,
Robert Burns,NA,NA,NA,NA,NA,320,NA,91,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Ayir Asante,NA,NA,NA,NA,NA,321,NA,104,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,79.8,63.3,66.1,322,5,105,85,-18.9,-1.114417008,0,57.8,-0.0643,,0.078860495,1,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLE,NA,NA,39.1,NA,323,9,106,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Ronnie Brown,NA,NA,NA,NA,NA,324,NA,92,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,40.3,62.1,58.5,325,10,40,85,-26.5,-1.558873846,0,55.4,-0.253,,0.002603277,1,,,,,,,,,,,,,,,,,,,,,,
Sam Ehlinger,DEN,NA,NA,0,NA,326,12,41,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,NA,NA,NA,NA,NA,328,NA,107,,#VALUE!,#VALUE!,#VALUE!,#N/A,,,#N/A,#VALUE!,,,,,,,,,,,,,,,,,,,,,,
