"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"72","Joshua Palmer (BUF)","22","39","278","12.6","38","3","0","0","0","0","0","8","42.8","5.4","8.8%"
"73","Romeo Doubs (GB)","16","27","189","11.8","29","2","2","0","0","0","0","5","40.9","8.2","16.1%"
"74","Kendrick Bourne (FA)","18","22","223","12.4","37","2","1","1","6","0","0","6","37.9","6.3","0.1%"
"75","Amari Cooper (LV)","15","25","228","15.2","30","5","1","0","0","0","0","5","36.3","7.3","20.0%"
"76","John Metchie III (PHI)","18","26","194","10.8","25","1","1","0","0","0","0","6","34.4","5.7","0.3%"
"77","Brandin Cooks (NO)","14","26","153","10.9","29","2","2","0","0","0","0","5","34.3","6.9","2.5%"
"78","Xavier Legette (CAR)","20","38","223","11.2","34","4","0","1","2","0","0","6","32.5","5.4","48.2%"
"79","Dontayvion Wicks (GB)","18","27","174","9.7","26","2","1","0","0","0","0","7","32.4","4.6","0.3%"
"80","Malik Washington (MIA)","19","27","158","8.3","20","1","0","4","16","1","1","8","30.9","3.9","0.7%"
"81","Jalen Coker (CAR)","11","21","194","17.6","83","3","1","0","0","0","0","4","30.9","7.7","6.3%"
"82","Tyler Boyd (FA)","18","27","206","11.4","40","2","0","0","0","0","0","7","29.6","4.2","0.1%"
"83","Jalen Nailor (MIN)","10","17","125","12.5","31","2","2","1","-7","0","0","8","28.8","3.6","0.9%"
"84","Derius Davis (LAC)","11","14","99","9.0","23","1","2","6","9","0","0","8","28.3","3.5","0.2%"
"85","Justin Watson (HOU)","8","13","113","14.1","49","1","2","0","0","0","0","8","27.3","3.4","0.0%"
"86","Tylan Wallace (BAL)","9","9","162","18.0","84","2","1","0","0","0","0","7","26.7","3.8","0.1%"
"87","Demarcus Robinson (SF)","7","20","106","15.1","46","2","2","0","0","0","0","8","26.1","3.3","0.2%"
"88","Sterling Shepard (TB)","16","27","164","10.3","22","3","0","2","17","0","0","6","26.1","4.4","0.1%"
"89","Curtis Samuel (BUF)","12","19","109","9.1","21","1","1","2","8","0","0","5","23.7","4.7","0.2%"
"90","Troy Franklin (DEN)","12","24","116","9.7","26","2","1","0","0","0","0","7","23.6","3.4","1.4%"
"91","Jamison Crowder (FA)","8","12","67","8.4","12","0","2","0","0","0","0","3","22.7","7.6","0.0%"
"92","Tutu Atwell (LAR)","12","15","159","13.3","21","3","0","1","0","0","0","8","21.9","2.7","1.9%"
"93","Van Jefferson (TEN)","7","15","119","17.0","43","3","1","0","0","0","0","8","21.4","2.7","0.4%"
"94","Dyami Brown (JAC)","16","21","134","8.4","51","2","0","2","18","0","1","6","21.2","3.5","1.5%"
"95","Mike Williams (FA)","8","12","107","13.4","32","2","1","0","0","0","0","5","20.7","4.1","1.1%"
"96","Darius Slayton (NYG)","7","20","104","14.9","32","3","1","1","6","0","0","6","20.5","3.4","4.4%"
"97","Noah Brown (WAS)","13","25","135","10.4","19","0","0","0","0","0","0","4","20.0","5.0","0.7%"
"98","Adonai Mitchell (IND)","11","22","172","15.6","36","2","0","2","-8","0","1","7","19.9","2.8","2.7%"
"99","Kevin Austin Jr. (NO)","10","21","138","13.8","23","2","0","1","9","0","0","7","19.7","2.8","0.0%"
"100","Keon Coleman (BUF)","5","11","108","21.6","64","1","1","0","0","0","0","3","19.3","6.4","81.2%"
"101","Greg Dortch (ARI)","12","14","107","8.9","39","1","0","3","20","0","0","7","18.7","2.7","0.3%"
"102","Tyler Lockett (TEN)","13","17","116","8.9","22","1","0","0","0","0","0","7","18.1","2.6","9.2%"
"103","JuJu Smith-Schuster (KC)","8","12","80","10.0","26","1","1","0","0","0","0","7","18.0","2.6","0.7%"
"104","Lil'Jordan Humphrey (NYG)","8","11","79","9.9","41","2","1","0","0","0","0","4","17.9","4.5","0.1%"
"105","Dante Pettis (FA)","10","22","104","10.4","20","1","0","0","0","0","0","7","17.4","2.5","0.0%"
"106","Ryan Miller (TB)","7","11","69","9.9","23","1","1","0","0","0","0","7","16.4","2.3","0.0%"
"107","Jalen Brooks (DAL)","5","10","74","14.8","41","1","1","0","0","0","0","5","15.9","3.2","0.0%"
"108","Malik Heath (GB)","3","3","18","6.0","12","0","2","0","0","0","0","5","15.3","3.1","0.0%"
"109","Cedrick Wilson Jr. (NO)","6","8","67","11.2","19","0","0","0","0","0","0","6","14.5","2.4","0.0%"
"110","Marquise Brown (KC)","9","15","91","10.1","20","1","0","0","0","0","0","2","13.6","6.8","39.0%"
"111","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","2","13.4","6.7","0.1%"
"112","Robert Woods (PIT)","11","17","74","6.7","17","0","0","0","0","0","0","7","12.9","1.8","0.1%"
"113","Devin Duvernay (CHI)","10","15","80","8.0","28","1","0","1","-7","0","0","7","12.3","1.8","0.1%"
"114","Bryce Oliver (TEN)","5","6","80","16.0","33","1","0","0","0","0","0","8","10.5","1.3","0.0%"
"115","Nelson Agholor (FA)","2","6","32","16.0","26","1","1","0","0","0","0","4","10.2","2.6","0.0%"
"116","Michael Woods II (FA)","7","17","65","9.3","16","0","0","0","0","0","0","5","10.0","2.0","0.0%"
"117","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","7","9.4","1.3","0.0%"
"118","Ryan Flournoy (DAL)","6","9","63","10.5","26","1","0","0","0","0","0","6","9.3","1.6","0.0%"
"119","Jalin Hyatt (NYG)","7","10","56","8.0","19","0","0","0","0","0","0","7","9.1","1.3","0.2%"
"120","DJ Turner (FA)","6","8","59","9.8","25","1","0","0","0","0","0","4","8.9","2.2","0.0%"
"121","Luke McCaffrey (WAS)","6","11","57","9.5","23","1","0","0","0","0","0","7","8.7","1.2","0.5%"
"122","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","4","8.6","2.2","0.1%"
"123","Rakim Jarrett (FA)","5","7","57","11.4","30","1","0","0","0","0","0","7","8.2","1.2","0.0%"
"124","Cedric Tillman (CLE)","5","12","75","15.0","24","3","0","0","0","0","1","2","8.0","4.0","37.3%"
"125","Ja'Lynn Polk (NE)","2","6","9","4.5","7","0","1","0","0","0","0","7","7.9","1.1","0.1%"
