player,team,Position,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
George Kittle,SF,TE,14,14,0,0,0,0,0.21428571428571427,1.4285714285714286,0,6.714285714285714,5.071428571428571,65,0.42857142857142855,0,0.14285714285714285,0.06410934744268078,5.357142857142857,0.01196707818930041
Justin Jefferson,MIN,WR,17,17,0.1176470588235294,0.2352941176470588,2.0588235294117645,0,0.35294117647058826,0.8235294117647058,0,9.823529411764708,6.352941176470588,95.05882352941175,0.5882352941176471,0,0.0588235294117647,0.03522149600580973,6.764705882352941,0.00520665593129361
Patrick Mahomes,KC,QB,17,17,25.647058823529413,38.705882352941174,284.6470588235294,2.176470588235294,3.8823529411764706,22.41176470588235,0.1176470588235294,0,0,0,0,0.7647058823529411,0.5294117647058824,0.2287581699346405,3.941176470588235,0.05804311774461027
Rob Gronkowski,TB,TE,12,12,0,0,0,0,0,0,0,7.416666666666667,4.583333333333333,66.83333333333333,0.5,0,0,0,4.666666666666667,0
Aaron Rodgers,GB,QB,16,16,22.875,33.1875,257.1875,2.3125,2.0625,6.3125,0.1875,0.0625,0.0625,-0.25,0,0.25,0.1875,0.05601851851851851,2.1875,0.0256084656084656
James Conner,ARI,RB,15,6,0,0,0,0,13.466666666666669,50.13333333333333,1,2.6,2.466666666666667,25,0.2,0,0.13333333333333333,0.03983539094650205,16,0.00248971193415637
Davante Adams,GB,WR,16,16,0,0,0,0,0,0,0,10.5625,7.6875,97.0625,0.6875,0,0,0,7.75,0
Dawson Knox,BUF,TE,15,14,0,0,0,0,0,0.26666666666666666,0,4.733333333333333,3.2666666666666666,39.13333333333333,0.6,0,0,0,3.3333333333333335,0
Mike Evans,TB,WR,16,16,0,0,0,0,0.0625,0.625,0,7.125,4.625,64.6875,0.875,0,0,0,4.75,0
Ezekiel Elliott,DAL,RB,17,17,0.0588235294117647,0.0588235294117647,0.2352941176470588,0,13.941176470588236,58.94117647058823,0.5882352941176471,3.823529411764706,2.764705882352941,16.88235294117647,0.1176470588235294,0,0.0588235294117647,0.03522149600580973,16.764705882352942,0.00210093134069742
Matthew Stafford,LAR,QB,17,17,23.764705882352946,35.35294117647059,287.4117647058824,2.411764705882353,1.8823529411764703,2.5294117647058822,0,0,0,0,0,1,0.29411764705882354,0.12316630355846042,1.9411764705882353,0.06344930789375235
Hunter Henry,NE,TE,17,10,0,0,0,0,0,0,0,4.411764705882353,2.9411764705882355,35.470588235294116,0.5294117647058824,0,0,0,3,0
Nick Chubb,CLE,RB,14,14,0,0,0,0,16.285714285714285,89.92857142857143,0.5714285714285714,1.7857142857142858,1.4285714285714286,12.428571428571429,0.07142857142857142,0,0.14285714285714285,0.06410934744268078,17.785714285714285,0.00360454162328325
Tyreek Hill,KC,WR,17,16,0,0,0,0,0.5294117647058824,5.647058823529412,0,9.352941176470589,6.529411764705882,72.88235294117646,0.5294117647058824,0,0.1176470588235294,0.05279593318809005,7.117647058823529,0.00741761044791347
Dak Prescott,DAL,QB,16,16,25.625,37.25,278.0625,2.3125,3,9.125,0.0625,0,0,0,0,0.625,0.875,0.3739197530864197,3.0625,0.1220962459057697
Dallas Goedert,PHI,TE,15,14,0,0,0,0,0,0,0,5.066666666666666,3.7333333333333334,55.333333333333336,0.26666666666666666,0,0.06666666666666667,0.01991769547325102,3.8,0.00524149880875027
Stefon Diggs,BUF,WR,17,17,0,0,0,0,0,0,0,9.647058823529411,6.0588235294117645,72.05882352941177,0.5882352941176471,0,0.0588235294117647,0.01757443718228031,6.117647058823529,0.0028727445394112
Joe Burrow,CIN,QB,16,16,22.875,32.5,288.1875,2.125,2.5,7.375,0.125,0,0,0,0,0.875,0.3125,0.1308641975308642,2.5625,0.05106895513399578
Damien Harris,NE,RB,15,15,0,0,0,0,13.466666666666669,61.93333333333333,1,1.4,1.2,8.8,0,0,0.13333333333333333,0.07983539094650206,14.733333333333333,0.00541869169320149
Kyle Pitts,ATL,TE,17,15,0,0,0,0,0,0,0,6.470588235294118,4,60.35294117647059,0.0588235294117647,0,0,0,4.0588235294117645,0
Alvin Kamara,NO,RB,13,10,0,0,0,0,18.46153846153846,69.07692307692308,0.3076923076923077,5.153846153846154,3.6153846153846154,33.76923076923077,0.38461538461538464,0,0,0,22.153846153846153,0
Mike Williams,LAC,WR,16,14,0,0,0,0,0,0,0,8.0625,4.75,71.625,0.5625,0,0,0,4.8125,0
Jalen Hurts,PHI,QB,15,15,17.666666666666668,28.8,209.6,1.0666666666666669,9.266666666666667,52.266666666666666,0.6666666666666666,0.06666666666666667,0,0,0,0.6,0.6,0.21925925925925924,9.333333333333334,0.02349206349206349
Zach Ertz,2TM,TE,17,14,0,0,0,0,0.0588235294117647,0.2352941176470588,0,6.588235294117647,4.352941176470588,44.88235294117647,0.29411764705882354,0,0,0,4.470588235294118,0
Kyler Murray,ARI,QB,14.000000000000002,14,23.78571428571428,34.357142857142854,270.49999999999994,1.714285714285714,6.285714285714285,30.21428571428571,0.3571428571428571,0,0,0.49999999999999994,0,0.7142857142857142,0.9285714285714284,0.2774250440917107,6.357142857142857,0.04363989457622416
D K Metcalf,SEA,WR,17,17,0,0,0,0,0.0588235294117647,0.35294117647058826,0,7.588235294117647,4.411764705882353,56.88235294117647,0.7058823529411765,0,0.0588235294117647,0.01757443718228031,4.529411764705882,0.00388007054673721
Antonio Gibson,WAS,RB,16,14,0,0,0,0,16.125,64.8125,0.4375,3.25,2.625,18.375,0.1875,0,0.375,0.187037037037037,18.8125,0.00994216808170296
Mike Gesicki,MIA,TE,17,9,0,0.0588235294117647,0,0,0,0,0,6.588235294117647,4.294117647058823,45.88235294117647,0.1176470588235294,0,0,0,4.352941176470588,0
Leonard Fournette,TB,RB,14,13,0,0.07142857142857142,0,0,12.857142857142858,58,0.5714285714285714,6,4.928571428571429,32.42857142857143,0.14285714285714285,0,0.07142857142857142,0.02134038800705467,17.857142857142858,0.00119506172839506
Tyler Lockett,SEA,WR,16,16,0,0,0,0,0.125,0.5625,0,6.6875,4.5625,73.4375,0.5,0,0,0,4.75,0
Kirk Cousins,MIN,QB,16,16,23.25,35.0625,263.8125,2.0625,1.8125,7.1875,0.0625,0,0,0,0,0.4375,0.75,0.261574074074074,1.875,0.13950617283950614
Cordarrelle Patterson,ATL,RB,16,13,0,0.0625,0,0,9.5625,38.625,0.375,4.3125,3.25,34.25,0.3125,0,0.125,0.03734567901234567,12.875,0.0029006352630948
Pat Freiermuth,PIT,TE,16,9,0,0,0,0,0,0,0,4.9375,3.75,31.0625,0.4375,0,0.0625,0.03742283950617284,3.8125,0.00981582675571746
Diontae Johnson,PIT,WR,16,14,0,0,0,0,0.3125,3.3125,0,10.5625,6.6875,72.5625,0.5,0,0.125,0.07484567901234568,7.0625,0.01059761826723478
Ryan Tannehill,TEN,QB,17,17,21,31.235294117647054,219.64705882352945,1.2352941176470589,3.235294117647059,15.882352941176473,0.4117647058823529,0,0,0,0,0.8235294117647058,0.5882352941176471,0.24633260711692084,3.2941176470588234,0.07477954144620812
Noah Fant,DEN,TE,16,16,0,0,0,0,0,0,0,5.625,4.25,41.875,0.25,0,0,0,4.3125,0
Aaron Jones,GB,RB,15,15,0,0,0,0,11.4,53.266666666666666,0.26666666666666666,4.333333333333333,3.466666666666667,26.066666666666663,0.4,0,0.13333333333333333,0.05983539094650205,14.933333333333334,0.00400683421516754
Hunter Renfrow,LV,WR,17,9,0,0,0,0,0.17647058823529413,0.17647058823529413,0,7.529411764705882,6.0588235294117645,61.05882352941177,0.5294117647058824,0,0.29411764705882354,0.10551924473493102,6.294117647058823,0.01676473981769932
Carson Wentz,IND,QB,17,17,18.941176470588236,30.352941176470587,209.58823529411765,1.588235294117647,3.3529411764705883,12.647058823529411,0.0588235294117647,0,0,0,0,0.4117647058823529,0.4705882352941176,0.2288307915758896,3.411764705882353,0.06707109408258832
Tyler Higbee,LAR,TE,15,15,0,0,0,0,0,0,0,5.666666666666667,4.066666666666666,37.333333333333336,0.3333333333333333,0,0.06666666666666667,0.01991769547325102,4.133333333333334,0.00481879729191557
Derrick Henry,TEN,RB,8,8,0.125,0.125,0.625,0.125,27.375,117.125,1.25,2.5,2.25,19.25,0,0,0.125,0.03734567901234567,29.75,0.00125531694159145
CeeDee Lamb,DAL,WR,16,13,0,0,0,0,0.5625,4.75,0,7.5,4.9375,68.875,0.375,0,0,0,5.5625,0
Derek Carr,LV,QB,17,17,25.176470588235293,36.8235294117647,282.5882352941176,1.3529411764705883,2.3529411764705883,6.352941176470588,0,0,0,0,0,0.8235294117647058,0.7647058823529411,0.3167029774872912,2.411764705882353,0.1313158687142427
Jared Cook,LAC,TE,16,10,0,0,0,0,0,0,0,5.1875,3,35.25,0.25,0,0,0,3.0625,0
Keenan Allen,LAC,WR,16,16,0,0.0625,0,0,0,0,0,9.8125,6.625,71.125,0.375,0,0.0625,0.01867283950617283,6.6875,0.00279220029998846
Russell Wilson,SEA,QB,14.000000000000002,14,18.499999999999996,28.57142857142857,222.35714285714283,1.7857142857142856,3.071428571428571,13.07142857142857,0.14285714285714285,0,0,0,0,0.4285714285714285,0.4285714285714285,0.14947089947089942,3.1428571428571423,0.04755892255892255
Dalvin Cook,MIN,RB,13,13,0,0,0,0,19.153846153846153,89.15384615384616,0.4615384615384616,3.769230769230769,2.6153846153846154,17.23076923076923,0,0,0.2307692307692308,0.11509971509971507,21.846153846153847,0.00526864893062076
T J Hockenson,DET,TE,12,12,0,0,0,0,0,0,0,7,5.083333333333333,48.583333333333336,0.3333333333333333,0,0,0,5.166666666666667,0
Michael Pittman,IND,WR,17,17,0,0,0,0,0.29411764705882354,2.588235294117647,0,7.588235294117647,5.176470588235294,63.64705882352941,0.35294117647058826,0,0.0588235294117647,0.01757443718228031,5.529411764705882,0.00317835566062516
Josh Jacobs,LV,RB,15,14,0,0,0,0,14.466666666666669,58.13333333333333,0.6,4.266666666666667,3.6,23.2,0,0,0.13333333333333333,0.07983539094650206,18.133333333333333,0.00440268700072621
Lamar Jackson,BAL,QB,12.000000000000002,12,20.499999999999996,31.83333333333333,240.16666666666663,1.333333333333333,11.083333333333332,63.91666666666666,0.16666666666666663,0,0,0,0,1.0833333333333333,0.49999999999999994,0.22438271604938265,11.166666666666664,0.0200939745715865
C J Uzomah,CIN,TE,16,16,0,0,0,0,0,0,0,3.9375,3.0625,30.8125,0.3125,0,0,0,3.125,0
