Rk,Team,Date,TD,Pts,Cmp,Att,Tot,Sfty,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,DAL,2022-01-08,5,51,22,32,475,0,Sat,17,18,@,PHI,W 51-26,22,28,6,78.6,304,5,0,17.9,0.0,151.6,1,1,3.45,10.9,10.48,14.43,13.93,13.8,51,26,25,77,32,171,5.3,2,475,61,7.79,70,4.50,0,27:37,3:02,7,7,6,1,1,0,0,0
2,DAL,2021-12-26,5,56,30,28,497,0,Sun,15,16,,WAS,W 56-14,30,42,12,71.4,389,5,0,11.9,0.0,140.9,3,11,6.67,9.3,8.64,11.64,10.87,13.0,56,14,42,70,28,108,3.9,1,497,73,6.81,57,4.51,0,31:31,3:05,8,8,8,0,0,0,0,0
3,KAN,2021-11-14,5,41,36,25,516,0,Sun,10,10,@,LVR,W 41-14,36,51,15,70.6,422,5,0,9.8,0.0,128.1,0,0,0.00,8.3,8.27,10.24,10.24,11.7,41,14,27,55,25,94,3.8,0,516,76,6.79,51,5.86,1,35:26,3:00,5,5,5,3,2,0,0,0
4,TAM,2021-10-10,5,45,33,25,558,0,Sun,5,5,,MIA,W 45-17,33,44,11,75.0,437,5,0,11.4,0.0,145.3,2,15,4.35,9.9,9.50,12.20,11.67,13.2,45,17,28,62,25,121,4.8,1,558,71,7.86,51,5.90,0,37:07,2:58,6,6,6,2,1,0,0,0
5,KAN,2021-10-03,5,42,24,32,471,0,Sun,4,4,@,PHI,W 42-30,24,30,6,80.0,271,5,1,16.7,3.3,131.0,1,7,3.23,9.0,8.74,10.87,10.52,11.3,42,30,12,72,32,200,6.3,1,471,63,7.48,70,6.59,1,30:52,3:09,6,6,6,0,0,0,0,0
6,TAM,2021-09-19,5,48,24,21,341,0,Sun,2,2,,ATL,W 48-25,24,36,12,66.7,259,5,0,13.9,0.0,129.2,3,17,7.69,7.2,6.64,9.97,9.21,10.8,48,25,23,73,21,82,3.9,0,341,60,5.68,69,5.04,1,26:29,3:10,7,7,6,0,0,0,0,0
7,NOR,2021-09-12,5,38,15,39,322,0,Sun,1,1,,GNB,W 38-3,15,21,6,71.4,151,5,0,23.8,0.0,131.2,0,0,0.00,7.2,7.19,11.95,11.95,10.1,38,3,35,41,39,171,4.4,0,322,60,5.37,52,4.40,0,34:36,2:51,5,5,5,1,1,0,0,0
8,TEN,2022-01-09,4,28,23,32,405,0,Sun,17,18,@,HOU,W 28-25,23,32,9,71.9,281,4,0,12.5,0.0,138.9,1,6,3.03,8.8,8.52,11.28,10.94,12.2,28,25,3,53,32,124,3.9,0,405,65,6.23,56,6.30,0,33:34,3:02,4,4,4,1,0,0,0,0
9,CIN,2022-01-02,4,34,30,19,475,0,Sun,16,17,,KAN,W 34-31,30,40,10,75.0,415,4,0,10.0,0.0,144.4,4,31,9.09,10.4,9.43,12.38,11.25,13.8,34,31,3,65,19,60,3.2,0,475,63,7.54,58,7.14,0,29:06,3:08,4,4,4,2,2,0,0,0
10,SEA,2022-01-02,4,51,20,41,497,0,Sun,16,17,,DET,W 51-29,20,29,9,69.0,232,4,0,13.8,0.0,133.0,1,4,3.33,8.0,7.73,10.76,10.40,11.6,51,29,22,80,41,265,6.5,2,497,71,7.00,59,6.05,0,33:33,3:13,6,6,6,3,3,0,0,0
11,CIN,2021-12-26,4,41,37,21,575,0,Sun,15,16,,BAL,W 41-21,37,46,9,80.4,498,4,0,8.7,0.0,143.2,3,27,6.12,10.8,10.16,12.57,11.80,13.5,41,21,20,62,21,77,3.7,1,575,70,8.21,57,5.86,0,37:03,3:02,5,5,5,3,2,0,0,0
12,GNB,2021-12-12,4,45,29,24,439,0,Sun,13,14,,CHI,W 45-30,29,37,8,78.4,320,4,0,10.8,0.0,141.1,3,21,7.50,8.6,8.00,10.81,10.00,11.0,45,30,15,75,24,119,5.0,1,439,64,6.86,58,5.98,0,35:00,3:16,6,6,6,1,1,0,0,0
13,TAM,2021-12-05,4,30,38,17,425,0,Sun,12,13,@,ATL,W 30-17,38,51,13,74.5,368,4,1,7.8,2.0,112.2,0,0,0.00,7.2,7.22,7.90,7.90,9.7,30,17,13,47,17,57,3.4,0,425,68,6.25,69,5.51,1,27:14,3:03,4,4,3,1,1,0,0,0
14,BUF,2021-11-25,4,31,23,32,361,0,Thu,11,12,@,NOR,W 31-6,23,28,5,82.1,248,4,2,14.3,7.1,115.2,2,12,6.67,8.9,8.27,8.50,7.93,10.8,31,6,25,37,32,113,3.5,0,361,62,5.82,57,3.33,2,34:38,2:49,4,4,4,1,1,0,0,0
15,GNB,2021-11-21,4,31,23,19,467,0,Sun,11,11,@,MIN,L 31-34,23,33,10,69.7,372,4,0,12.1,0.0,148.4,2,13,5.71,11.3,10.63,13.70,12.91,16.2,31,34,-3,65,19,95,5.0,0,467,54,8.65,66,6.18,0,28:59,2:58,4,4,4,2,1,0,0,0
16,NWE,2021-11-14,4,45,22,34,452,0,Sun,10,10,,CLE,W 45-7,22,26,4,84.6,268,4,0,15.4,0.0,151.6,2,15,7.14,10.3,9.57,13.38,12.43,12.2,45,7,38,52,34,184,5.4,2,452,62,7.29,58,3.74,0,34:02,2:56,6,6,6,1,1,0,0,0
17,NYJ,2021-11-04,4,30,34,21,486,0,Thu,8,9,@,IND,L 30-45,34,52,18,65.4,398,4,1,7.7,1.9,107.2,2,14,3.70,7.7,7.37,8.33,8.02,11.7,30,45,-15,75,21,88,4.2,0,486,75,6.48,61,8.72,2,29:33,3:12,4,3,3,1,1,1,0,0
18,TAM,2021-10-31,4,27,28,14,421,0,Sun,8,8,@,NOR,L 27-36,28,41,13,68.3,350,4,2,9.8,4.9,109.3,3,25,6.82,8.5,7.95,8.29,7.73,12.5,27,36,-9,63,14,71,5.1,0,421,58,7.26,72,5.01,3,26:44,3:09,4,3,3,0,0,1,0,0
19,TAM,2021-10-24,4,38,22,31,408,0,Sun,7,7,,CHI,W 38-3,22,39,17,56.4,226,4,0,10.3,0.0,107.4,0,0,0.00,5.8,5.79,7.85,7.85,10.3,38,3,35,41,31,182,5.9,1,408,70,5.83,65,4.78,1,31:05,2:56,5,5,5,2,1,0,0,0
20,MIA,2021-10-24,4,28,32,29,413,0,Sun,7,7,,ATL,L 28-30,32,40,8,80.0,281,4,2,10.0,5.0,109.5,1,10,2.44,7.0,6.85,6.78,6.61,8.8,28,30,-2,58,29,132,4.6,0,413,70,5.90,63,6.30,2,34:38,3:09,4,4,4,1,0,0,0,0
21,ARI,2021-10-17,4,37,20,37,352,0,Sun,6,6,@,CLE,W 37-14,20,30,10,66.7,208,4,0,13.3,0.0,129.0,2,21,6.25,6.9,6.50,9.60,9.00,10.4,37,14,23,51,37,144,3.9,0,352,69,5.10,55,5.27,0,34:39,2:57,4,4,4,3,3,0,0,0
22,CIN,2021-10-17,4,34,20,36,398,0,Sun,6,6,@,DET,W 34-11,20,30,10,66.7,256,4,1,13.3,3.3,121.9,2,22,6.25,8.5,8.00,9.70,9.09,12.8,34,11,23,45,36,142,3.9,0,398,68,5.85,61,3.74,1,35:52,2:57,4,4,4,2,2,0,0,0
23,LAR,2021-10-17,4,38,22,34,365,0,Sun,6,6,@,NYG,W 38-11,22,30,8,73.3,234,4,2,13.3,6.7,109.9,2,17,6.25,7.8,7.31,7.47,7.00,10.6,38,11,27,49,34,131,3.9,1,365,66,5.53,73,3.58,2,32:22,3:02,5,5,5,1,1,0,0,0
24,BAL,2021-10-11,4,31,37,25,523,0,Mon,5,5,,IND,W 31-25 (OT),37,43,6,86.0,437,4,0,9.3,0.0,140.5,2,5,4.44,10.2,9.71,12.02,11.49,11.8,31,25,6,56,25,86,3.4,0,523,70,7.47,63,8.14,1,33:51,3:15,4,0,0,1,1,3,2,0
25,LAC,2021-10-10,4,47,26,23,493,0,Sun,5,5,,CLE,W 47-42,26,43,17,60.5,381,4,0,9.3,0.0,122.0,2,17,4.44,8.9,8.47,10.72,10.24,14.7,47,42,5,89,23,112,4.9,3,493,68,7.25,68,7.81,1,23:32,3:21,7,5,3,0,0,2,1,0
26,NOR,2021-10-10,4,33,15,23,369,0,Sun,5,5,@,WAS,W 33-22,15,30,15,50.0,271,4,1,13.3,3.3,108.2,2,8,6.25,9.0,8.47,10.20,9.56,18.1,33,22,11,55,23,98,4.3,1,369,55,6.71,76,4.91,2,23:34,3:15,5,5,3,0,0,0,0,0
27,ATL,2021-10-03,4,30,25,28,374,0,Sun,4,4,,WAS,L 30-34,25,42,17,59.5,275,4,0,9.5,0.0,111.5,1,8,2.33,6.5,6.40,8.45,8.26,11.0,30,34,-4,64,28,99,3.5,0,374,71,5.27,62,6.65,0,30:43,3:20,4,3,3,1,1,1,0,0
28,DAL,2021-10-03,4,36,14,34,433,0,Sun,4,4,,CAR,W 36-28,14,22,8,63.6,188,4,0,18.2,0.0,130.3,0,0,0.00,8.5,8.55,12.18,12.18,13.4,36,28,8,64,34,245,7.2,1,433,56,7.73,68,5.57,0,26:24,3:12,5,3,3,1,1,2,0,0
29,BUF,2021-09-26,4,43,33,33,481,0,Sun,3,3,,WAS,W 43-21,33,44,11,75.0,359,4,0,9.1,0.0,128.9,0,0,0.00,8.2,8.16,9.98,9.98,10.9,43,21,22,64,33,122,3.7,1,481,77,6.25,50,5.80,0,35:37,3:06,5,4,4,3,3,1,0,0
30,LAC,2021-09-26,4,30,26,22,352,0,Sun,3,3,@,KAN,W 30-24,26,38,12,68.4,275,4,0,10.5,0.0,125.0,1,6,2.56,7.2,7.05,9.34,9.10,10.6,30,24,6,54,22,77,3.5,0,352,61,5.77,76,5.75,0,27:29,3:07,4,3,1,1,1,1,1,0
31,LAR,2021-09-26,4,34,27,24,407,0,Sun,3,3,,TAM,W 34-24,27,38,11,71.1,331,4,0,10.5,0.0,134.0,1,12,2.56,8.7,8.49,10.82,10.54,12.3,34,24,10,58,24,76,3.2,0,407,63,6.46,71,6.28,0,30:10,3:06,4,4,4,2,2,0,0,0
32,GNB,2021-09-20,4,35,22,31,323,0,Mon,2,2,,DET,W 35-17,22,27,5,81.5,227,4,0,14.8,0.0,145.6,3,28,10.00,8.4,7.57,11.37,10.23,10.3,35,17,18,52,31,96,3.1,1,323,61,5.30,56,6.14,0,33:25,2:55,5,5,5,0,0,0,0,0
33,SEA,2021-09-12,4,28,18,27,381,0,Sun,1,1,@,IND,W 28-16,18,23,5,78.3,241,4,0,17.4,0.0,152.3,3,13,11.54,10.5,9.27,13.96,12.35,13.4,28,16,12,44,27,140,5.2,0,381,53,7.19,71,4.73,1,24:13,2:58,4,4,4,0,0,0,0,0
34,ARI,2021-09-12,4,38,21,33,416,0,Sun,1,1,@,TEN,W 38-13,21,32,11,65.6,280,4,1,12.5,3.1,121.0,2,9,5.88,8.8,8.24,9.84,9.26,13.3,38,13,25,51,33,136,4.1,1,416,67,6.21,64,3.88,1,33:21,3:12,5,5,5,2,1,0,0,0
35,TAM,2021-09-09,4,31,32,14,431,0,Thu,1,1,,DAL,W 31-29,32,50,18,64.0,379,4,2,8.0,4.0,97.0,0,0,0.00,7.6,7.58,7.38,7.38,11.8,31,29,2,60,14,52,3.7,0,431,64,6.73,77,5.86,4,25:33,3:31,4,4,4,1,1,0,0,0
36,NOR,2022-01-09,3,30,16,46,369,0,Sun,17,18,@,ATL,W 30-20,16,24,8,66.7,174,3,0,12.5,0.0,128.1,1,4,4.00,7.3,6.96,9.75,9.36,10.9,30,20,10,50,46,195,4.2,0,369,71,5.20,48,5.35,0,39:17,2:59,3,3,3,4,3,0,0,0
37,SEA,2022-01-09,3,38,15,30,431,0,Sun,17,18,@,ARI,W 38-30,15,26,11,57.7,229,3,1,11.5,3.8,110.7,1,9,3.70,8.8,8.48,9.38,9.04,15.3,38,30,8,68,30,202,6.7,2,431,57,7.56,72,4.24,2,24:11,3:09,5,5,5,1,1,0,0,0
38,DET,2022-01-09,3,37,22,26,404,0,Sun,17,18,,GNB,W 37-30,22,32,10,68.8,305,3,0,9.4,0.0,131.4,1,8,3.03,9.5,9.24,11.41,11.06,13.9,37,30,7,67,26,99,3.8,1,404,59,6.85,66,5.73,0,26:21,3:02,4,4,4,3,3,0,0,0
39,GNB,2022-01-09,3,30,24,27,378,0,Sun,17,18,@,DET,L 30-37,24,35,11,68.6,256,3,2,8.6,5.7,96.4,4,16,10.26,7.3,6.56,6.46,5.79,10.7,30,37,-7,67,27,122,4.5,1,378,66,5.73,59,6.85,3,33:39,3:02,4,2,1,1,1,2,1,0
40,HOU,2022-01-09,3,25,23,21,353,0,Sun,17,18,,TEN,L 25-28,23,33,10,69.7,289,3,0,9.1,0.0,128.5,2,12,5.71,8.8,8.26,10.58,9.97,12.6,25,28,-3,53,21,64,3.0,0,353,56,6.30,65,6.23,0,26:26,3:02,3,2,2,1,1,1,1,0
41,MIN,2022-01-09,3,31,14,22,331,0,Sun,17,18,,CHI,W 31-17,14,22,8,63.6,227,3,0,13.6,0.0,142.0,3,23,12.00,10.3,9.08,13.05,11.48,16.2,31,17,14,48,22,104,4.7,0,331,47,7.04,80,4.45,0,23:13,2:51,4,4,4,1,1,0,0,0
42,LAC,2022-01-09,3,32,34,21,440,0,Sun,17,18,@,LVR,L 32-35 (OT),34,64,30,53.1,355,3,1,4.7,1.6,80.4,3,28,4.48,5.5,5.30,5.78,5.52,10.4,32,35,-3,67,21,85,4.0,1,440,88,5.00,74,4.68,2,31:19,3:52,4,3,3,2,1,1,1,0
43,LAR,2022-01-09,3,24,21,27,265,0,Sun,17,18,,SFO,L 24-27 (OT),21,32,11,65.6,201,3,2,9.4,6.3,93.0,5,37,13.51,6.3,5.43,5.34,4.62,9.6,24,27,-3,51,27,64,2.4,0,265,64,4.14,67,6.70,2,31:24,3:12,3,3,3,1,1,0,0,0
44,TAM,2022-01-09,3,41,29,20,409,0,Sun,17,18,,CAR,W 41-17,29,39,10,74.4,324,3,0,7.7,0.0,124.5,1,2,2.50,8.3,8.10,9.85,9.60,11.2,41,17,24,58,20,85,4.3,2,409,60,6.82,71,4.46,0,24:55,2:59,5,5,5,3,2,0,0,0
45,DAL,2022-01-02,3,22,25,17,301,0,Sun,16,17,,ARI,L 22-25,25,39,14,64.1,256,3,0,7.7,0.0,108.6,1,1,2.50,6.6,6.40,8.10,7.90,10.2,22,25,-3,47,17,45,2.6,0,301,57,5.28,72,5.54,1,25:18,3:06,3,2,2,1,0,1,1,0
46,NWE,2022-01-02,3,50,25,36,471,0,Sun,16,17,,JAX,W 50-10,25,34,9,73.5,290,3,0,8.8,0.0,128.3,0,0,0.00,8.5,8.53,10.29,10.29,11.6,50,10,40,60,36,181,5.0,4,471,70,6.73,46,5.50,0,36:46,2:47,7,6,5,1,1,1,0,0
47,TAM,2022-01-02,3,28,34,21,467,0,Sun,16,17,@,NYJ,W 28-24,34,50,16,68.0,405,3,1,6.0,2.0,104.6,1,5,1.96,8.1,7.94,8.40,8.24,11.9,28,24,4,52,21,62,3.0,0,467,72,6.49,60,6.23,1,33:03,2:59,3,2,2,2,2,1,1,0
48,KAN,2021-12-26,3,36,23,35,381,0,Sun,15,16,,PIT,W 36-10,23,30,7,76.7,254,3,0,10.0,0.0,135.1,2,4,6.25,8.5,7.94,10.47,9.81,11.0,36,10,26,46,35,127,3.6,1,381,67,5.69,70,4.33,0,34:42,2:58,4,4,3,4,3,0,0,0
49,BUF,2021-12-26,3,33,30,28,428,0,Sun,15,16,@,NWE,W 33-21,30,47,17,63.8,314,3,0,6.4,0.0,104.4,0,0,0.00,6.7,6.68,7.96,7.96,10.5,33,21,12,54,28,114,4.1,1,428,75,5.71,60,4.80,0,35:09,3:13,4,3,3,2,2,1,0,0
50,GNB,2021-12-25,3,24,24,24,311,0,Sat,15,16,,CLE,W 24-22,24,34,10,70.6,202,3,0,8.8,0.0,115.1,0,0,0.00,5.9,5.94,7.71,7.71,8.4,24,22,2,46,24,109,4.5,0,311,58,5.36,66,6.18,0,28:19,2:54,3,3,3,1,1,0,0,0
51,BUF,2021-12-19,3,31,19,27,312,0,Sun,14,15,,CAR,W 31-14,19,34,15,55.9,193,3,1,8.8,2.9,91.5,4,17,10.53,5.7,5.08,6.12,5.47,10.2,31,14,17,45,27,119,4.4,1,312,65,4.80,71,3.87,1,28:35,3:11,4,4,4,1,1,0,0,0
52,DET,2021-12-19,3,30,21,34,338,0,Sun,14,15,,ARI,W 30-12,21,26,5,80.8,212,3,0,11.5,0.0,139.7,2,4,7.14,8.2,7.57,10.46,9.71,10.1,30,12,18,42,34,126,3.7,0,338,62,5.45,73,5.45,1,31:52,3:04,3,3,3,3,3,0,0,0
53,GNB,2021-12-19,3,31,23,25,346,0,Sun,14,15,@,BAL,W 31-30,23,31,8,74.2,250,3,0,9.7,0.0,132.2,3,18,8.82,8.1,7.35,10.00,9.12,10.9,31,30,1,61,25,96,3.8,1,346,59,5.86,67,5.28,0,31:10,3:06,4,4,4,1,1,0,0,0
54,KAN,2021-12-16,3,34,31,20,496,0,Thu,14,15,@,LAC,W 34-28 (OT),31,47,16,66.0,410,3,1,6.4,2.1,105.8,1,0,2.08,8.7,8.54,9.04,8.85,13.2,34,28,6,62,20,86,4.3,1,496,68,7.29,78,5.49,2,28:12,3:12,4,2,2,2,2,1,1,0
55,LAR,2021-12-13,3,30,23,21,356,0,Mon,13,14,@,ARI,W 30-23,23,30,7,76.7,267,3,0,10.0,0.0,139.2,3,20,9.09,8.9,8.09,10.90,9.91,11.6,30,23,7,53,21,89,4.2,0,356,54,6.59,75,5.96,0,29:04,3:01,3,3,3,3,3,0,0,0
56,LAC,2021-12-12,3,37,23,37,423,0,Sun,13,14,,NYG,W 37-21,23,31,8,74.2,271,3,0,9.7,0.0,133.1,2,4,6.06,8.7,8.21,10.68,10.03,11.8,37,21,16,58,37,152,4.1,1,423,70,6.04,65,4.86,0,34:20,3:01,4,4,4,3,3,0,0,0
57,PIT,2021-12-09,3,28,28,24,375,0,Thu,13,14,@,MIN,L 28-36,28,40,12,70.0,269,3,1,7.5,2.5,107.1,5,39,11.11,6.7,5.98,7.10,6.31,9.6,28,36,-8,64,24,106,4.4,1,375,69,5.43,67,6.84,1,29:32,3:20,4,2,2,1,0,2,1,0
58,LAR,2021-12-05,3,37,26,27,418,0,Sun,12,13,,JAX,W 37-7,26,38,12,68.4,290,3,0,7.9,0.0,117.8,1,5,2.56,7.6,7.44,9.21,8.97,11.2,37,7,30,44,27,128,4.7,1,418,66,6.33,55,3.58,0,33:45,2:53,4,4,4,3,3,0,0,0
59,LAC,2021-12-05,3,41,26,22,363,0,Sun,12,13,@,CIN,W 41-22,26,35,9,74.3,284,3,1,8.6,2.9,118.4,4,33,10.26,8.1,7.28,8.54,7.67,10.9,41,22,19,63,22,79,3.6,1,363,61,5.95,71,5.01,3,28:46,3:20,5,4,3,2,2,1,1,0
60,DET,2021-12-05,3,29,25,27,372,0,Sun,12,13,,MIN,W 29-27,25,41,16,61.0,272,3,1,7.3,2.4,97.2,3,24,6.82,6.6,6.18,7.00,6.52,10.9,29,27,2,56,27,100,3.7,0,372,71,5.24,71,6.00,2,26:56,3:10,3,2,2,3,3,0,0,0
61,LAR,2021-11-28,3,28,21,20,353,0,Sun,11,12,@,GNB,L 28-36,21,39,18,53.8,285,3,1,7.7,2.6,94.2,2,17,4.88,7.3,6.95,7.69,7.32,13.6,28,36,-8,64,20,68,3.4,0,353,61,5.79,78,5.12,3,20:20,3:19,3,2,2,2,2,1,1,0
62,IND,2021-11-28,3,31,27,20,392,0,Sun,12,12,,TAM,L 31-38,27,44,17,61.4,285,3,2,6.8,4.5,86.0,3,21,6.38,6.5,6.06,5.80,5.43,10.6,31,38,-7,69,20,107,5.4,1,392,67,5.85,63,5.70,5,30:01,3:19,4,4,4,1,1,0,0,0
63,WAS,2021-11-21,3,27,16,40,369,0,Sun,10,11,@,CAR,W 27-21,16,22,6,72.7,179,3,0,13.6,0.0,141.3,3,27,12.00,8.1,7.16,10.86,9.56,11.2,27,21,6,48,40,190,4.8,0,369,65,5.68,49,6.06,1,35:53,3:06,3,3,3,2,2,0,0,0
64,MIN,2021-11-21,3,34,24,29,408,0,Sun,10,11,,GNB,W 34-31,24,35,11,68.6,318,3,0,8.6,0.0,128.4,2,23,5.41,9.1,8.59,10.80,10.22,13.3,34,31,3,65,29,90,3.1,1,408,66,6.18,54,8.65,0,31:01,2:58,4,3,2,2,2,1,1,0
65,NOR,2021-11-21,3,29,22,22,323,0,Sun,10,11,@,PHI,L 29-40,22,40,18,55.0,214,3,2,7.5,5.0,74.4,0,0,0.00,5.4,5.35,4.60,4.60,9.7,29,40,-11,69,22,109,5.0,1,323,62,5.21,77,4.94,3,22:59,3:14,4,3,2,1,1,1,0,0
66,PIT,2021-11-21,3,37,28,18,300,0,Sun,10,11,@,LAC,L 37-41,28,44,16,63.6,245,3,0,6.8,0.0,103.7,3,28,6.38,5.6,5.21,6.93,6.49,8.8,37,41,-4,78,18,55,3.1,1,300,65,4.62,69,7.72,0,28:14,3:17,4,4,4,3,3,0,0,0
67,LAC,2021-11-21,3,41,30,26,533,0,Sun,10,11,,PIT,W 41-37,30,41,11,73.2,374,3,1,7.3,2.4,116.1,2,8,4.65,9.1,8.70,9.49,9.05,12.5,41,37,4,78,26,159,6.1,2,533,69,7.72,65,4.62,1,31:46,3:17,5,5,5,2,2,0,0,0
68,BAL,2021-11-07,3,34,27,45,500,0,Sun,8,9,,MIN,W 34-31 (OT),27,41,14,65.9,253,3,2,7.3,4.9,88.1,3,13,6.82,6.2,5.75,5.44,5.07,9.4,34,31,3,65,45,247,5.5,1,500,89,5.62,52,6.12,2,46:04,3:32,4,4,4,2,2,0,0,0
69,IND,2021-11-04,3,45,22,30,532,0,Thu,9,9,,NYJ,W 45-30,22,30,8,73.3,272,3,0,10.0,0.0,134.3,1,0,3.23,9.1,8.77,11.07,10.71,12.4,45,30,15,75,30,260,8.7,3,532,61,8.72,75,6.48,0,30:27,3:12,6,6,6,1,1,0,0,0
