player,Position,Team,player_games,pl_rus_att,pl_rus_yds,pl_rus_tds,rus_att_per,rus_yds_per,rus_tds_per,Pick,tot_rus_att_per,tot_rus_yds_per,tot_rus_tds_per,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per
Kenneth Gainwell,RB,PHI,16,84,364,2,0.175,0.17659817351598175,0.1359552718970527,NA,1.6727573356489036,1.5486740409981865,1.7387050023451684,0.10461768498663507,0.11403185489062417,0.07819340929811323
Tyrion Davis Price,RB,PHI,1,6,21,0,0.20440881763527055,0.14943491000418585,0.0967070180545268,NA,1.6727573356489036,1.5486740409981865,1.7387050023451684,0.12219872738204156,0.09649216429550836,0.05562014138343664
Will Shipley,RB,PHI,NA,NA,NA,NA,0.3224888084910576,0.3224888084910576,0.3224888084910576,127,1.6727573356489036,1.5486740409981865,1.7387050023451684,0.1927887575910443,0.20823543234649933,0.18547643680560194
Jayden Reed,WR,GB,16,11,119,2,0.02650226757369614,0.06637139107611548,0.12348804613709,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.014137435603263427,0.036460784672152004,0.06438672137603463
Adam Thielen,WR,CAR,17,1,6,0,0.00224719101123595,0.00339174674957603,0.0012380510794519832,NA,1.000749063670412,1.00337996985114,1.0051019081675645,0.0022455089820359233,0.0033803213652742383,0.0012317667187689617
Miles Sanders,RB,CAR,16,129,432,1,0.3080056179775281,0.2594686263425664,0.22504196696812503,NA,1.000749063670412,1.00337996985114,1.0051019081675645,0.3077750748502994,0.2585945844434793,0.22389965150738467
Chuba Hubbard,RB,CAR,17,238,902,5,0.5348314606741573,0.5098925946862635,0.6220647008811464,NA,1.000749063670412,1.00337996985114,1.0051019081675645,0.534431137724551,0.5081749785795608,0.6189070937247088
Ihmir Smith Marsette,WR,CAR,17,8,74,1,0.01797752808988764,0.04183154324477105,0.08280273698900359,NA,1.000749063670412,1.00337996985114,1.0051019081675645,0.017964071856287425,0.04169063017171562,0.08238242939958604
Raheem Blackshear,RB,CAR,12,14,46,0,0.04456928838951311,0.03683813830789523,0.02151152918659477,NA,1.000749063670412,1.00337996985114,1.0051019081675645,0.04453592814371258,0.03671404593950633,0.021402336431549682
Bryce Young,QB,CAR,16,39,253,0,0.0931179775280899,0.15195732052006783,0.05244292306324275,NA,1.000749063670412,1.00337996985114,1.0051019081675645,0.09304827844311378,0.1514454395004636,0.05217672221800198
Derek Carr,QB,NO,17,32,40,0,0.06666666666666667,0.02296211251435132,0.0289628779181018,NA,1.2911975388140022,1.2752670651272906,1.1909731776596317,0.05163165562405091,0.01800572848014338,0.024318665156688443
Alvin Kamara,RB,NO,13,180,694,5,0.4903846153846154,0.5209750066236863,0.4997306367570432,NA,1.2911975388140022,1.2752670651272906,1.1909731776596317,0.3797905437730668,0.40852227809371466,0.4195985653841998
