Rk,Season,Team,Cmp,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Att,Yds,Y/A,TD
74,2021,LAR,406,416,443,17,12,5,0,.706,460,372,88,406,607,201,66.9,4642,41,18,6.8,3.0,101.6,31,251,4.86,7.6,7.28,7.66,7.29,11.4,416,625,66.6,4109,17,50,367,19,83.8,443,1754,4.0,18
75,2015,PHI,405,394,478,16,7,9,0,.438,377,430,-53,405,623,218,65.0,4087,23,18,3.7,2.9,85.6,37,254,5.61,6.6,6.19,6.00,5.66,10.1,394,633,62.2,4273,36,37,243,15,92.8,478,2153,4.5,10
76,2024,KAN,404,375,418,17,15,2,0,.882,385,326,59,404,600,196,67.3,3780,26,11,4.3,1.8,93.1,41,266,6.40,6.3,5.90,6.34,5.94,9.4,375,569,65.9,3720,24,39,250,13,90.6,418,1731,4.1,13
77,2021,MIA,404,373,425,17,9,8,0,.529,341,373,-32,404,615,211,65.7,3651,21,14,3.4,2.3,85.4,40,285,6.11,5.9,5.57,5.60,5.25,9.0,373,608,61.3,3871,23,48,380,14,85.4,425,1867,4.4,16
78,2015,NWE,404,361,397,16,12,4,0,.750,465,315,150,404,629,225,64.2,4587,36,7,5.7,1.1,101.9,38,225,5.70,7.3,6.88,7.94,7.48,11.4,361,596,60.6,3852,24,49,358,12,87.0,397,1578,4.0,8
79,2016,GNB,403,370,376,16,10,6,0,.625,432,388,44,403,620,217,65.0,4199,40,8,6.5,1.3,102.3,35,246,5.34,6.8,6.41,7.48,7.08,10.4,370,571,64.8,4308,32,40,295,17,95.9,376,1515,4.0,11
80,2007,NWE,403,314,360,16,16,0,0,1.000,589,274,315,403,586,183,68.8,4731,50,9,8.5,1.5,116.0,21,128,3.46,8.1,7.79,9.09,8.77,11.7,314,526,59.7,3041,23,47,340,19,78.1,360,1572,4.4,7
81,2021,GNB,402,379,395,17,13,4,0,.765,450,371,79,402,593,191,67.8,4315,39,7,6.6,1.2,107.4,33,211,5.27,7.3,6.89,8.06,7.64,10.7,379,603,62.9,3724,31,39,297,18,86.9,395,1855,4.7,13
82,2020,CHI,402,350,438,16,8,8,0,.500,372,370,2,402,614,212,65.5,3655,26,16,4.2,2.6,86.5,36,270,5.54,6.0,5.62,5.63,5.32,9.1,350,547,64.0,3705,28,35,234,10,94.9,438,1814,4.1,11
83,2012,DEN,402,321,404,16,13,3,0,.813,481,289,192,402,588,186,68.4,4534,37,11,6.3,1.9,105.3,21,137,3.45,7.7,7.44,8.13,7.85,11.3,321,559,57.4,3194,25,52,364,16,79.4,404,1458,3.6,5
