Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank▲,OvRank
338,Carlos Hyde,JAX,RB,31,12,2,0,0,0,0,0,72,253,3.51,1,21,12,65,5.42,0,2,2,1,,,34,45.8,50.8,39.8,,84,
339,Josh Rosen,ATL,QB,24,4,0,2,11,19,0,2,0,0,,0,0,0,0,,0,0,0,0,,,-3,-3.2,-1.2,-1.2,,85,
340,Josh Oliver,BAL,TE,24,14,1,0,0,0,0,0,0,0,,0,15,9,66,7.33,0,1,0,0,,,7,15.6,15.6,11.1,,85,
341,Le'Veon Bell,2TM,RB,29,8,0,0,0,0,0,0,39,101,2.59,2,7,5,30,6,1,0,0,3,1,,33,38.1,41.1,35.6,,85,
342,Rondale Moore,ARI,WR,21,14,7,0,0,0,0,0,18,76,4.22,0,64,54,435,8.06,1,3,1,1,,,55,109.1,113.1,82.1,,85,
343,Luke Farrell,JAX,TE,24,15,4,0,0,0,0,0,0,0,,0,11,7,56,8,0,1,0,0,,,6,12.6,12.6,9.1,,86,
344,Ty'Son Williams,BAL,RB,25,13,3,0,0,0,0,0,35,185,5.29,1,12,9,84,9.33,0,1,0,1,,,33,41.9,44.9,37.4,,86,
345,Kenny Golladay,NYG,WR,28,14,14,0,0,0,0,0,0,0,,0,76,37,521,14.08,0,0,0,0,,,52,89.1,92.1,70.6,,86,
346,Charlie Woerner,SFO,TE,24,17,3,0,0,0,0,0,0,0,,0,6,5,52,10.4,0,0,0,0,,,5,10.2,10.2,7.7,,87,
347,Ke'Shawn Vaughn,TAM,RB,24,12,1,0,0,0,0,0,36,180,5,2,8,4,26,6.5,0,0,0,2,,,33,36.6,39.6,34.6,,87,
348,Jamal Agnew,JAX,WR,26,10,2,0,0,0,0,0,7,111,15.86,1,39,24,229,9.54,1,1,0,3,,,52,76,82,64,,87,
349,Tre' McKitty,LAC,TE,22,11,4,0,0,0,0,0,0,0,,0,8,6,45,7.5,0,0,0,0,,,5,10.5,10.5,7.5,,88,
350,Demetric Felton,CLE,RB,23,16,2,0,0,0,0,0,7,24,3.43,0,21,18,181,10.06,2,4,0,2,,,33,50.5,53.5,41.5,,88,
351,Josh Reynolds,2TM,WR,26,12,5,0,0,0,0,0,0,0,,0,49,29,396,13.66,2,0,0,2,,,52,80.6,83.6,66.1,,88,
352,Darren Fells,2TM,TE,35,9,5,0,0,0,0,0,0,0,,0,5,4,43,10.75,0,0,0,0,,,4,8.3,8.3,6.3,,89,
353,Craig Reynolds,DET,RB,25,5,2,0,0,0,0,0,55,230,4.18,0,8,7,52,7.43,0,0,0,0,,,28,35.2,38.2,31.7,,89,
354,T.Y. Hilton,IND,WR,32,10,9,0,0,0,0,0,0,0,,0,37,23,331,14.39,3,0,0,3,,,51,74.1,77.1,62.6,,89,
355,Parker Hesse,ATL,TE,26,8,1,0,0,0,0,0,0,0,,0,6,5,43,8.6,0,0,0,0,,,4,9.3,9.3,6.8,,90,
