player,team,py_games_played,games_played,pas_att_rat,cmp_rat,pas_yds_rat,pas_tds_rat,int_rat
Zach Wilson,NYJ,13,9,25.681151293309412,13.330189577093703,177.783349827696,0.5675735403466091,0.8112979621666191
Trace McSorley,ARI,0,3,22.85868292489081,10.034977419951849,158.41237198942994,0.4861506518931258,1.2086506518931257
Brett Rypien,DEN,0.2,3,23.503586602330802,11.656615980486356,157.76301586441406,0.4882663868055389,1.0579918770016177
Desmond Ridder,ATL,0,2,20.071922979212516,9.084696495403808,134.91704180267544,0.412713814764472,0.812713814764472
Russell Wilson,DEN,14.000000000000002,13,31.258334367640668,20.052704188809543,239.1299718136032,1.394801035402601,-0.16488405401778244
Kenny Pickett,PIT,0,10,27.034620319441665,16.200435647639893,185.73929428769097,0.4141255022848103,1.2037921689514766
Malik Willis,TEN,0,4,15.34793158822277,5.759912005627801,102.30311404001503,0.3773902166423748,0.9798902166423746
Carson Wentz,WAS,17,7,35.51502797014268,22.501703799227013,236.9211058332694,1.6913541124008924,0.15663352416559806
Gardner Minshew,PHI,2.4000000000000004,1,27.38691166513861,18.15352264139941,213.60380171841396,1.7119208780845983,1.045254211417932
Nick Foles,IND,1,1,33.951784901554056,23.063043150355448,230.959905314963,0.8802513135681233,1.1846630782740055
Chris Streveler,NYJ,0.4,1,22.196930905033437,15.1553117841501,146.10036306678933,0.5486876933953918,0.9486876933953918
Jalen Hurts,PHI,15,14,30.22192796777919,20.385753116623142,249.32287714355223,1.3017668994310787,-0.10972144555726718
Ryan Tannehill,TEN,17,12,29.24954836636647,19.94238966286417,231.9811635276232,1.1459720328043086,0.3065671754068038
Colt McCoy,ARI,4,4,28.81960530407206,21.764771486434952,200.173722980062,0.5589505017030137,0.9129823644481116
Mitchell Trubisky,PIT,1.2000000000000002,7,22.72477953822495,12.145216813565195,172.57893796234583,0.5249876783489189,0.9433744430548012
Matt Ryan,IND,17,12,37.325805008406576,25.861740026387302,249.52660347326884,1.099738609227963,0.5969571921156638
Mike White,NYJ,3.2,3,43.46544134281548,28.801849128295817,324.14097639933624,1.518642262673685,2.307730497967803
Anthony Brown,BAL,0,1,18.09861350421543,7.767634323446983,135.4682216536225,0.5607619443946541,0.960761944394654
Marcus Mariota,ATL,2,13,17.0517947057124,8.726899843457465,142.4987149401259,0.7252959457719348,0.787863570549118
Kyle Allen,HOU,0.4,2,47.3078467377194,29.739055639898364,282.8299642110117,2.326500197290736,1.004632550231913
John Wolford,LAR,0.6000000000000001,2,21.835453366419458,10.487875188889932,156.47135870312465,0.5344874841207775,1.7530365037286202
Jacoby Brissett,CLE,6.2,11,35.37276242050454,22.50742639818196,232.31627728417175,0.8270521202028367,0.28339055579212635
Jimmy Garoppolo,SF,15,10,30.269626417961163,21.05121570160981,263.85175235199216,1.4898218439479185,0.2516061576734091
Lamar Jackson,BAL,12.000000000000002,11,28.92170188451112,18.781628403755704,215.41991977958605,1.404927512919596,0.4701699371620203
Bryce Perkins,LAR,0,2,18.41123431800819,7.7874836771303855,130.38834175234203,0.5320418876270548,1.0082918876270548
Kyler Murray,ARI,14.000000000000002,10,38.18677024135128,27.01599862140112,257.36597622795875,1.6366554952337344,0.18482992333831
Skylar Thompson,MIA,0,3,20.371176292544508,8.199165193297139,130.79793496751503,0.3972011777278531,0.8997011777278533
Trevor Siemian,CHI,4.4,1,40.699062384338994,23.17078125581912,252.8269402427197,2.3988605841439328,0.8988605841439329
Jordan Love,GB,2,1,31.390301756798827,18.305183127960163,218.6362886397763,1.0621459282353851,1.4617047517647972
Matthew Stafford,LAR,17,9,35.6439422416758,24.74429942956617,271.14548725095796,2.023972752713553,0.5563052690534229
Nick Mullens,MIN,1,1,29.84998646216964,20.004946086468735,150.10333856946343,0.9635155561727408,0.9635155561727408
P J Walker,CAR,1.8,5,30.48721181251834,17.00655931981231,174.20516162755163,0.5388214006890875,1.5801645379439888
Sam Ehlinger,IND,0.6000000000000001,2,19.05397270980071,9.036662968754952,136.9699631211022,0.4257826503041154,0.9017238267747036
Brandon Allen,CIN,2,1,19.068474821021493,8.605848638134312,142.47979065703845,0.9572294905126996,0.9572294905126996
