player,Position,Team,player_games,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,tgt_per,rec_per,rec_yds_per,rec_tds_per,Pick,rep,tot_tgt_per,tot_rec_per,tot_rec_yds_per,tot_rec_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per
Rashee Rice,WR,KC,NA,NA,NA,NA,NA,0.16188414466230336,0.16188414466230336,0.16188414466230336,0.16188414466230336,55,0.16188414466230336,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.14667736270190293,0.13631453209967728,0.12940529081865895,0.12388684453553048
Sam LaPorta,TE,DET,NA,NA,NA,NA,NA,0.17645777824522493,0.17645777824522493,0.17645777824522493,0.17645777824522496,34,0.17645777824522493,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.13376574685501808,0.12862517975667317,0.12144473538584077,0.1413816920614753
Jahmyr Gibbs,RB,DET,NA,NA,NA,NA,NA,0.12316617384523379,0.12316617384523379,0.12316617384523379,0.12316617384523379,12,0.12316617384523379,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.09336746385181537,0.08977938750180063,0.0847674924838608,0.09868333510794497
Denzel Mims,WR,DET,10,25,11,186,0,0.06778309409888357,0.05238095238095238,0.08493150684931508,0.03329606706679526,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.05138371510991463,0.03818199165163783,0.05845298789210449,0.02667751089075759
Marvin Jones,WR,DET,16,81,46,529,3,0.14440016778523487,0.1240482233502538,0.14197082596615307,0.1326543580454621,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.10946412497010209,0.09042233890505255,0.09770954595159809,0.10628546832167614
Devine Ozigbo,RB,DET,4,1,1,3,0,0.0074430823117338,0.01231884057971014,0.00354955456570155,0.0040635521214601265,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.005642309872840013,0.008979559301472134,0.002442934050604215,0.003255803628637021
Benny Snell,RB,DET,17,2,2,17,0,0.00350262697022767,0.00549450549450549,0.00498387569627675,0.002198220136360416,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.0026552046460423585,0.004005104019402566,0.00343008662553322,0.0017612603167333181
Latavius Murray,RB,BUF,13,35,27,132,0,0.08105680362031017,0.09735856560501112,0.04663783842763561,0.039531769588592766,NA,NA,1.4535522732389392,1.4156821574993206,1.5078105593150974,1.330689249323001,0.05576462925526024,0.06877148595062225,0.03093083420825771,0.02970773951071212
Stefon Diggs,WR,BUF,16,154,108,1429,11,0.2850609756097561,0.31786703601108035,0.3677191813998547,0.3226815031583723,NA,NA,1.4535522732389392,1.4156821574993206,1.5078105593150974,1.330689249323001,0.1961133292953799,0.22453276982212225,0.24387624766793395,0.242492004292166
Trent Sherfield,WR,BUF,17,51,30,417,2,0.08732876712328767,0.08152173913043477,0.09244070050986478,0.07663785603470694,NA,NA,1.4535522732389392,1.4156821574993206,1.5078105593150974,1.330689249323001,0.06007955044416371,0.057584775437472376,0.06130790100836985,0.057592601784148385
