player,team,pos,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Cole Kmet,CHI,TE,17,17,0,0,0,0,0.11764705882352941,0.5294117647058824,0,4.0588235294117645,2.9411764705882355,32,0.4117647058823529,0,0.058823529411764705,0.01913930875132377,3.1176470588235294,0.00613902356174536
Gabriel Davis,BUF,WR,15,15,0,0,0,0,0,0,0,6.2,3.2,55.733333333333334,0.4666666666666667,0,0.06666666666666667,0.04169121658483361,3.2666666666666666,0.012762617321887838
Christian Watson,GNB,WR,14,11,0,0,0,0,0.5,5.714285714285714,0.14285714285714285,4.714285714285714,2.9285714285714284,43.642857142857146,0.5,0,0,0,3.5,0
Justin Herbert,LAC,QB,17,17,28.058823529411764,41.11764705882353,278.7647058823529,1.4705882352941178,3.176470588235294,8.647058823529411,0,0.11764705882352941,0.11764705882352941,-0.5882352941176471,0,0.5882352941176471,0.47058823529411764,0.20605564648117838,3.3529411764705883,0.06145519281017601
Juwan Johnson,NOR,TE,16,12,0,0,0,0,0,0,0,4.0625,2.625,31.75,0.4375,0,0,0,2.6875,0
Chris Godwin,TAM,WR,15,13,0,0,0,0,0.2,0.3333333333333333,0,9.466666666666667,6.933333333333334,68.2,0.2,0,0.13333333333333333,0.08338243316966722,7.2,0.011580893495787113
David Montgomery,CHI,RB,16,16,0,0,0,0,12.5625,50.0625,0.3125,2.5,2.125,19.75,0.0625,0,0.125,0.07817103109656301,14.75,0.005299730921800882
D Andre Swift,DET,RB,14,8,0,0,0,0,7.071428571428571,38.714285714285715,0.35714285714285715,5,3.4285714285714284,27.785714285714285,0.21428571428571427,0,0.07142857142857142,0.023240589198036007,10.571428571428571,0.0021984341133277304
Tyler Allgeier,ATL,RB,16,7,0,0,0,0,13.125,64.6875,0.1875,1.0625,1,8.6875,0.0625,0,0,0,14.1875,0
Michael Pittman,IND,WR,16,16,0,0,0,0,0.1875,1.875,0,8.8125,6.1875,57.8125,0.25,0,0.125,0.05942103109656301,6.4375,0.009230451432475808
Zay Jones,JAX,WR,16,15,0,0,0,0,0.25,1.125,0,7.5625,5.125,51.4375,0.3125,0,0,0,5.4375,0
Dawson Knox,BUF,TE,15,15,0,0,0,0,0,0,0,4.333333333333333,3.2,34.46666666666667,0.4,0,0,0,3.2666666666666666,0
Dallas Goedert,PHI,TE,12,12,0,0,0,0,0,0,0,5.75,4.583333333333333,58.5,0.25,0,0.08333333333333333,0.05211402073104201,4.666666666666667,0.011167290156651858
Tom Brady,TAM,QB,17,17,28.823529411764707,43.11764705882353,276.11764705882354,1.4705882352941178,1.7058823529411764,-0.058823529411764705,0.058823529411764705,0.058823529411764705,0,0,0,0.5294117647058824,0.29411764705882354,0.1662847790507365,1.7647058823529411,0.09422804146208401
Aaron Rodgers,GNB,QB,17,17,20.58823529411765,31.88235294117647,217.35294117647058,1.5294117647058822,2,5.529411764705882,0.058823529411764705,0,0,0,0,0.7058823529411765,0.47058823529411764,0.2237027053047078,2.0588235294117645,0.1086555997194295
Lamar Jackson,BAL,QB,12.000000000000002,12,16.916666666666664,27.166666666666664,186.83333333333331,1.4166666666666665,9.333333333333332,63.66666666666666,0.24999999999999997,0,0,0,0,0.5833333333333333,0.41666666666666663,0.18557010365521004,9.416666666666666,0.019706559680199298
Tua Tagovailoa,MIA,QB,13,13,19.923076923076923,30.76923076923077,272.9230769230769,1.9230769230769231,1.7692307692307692,5.384615384615385,0,0,0,0,0,0.6153846153846154,0.46153846153846156,0.173246884048848,1.8461538461538463,0.093842062193126
Russell Wilson,DEN,QB,15,15,19.466666666666665,32.2,234.93333333333334,1.0666666666666667,3.6666666666666665,18.466666666666665,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0.7333333333333333,0.4,0.17014729950900162,3.8,0.04477560513394779
Derek Carr,LVR,QB,15,15,20.333333333333332,33.46666666666667,234.8,1.6,1.6,6.8,0,0,0,0,0,0.9333333333333333,0.26666666666666666,0.08676486633933442,1.6666666666666667,0.05205891980360065
Kyler Murray,ARI,QB,11,11,23.545454545454547,35.45454545454545,215.27272727272728,1.2727272727272727,6.090909090909091,38,0.2727272727272727,0,0,0,0,0.6363636363636364,0.7272727272727273,0.2911769081981848,6.181818181818182,0.047102146914412245
Dak Prescott,DAL,QB,12.000000000000002,12,21.749999999999996,32.83333333333333,238.3333333333333,1.9166666666666663,3.7499999999999996,15.166666666666664,0.08333333333333331,0,0,0,0,1.2499999999999998,0.33333333333333326,0.13345608292416802,3.8333333333333326,0.034814630328043834
Marcus Mariota,ATL,QB,13,13,14.153846153846153,23.076923076923077,170.69230769230768,1.1538461538461537,6.538461538461538,33.69230769230769,0.3076923076923077,0,0,0,0,0.6923076923076923,0.6153846153846154,0.2694573838600025,6.615384615384615,0.04073193011837247
Davis Mills,HOU,QB,15,15,19.466666666666665,31.933333333333334,207.86666666666667,1.1333333333333333,2.1333333333333333,7.2,0.13333333333333333,0,0,0,0,1,0.5333333333333333,0.23352973267866883,2.2,0.10614987849030402
Andy Dalton,NOR,QB,14.000000000000002,14,17.999999999999996,26.999999999999996,205.07142857142856,1.2857142857142856,2.142857142857143,3.8571428571428568,0,0,0,0,0,0.6428571428571428,0.3571428571428571,0.13763151741875146,2.214285714285714,0.062156169156855505
Mac Jones,NWE,QB,14.000000000000002,14,20.57142857142857,31.571428571428566,214.07142857142856,0.9999999999999999,3.3571428571428568,7.285714285714285,0.07142857142857142,0,0,0,0,0.7857142857142856,0.3571428571428571,0.13763151741875146,3.428571428571428,0.04014252591380251
Jacoby Brissett,CLE,QB,12,11,19.666666666666668,30.75,217.33333333333334,1,4.083333333333333,20.25,0.16666666666666666,0,0,0,0,0.5,0.5,0.26268412438625205,4.166666666666667,0.0630441898527005
Jimmy Garoppolo,SFO,QB,10.2,10,20.294117647058826,30.196078431372552,238.921568627451,1.5686274509803924,2.2549019607843137,3.235294117647059,0.19607843137254904,0,0,0,0,0.3921568627450981,0.29411764705882354,0.15452007316838356,2.3529411764705883,0.06567103109656301
Ryan Tannehill,TEN,QB,12.000000000000002,12,17.666666666666664,27.08333333333333,211.33333333333331,1.0833333333333333,2.833333333333333,8.166666666666666,0.16666666666666663,0,0,0,0,0.49999999999999994,0.24999999999999997,0.131342062193126,2.916666666666666,0.04503156418050035
Matt Ryan,IND,QB,12.000000000000002,12,25.749999999999996,38.416666666666664,254.74999999999997,1.1666666666666665,2.2499999999999996,5.833333333333332,0.08333333333333331,0,0,0,0,1.0833333333333333,1.2499999999999998,0.53171031096563,2.333333333333333,0.22787584755669862
Kenny Pickett,PIT,QB,12.200000000000001,12,20.08196721311475,31.88524590163934,197.04918032786884,0.5737704918032787,4.508196721311475,19.42622950819672,0.24590163934426226,0,0,0,0,0.7377049180327868,0.32786885245901637,0.1312682782860669,4.590163934426229,0.028597732055178866
AJ Dillon,GNB,RB,17,3,0,0,0,0,10.941176470588236,45.294117647058826,0.4117647058823529,2.5294117647058822,1.6470588235294117,12.117647058823529,0,0,0.058823529411764705,0.01913930875132377,12.647058823529411,0.0015133406919651353
Jerick McKinnon,KAN,RB,17,0,0,0,0,0,4.235294117647059,17.11764705882353,0.058823529411764705,4.176470588235294,3.2941176470588234,30.11764705882353,0.5294117647058824,0,0.058823529411764705,0.03678636757485318,7.588235294117647,0.004847815881957396
Devin Singletary,BUF,RB,16,16,0,0,0,0,11.0625,51.1875,0.3125,3.25,2.375,17.5,0.0625,0,0.1875,0.1172565466448445,13.5,0.008685670121840334
Raheem Mostert,MIA,RB,16,14,0,0,0,0,11.3125,55.6875,0.1875,2.625,1.9375,12.625,0.125,0,0.0625,0.039085515548281505,13.3125,0.0029360011679460283
Jeff Wilson,2TM,RB,16,7,0,0,0,0,11,53.75,0.3125,2.3125,1.375,11.5625,0.0625,0,0.1875,0.09850654664484451,12.4375,0.007920124353354333
Dameon Pierce,HOU,RB,13,13,0,0,0,0,16.923076923076923,72.23076923076923,0.3076923076923077,3,2.3076923076923075,12.692307692307692,0.07692307692307693,0,0.3076923076923077,0.14626715346846278,19.307692307692307,0.007575589621872575
Cordarrelle Patterson,ATL,RB,13,11,0,0,0,0,11.076923076923077,53.46153846153846,0.6153846153846154,2.3846153846153846,1.6153846153846154,9.384615384615385,0,0,0.07692307692307693,0.048105249905577234,12.76923076923077,0.0037672786070632775
Cam Akers,LAR,RB,15,9,0,0,0,0,12.533333333333333,52.4,0.4666666666666667,1.2,0.8666666666666667,7.8,0,0,0.13333333333333333,0.08338243316966722,13.466666666666667,0.006191764839331724
Latavius Murray,2TM,RB,13,7,0,0,0,0,13.153846153846153,58.46153846153846,0.46153846153846156,2.6923076923076925,2.076923076923077,10.153846153846153,0,0,0.07692307692307693,0.02502832682865416,15.307692307692308,0.0016350163254899702
D Onta Foreman,CAR,RB,17,9,0,0,0,0,11.941176470588236,53.76470588235294,0.29411764705882354,0.5294117647058824,0.29411764705882354,1.5294117647058822,0,0,0.058823529411764705,0.01913930875132377,12.294117647058824,0.001556785879294278
Isiah Pacheco,KAN,RB,17,11,0,0,0,0,10,48.8235294117647,0.29411764705882354,0.8235294117647058,0.7647058823529411,7.647058823529412,0,0,0.23529411764705882,0.1118513526523539,10.823529411764707,0.010334092364619653
Baker Mayfield,2TM,QB,10.4,10,19.326923076923077,32.21153846153846,207.98076923076923,0.9615384615384615,2.980769230769231,8.557692307692307,0.09615384615384615,0,0,0,0,0.7692307692307692,0.8653846153846153,0.33926098451466696,3.0769230769230766,0.11025981996726678
Antonio Gibson,WAS,RB,15,6,0,0,0,0,9.933333333333334,36.4,0.2,3.8666666666666667,3.066666666666667,23.533333333333335,0.13333333333333333,0,0.06666666666666667,0.021691216584833604,13.066666666666666,0.0016600420855740004
Jonathan Taylor,IND,RB,11,11,0,0,0,0,17.454545454545453,78.27272727272727,0.36363636363636365,3.6363636363636362,2.5454545454545454,13,0,0,0.2727272727272727,0.17055497693795563,20.09090909090909,0.008489161748043041
Taylor Heinicke,WAS,QB,9,9,17.88888888888889,28.77777777777778,206.55555555555554,1.3333333333333333,3.111111111111111,10.666666666666666,0.1111111111111111,0,0,0,0,0.6666666666666666,0.7777777777777778,0.41973086015639205,3.2222222222222223,0.1302613014278458
Allen Lazard,GNB,WR,15,15,0,0,0,0,0.13333333333333333,0,0,6.666666666666667,4,52.53333333333333,0.4,0,0,0,4.2,0
George Pickens,PIT,WR,17,12,0,0,0,0,0.17647058823529413,1.411764705882353,0.058823529411764705,4.9411764705882355,3.0588235294117645,47.11764705882353,0.23529411764705882,0,0,0,3.2941176470588234,0
Mike Williams,LAC,WR,13,13,0,0,0,0,0,0,0,7.153846153846154,4.846153846153846,68.84615384615384,0.3076923076923077,0,0,0,4.923076923076923,0
Jakobi Meyers,NWE,WR,14,13,0,0,0,0,0.14285714285714285,-0.7857142857142857,0,6.857142857142857,4.785714285714286,57.42857142857143,0.42857142857142855,0,0.14285714285714285,0.08933832125321486,5,0.017867664250642974
Carson Wentz,WAS,QB,7.200000000000001,7,23.888888888888886,38.33333333333333,243.74999999999997,1.5277777777777775,3.055555555555555,11.944444444444443,0.13888888888888887,0,0,0,0,1.2499999999999998,0.8333333333333333,0.3128068739770866,3.1944444444444438,0.0979221518536967
Curtis Samuel,WAS,WR,17,12,0,0,0,0,2.235294117647059,11,0.058823529411764705,5.411764705882353,3.764705882352941,38.588235294117645,0.23529411764705882,0,0.058823529411764705,0.03678636757485318,6.0588235294117645,0.006071536395849554
Deebo Samuel,SFO,WR,13,12,0,0,0,0,3.230769230769231,17.846153846153847,0.23076923076923078,7.230769230769231,4.3076923076923075,48.61538461538461,0.15384615384615385,0,0.23076923076923078,0.12123882663980863,7.615384615384615,0.015920249962803154
Adam Thielen,MIN,WR,17,17,0,0,0,0,0.058823529411764705,0.23529411764705882,0,6.294117647058823,4.117647058823529,42.11764705882353,0.35294117647058826,0,0,0,4.235294117647059,0
Tyler Boyd,CIN,WR,16,14,0.0625,0.0625,1.4375,0,0,0,0,5.125,3.625,47.625,0.3125,0,0,0,3.6875,0
Khalil Herbert,CHI,RB,13,1,0,0,0,0,9.923076923076923,56.23076923076923,0.3076923076923077,0.9230769230769231,0.6923076923076923,4.384615384615385,0.07692307692307693,0,0,0,10.692307692307692,0
Matthew Stafford,LAR,QB,9,9,22.88888888888889,33.666666666666664,231.88888888888889,1.1111111111111112,1.4444444444444444,1,0.1111111111111111,0,0,0,0,0.8888888888888888,0.5555555555555556,0.28076013820694673,1.5555555555555556,0.18048866027589433
Drake London,ATL,WR,17,15,0,0,0,0,0,0,0,6.882352941176471,4.235294117647059,50.94117647058823,0.23529411764705882,0,0.17647058823529413,0.11035910272455952,4.294117647058823,0.02570006501804811
JuJu Smith Schuster,KAN,WR,16,14,0,0,0,0,0,0,0,6.3125,4.875,58.3125,0.1875,0,0.1875,0.09850654664484451,4.9375,0.019950692991360913
Donovan Peoples Jones,CLE,WR,17,14,0,0,0,0,0.058823529411764705,0.11764705882352941,0,5.647058823529412,3.588235294117647,49.35294117647059,0.17647058823529413,0,0.058823529411764705,0.03678636757485318,3.7058823529411766,0.009926480139246097
Brock Purdy,SFO,QB,5.8,5,19.655172413793103,29.310344827586206,236.89655172413794,2.241379310344828,3.793103448275862,2.241379310344828,0.1724137931034483,0,0,0,0,0.6896551724137931,0,0,3.9655172413793105,0
Samaje Perine,CIN,RB,16,2,0,0,0,0,5.9375,24.625,0.125,3.1875,2.375,17.9375,0.25,0,0,0,8.375,0
Brian Robinson,WAS,RB,12,9,0,0,0,0,17.083333333333332,66.41666666666667,0.16666666666666666,1,0.75,5,0.08333333333333333,0,0.16666666666666666,0.054228041462084015,17.916666666666668,0.0030266813839302706
