,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,PAT,PAT,,FG,FG,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Fmb,FR,Yds,FRTD,FF,Pos.,-9999
124,K.J. Osborn,67.7,0,0,4,0,0,Sun,1,1,2022-09-11,25-093,MIN,,GNB,W 23-7,0,0,,0,,,4,3,14,4.7,0,75.0,3.5,,25.0,42,67.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,OsboKJ00
125,Derrick Henry,67.7,0,21,1,0,1,Sun,1,1,2022-09-11,28-250,TEN,,NYG,L 20-21,21,82,3.9,0,1,47.6,1,0,0,,0,0.0,0.0,0,0.0,44,67.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,0,0,0,RB,HenrDe00
126,Nick Westbrook-Ikhine,67.7,0,0,2,0,0,Sun,1,1,2022-09-11,25-174,TEN,,NYG,L 20-21,0,0,,0,0,,2,1,13,13.0,0,50.0,6.5,1,50.0,44,67.7,0,0.0,1,3.6,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WestNi00
127,Will Dissly,67.3,0,0,3,0,0,Mon,1,1,2022-09-12,26-066,SEA,,DEN,W 17-16,0,0,,0,0,,3,3,43,14.3,1,100.0,14.3,1,33.3,37,67.3,0,0.0,7,36.8,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,DissWi00
128,Sammy Watkins,67.2,0,0,3,0,0,Sun,1,1,2022-09-11,29-089,GNB,@,MIN,L 7-23,0,0,,0,0,,3,3,18,6.0,0,100.0,6.0,2,100.0,41,67.2,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WatkSa00
129,Nico Collins,67.1,0,0,3,0,0,Sun,1,1,2022-09-11,23-176,HOU,,IND,T 20-20 (OT),0,0,,0,0,,3,2,26,13.0,0,66.7,8.7,1,33.3,47,67.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,CollNi00
130,Tyreek Hill,66.7,0,1,12,0,1,Sun,1,1,2022-09-11,28-194,MIA,,NWE,W 20-7,1,6,6.0,0,0,100.0,12,8,94,11.8,0,66.7,7.8,5,58.3,40,66.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,HillTy00
131,Albert Okwuegbunam,66.7,0,0,6,0,0,Mon,1,1,2022-09-12,24-140,DEN,@,SEA,L 16-17,0,0,,0,0,,6,5,33,6.6,0,83.3,5.5,2,83.3,44,66.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,OkwuAl00
132,D'Andre Swift,66.7,0,15,3,0,0,Sun,1,1,2022-09-11,23-240,DET,,PHI,L 35-38,15,144,9.6,1,5,53.3,3,3,31,10.3,0,100.0,10.3,2,66.7,46,66.7,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,SwifDA00
133,Jaylen Waddle,66.7,0,1,5,0,0,Sun,1,1,2022-09-11,23-290,MIA,,NWE,W 20-7,1,8,8.0,0,0,100.0,5,4,69,17.3,1,80.0,13.8,3,80.0,40,66.7,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WaddJa00
134,Rashod Bateman,66.1,0,0,5,0,0,Sun,1,1,2022-09-11,22-286,BAL,@,NYJ,W 24-9,0,0,,0,0,,5,2,59,29.5,1,40.0,11.8,1,40.0,37,66.1,0,0.0,1,3.7,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,BateRa00
135,Ian Thomas,66.0,0,0,3,0,0,Sun,1,1,2022-09-11,26-097,CAR,,CLE,L 24-26,0,0,,0,0,,3,2,53,26.5,0,66.7,17.7,2,66.7,35,66.0,0,0.0,12,37.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,ThomIa00
136,Pharaoh Brown,65.7,0,0,1,0,0,Sun,1,1,2022-09-11,28-130,HOU,,IND,T 20-20 (OT),0,0,,0,0,,1,1,17,17.0,0,100.0,17.0,1,100.0,46,65.7,0,0.0,4,12.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,BrowPh01
137,JuJu Smith-Schuster,65.7,0,0,8,0,2,Sun,1,1,2022-09-11,25-293,KAN,@,ARI,W 44-21,0,0,,0,0,,8,6,79,13.2,0,75.0,9.9,3,75.0,46,65.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,0,0,0,0,WR,SmitJu00
138,Gerald Everett,65.7,0,0,4,0,0,Sun,1,1,2022-09-11,28-078,LAC,,LVR,W 24-19,0,0,,0,0,,4,3,54,18.0,1,75.0,13.5,2,75.0,44,65.7,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,EverGe00
139,Christian Watson,65.6,0,1,4,0,0,Sun,1,1,2022-09-11,23-122,GNB,@,MIN,L 7-23,1,7,7.0,0,0,100.0,4,2,34,17.0,0,50.0,8.5,1,50.0,40,65.6,0,0.0,1,4.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WatsCh00
140,David Montgomery,65.5,0,17,4,0,0,Sun,1,1,2022-09-11,25-096,CHI,,SFO,W 19-10,17,26,1.5,0,0,11.8,4,3,24,8.0,0,75.0,6.0,1,25.0,38,65.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,MontDa01
141,Cordarrelle Patterson,65.3,0,22,5,0,0,Sun,1,1,2022-09-11,31-178,ATL,,NOR,L 26-27,22,120,5.5,1,10,72.7,5,3,16,5.3,0,60.0,3.2,1,40.0,49,65.3,0,0.0,5,15.6,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,PattCo00
142,Johnny Mundt,64.5,0,0,3,0,0,Sun,1,1,2022-09-11,27-292,MIN,,GNB,W 23-7,0,0,,0,0,,3,3,17,5.7,0,100.0,5.7,1,66.7,40,64.5,0,0.0,5,21.7,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,MundJo00
143,Stefon Diggs,64.4,0,0,9,0,0,Thu,1,1,2022-09-08,28-283,BUF,@,LAR,W 31-10,0,0,,0,0,,9,8,122,15.3,1,88.9,13.6,5,77.8,38,64.4,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,DiggSt00
144,Travis Kelce,64.3,0,0,9,0,0,Sun,1,1,2022-09-11,32-341,KAN,@,ARI,W 44-21,0,0,,0,0,,9,8,121,15.1,1,88.9,13.4,7,88.9,45,64.3,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,KelcTr00
145,Patrick Ricard,64.3,0,0,1,0,0,Sun,1,1,2022-09-11,28-107,BAL,@,NYJ,W 24-9,0,0,,0,,,1,1,7,7.0,0,100.0,7.0,,100.0,36,64.3,0,0.0,2,7.4,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,FB,RicaPa00
146,Parker Hesse,64.0,0,0,2,0,0,Sun,1,1,2022-09-11,27-108,ATL,,NOR,L 26-27,0,0,,0,0,,2,1,5,5.0,0,50.0,2.5,1,50.0,48,64.0,0,0.0,13,40.6,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,HessPa00
147,Antonio Gibson,63.6,0,14,8,0,0,Sun,1,1,2022-09-11,24-080,WAS,,JAX,W 28-22,14,58,4.1,0,5,57.1,8,7,72,10.3,0,87.5,9.0,3,75.0,49,63.6,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,GibsAn00
148,Chase Edmonds,63.3,0,12,4,0,0,Sun,1,1,2022-09-11,26-151,MIA,,NWE,W 20-7,12,25,2.1,0,0,41.7,4,4,40,10.0,0,100.0,10.0,3,75.0,38,63.3,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,EdmoCh00
149,Durham Smythe,63.3,0,0,2,0,0,Sun,1,1,2022-09-11,27-033,MIA,,NWE,W 20-7,0,0,,0,0,,2,1,14,14.0,0,50.0,7.0,1,50.0,38,63.3,0,0.0,14,73.7,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,SmytDu00
150,Logan Thomas,62.3,0,0,6,0,0,Sun,1,1,2022-09-11,31-072,WAS,,JAX,W 28-22,0,0,,0,0,,6,3,45,15.0,0,50.0,7.5,2,50.0,48,62.3,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,ThomLo00
151,Alvin Kamara,62.3,0,9,4,0,0,Sun,1,1,2022-09-11,27-048,NOR,@,ATL,W 27-26,9,39,4.3,0,1,44.4,4,3,7,2.3,0,75.0,1.8,1,25.0,38,62.3,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,KamaAl00
152,Austin Hooper,61.5,0,0,2,0,0,Sun,1,1,2022-09-11,27-317,TEN,,NYG,L 20-21,0,0,,0,,,2,1,6,6.0,0,50.0,3.0,,50.0,40,61.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,HoopAu00
153,Randall Cobb,60.7,0,0,3,0,0,Sun,1,1,2022-09-11,32-020,GNB,@,MIN,L 7-23,0,0,,0,0,,3,2,14,7.0,0,66.7,4.7,2,66.7,37,60.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,CobbRa00
154,Aaron Jones,60.7,0,5,5,0,0,Sun,1,1,2022-09-11,27-283,GNB,@,MIN,L 7-23,5,49,9.8,0,3,60.0,5,3,27,9.0,0,60.0,5.4,1,40.0,37,60.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,JoneAa00
155,Michael Thomas,60.7,0,0,8,0,0,Sun,1,1,2022-09-11,29-192,NOR,@,ATL,W 27-26,0,0,,0,0,,8,5,57,11.4,2,62.5,7.1,4,62.5,37,60.7,0,0.0,0,0.0,2,0,0,,0,0,,0,0,12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ThomMi05
156,KJ Hamler,60.6,0,0,1,0,0,Mon,1,1,2022-09-12,23-066,DEN,@,SEA,L 16-17,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,40,60.6,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,HamlKJ00
157,Josh Jacobs,60.3,0,10,1,0,0,Sun,1,1,2022-09-11,24-212,LVR,@,LAC,L 19-24,10,57,5.7,0,1,70.0,1,1,16,16.0,0,100.0,16.0,1,100.0,35,60.3,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,JacoJo01
158,Jauan Jennings,60.3,0,0,6,0,0,Sun,1,1,2022-09-11,25-063,SFO,@,CHI,L 10-19,0,0,,0,0,,6,4,62,15.5,0,66.7,10.3,2,50.0,41,60.3,0,0.0,6,25.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,JennJa00
159,Zach Ertz,60.0,0,0,4,1,0,Sun,1,1,2022-09-11,31-305,ARI,,KAN,L 21-44,0,0,,0,0,,4,2,14,7.0,1,50.0,3.5,1,50.0,39,60.0,0,0.0,0,0.0,1,0,0,,0,0,,1,0,8,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,ErtzZa00
160,Brevin Jordan,60.0,0,0,2,0,0,Sun,1,1,2022-09-11,22-057,HOU,,IND,T 20-20 (OT),0,0,,0,0,,2,1,5,5.0,0,50.0,2.5,1,50.0,42,60.0,0,0.0,6,18.8,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,JordBr00
161,Olamide Zaccheaus,60.0,0,0,4,0,1,Sun,1,1,2022-09-11,25-050,ATL,,NOR,L 26-27,0,0,,0,0,,4,4,49,12.3,0,100.0,12.3,1,75.0,45,60.0,0,0.0,1,3.1,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,ZaccOl01
162,Tre' McKitty,59.7,0,0,4,0,1,Sun,1,1,2022-09-11,23-242,LAC,,LVR,W 24-19,0,0,,0,,,4,3,24,8.0,0,75.0,6.0,,50.0,40,59.7,0,0.0,10,41.7,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,TE,McKiTr00
163,Michael Carter,59.5,0,10,9,0,0,Sun,1,1,2022-09-11,23-127,NYJ,,BAL,L 9-24,10,60,6.0,0,2,40.0,9,7,40,5.7,0,77.8,4.4,3,55.6,50,59.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,CartMi03
164,Devin Singletary,59.3,0,8,2,0,0,Thu,1,1,2022-09-08,25-005,BUF,@,LAR,W 31-10,8,48,6.0,0,2,62.5,2,2,14,7.0,0,100.0,7.0,2,100.0,35,59.3,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,SingDe00
165,Kenyan Drake,58.9,0,11,1,0,0,Sun,1,1,2022-09-11,28-228,BAL,@,NYJ,W 24-9,11,31,2.8,0,1,36.4,1,1,15,15.0,0,100.0,15.0,1,100.0,33,58.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,DrakKe00
166,Jeff Wilson,58.8,0,9,2,0,0,Sun,1,1,2022-09-11,26-299,SFO,@,CHI,L 10-19,9,22,2.4,0,,33.3,2,2,8,4.0,0,100.0,4.0,,0.0,40,58.8,0,0.0,2,8.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,WilsJe01
167,Najee Harris,58.7,0,10,2,0,0,Sun,1,1,2022-09-11,24-186,PIT,@,CIN,W 23-20 (OT),10,23,2.3,0,1,30.0,2,2,3,1.5,1,100.0,1.5,1,50.0,37,58.7,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,HarrNa00
168,Ezekiel Elliott,58.0,0,10,2,0,0,Sun,1,1,2022-09-11,27-051,DAL,,TAM,L 3-19,10,52,5.2,0,3,60.0,2,1,-3,-3.0,0,50.0,-1.5,0,0.0,40,58.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,ElliEz00
169,Nelson Agholor,57.9,0,0,5,0,1,Sun,1,1,2022-09-11,29-110,NWE,@,MIA,L 7-20,0,0,,0,0,,5,3,28,9.3,0,60.0,5.6,1,40.0,33,57.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,AghoNe00
170,Javonte Williams,57.6,0,7,12,0,1,Mon,1,1,2022-09-12,22-140,DEN,@,SEA,L 16-17,7,43,6.1,0,3,57.1,12,11,65,5.9,0,91.7,5.4,3,50.0,38,57.6,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,RB,WillJa10
171,Romeo Doubs,57.4,0,1,5,0,0,Sun,1,1,2022-09-11,22-151,GNB,@,MIN,L 7-23,1,11,11.0,0,1,100.0,5,4,37,9.3,0,80.0,7.4,1,40.0,35,57.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,DoubRo00
172,Dennis Houston,56.5,0,0,5,0,0,Sun,1,1,2022-09-11,23-140,DAL,,TAM,L 3-19,0,0,,0,,,5,2,16,8.0,0,40.0,3.2,,20.0,39,56.5,0,0.0,9,37.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,HousDe01
173,Noah Fant,56.4,0,0,4,0,0,Mon,1,1,2022-09-12,24-296,SEA,,DEN,W 17-16,0,0,,0,0,,4,3,16,5.3,0,75.0,4.0,1,25.0,31,56.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,FantNo00
174,Kareem Hunt,56.3,0,11,4,0,0,Sun,1,1,2022-09-11,27-036,CLE,@,CAR,W 26-24,11,46,4.2,1,3,45.5,4,4,24,6.0,1,100.0,6.0,2,50.0,45,56.3,0,0.0,0,0.0,2,0,0,,0,0,,0,0,12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,HuntKa00
175,Mecole Hardman,55.7,0,0,6,0,0,Sun,1,1,2022-09-11,24-183,KAN,@,ARI,W 44-21,0,0,,0,0,,6,3,16,5.3,1,50.0,2.7,2,50.0,39,55.7,0,0.0,1,3.7,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,HardMe00
176,Kylen Granson,55.4,0,0,7,0,0,Sun,1,1,2022-09-11,24-168,IND,@,HOU,T 20-20 (OT),0,0,,0,0,,7,3,22,7.3,0,42.9,3.1,1,28.6,51,55.4,0,0.0,9,28.1,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,GranKy00
177,Tony Pollard,55.1,0,6,2,0,0,Sun,1,1,2022-09-11,25-134,DAL,,TAM,L 3-19,6,8,1.3,0,,33.3,2,2,14,7.0,0,100.0,7.0,,0.0,38,55.1,0,0.0,2,8.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,PollTo00
178,John Bates,54.5,0,0,1,0,0,Sun,1,1,2022-09-11,24-309,WAS,,JAX,W 28-22,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,42,54.5,0,0.0,2,8.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,BateJo00
179,Tyler Kroft,54.4,0,0,2,0,0,Sun,1,1,2022-09-11,29-331,SFO,@,CHI,L 10-19,0,0,,0,,,2,1,9,9.0,0,50.0,4.5,,50.0,37,54.4,0,0.0,2,8.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,KrofTy00
180,Mo Alie-Cox,54.3,0,0,2,0,0,Sun,1,1,2022-09-11,28-357,IND,@,HOU,T 20-20 (OT),0,0,,0,0,,2,2,26,13.0,0,100.0,13.0,2,100.0,50,54.3,0,0.0,5,15.6,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,AlieMo00
181,Ryan Griffin,53.4,0,0,2,0,0,Sun,1,1,2022-09-11,32-243,CHI,,SFO,W 19-10,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,31,53.4,0,0.0,13,54.2,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,GrifRy00
182,Quez Watkins,53.2,0,0,0,0,0,Sun,1,1,2022-09-11,24-094,PHI,@,DET,W 38-35,0,0,,0,,,0,0,0,,0,,,,,41,53.2,0,0.0,6,19.4,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WatkQu00
183,Noah Gray,52.9,0,0,2,0,0,Sun,1,1,2022-09-11,23-134,KAN,@,ARI,W 44-21,0,0,,0,0,,2,1,10,10.0,0,50.0,5.0,1,50.0,37,52.9,0,0.0,16,59.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,GrayNo00
184,Nick Chubb,52.5,0,22,1,0,0,Sun,1,1,2022-09-11,26-258,CLE,@,CAR,W 26-24,22,141,6.4,0,6,59.1,1,1,2,2.0,0,100.0,2.0,0,0.0,42,52.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,ChubNi00
185,Miles Sanders,51.9,0,13,2,0,0,Sun,1,1,2022-09-11,25-133,PHI,@,DET,W 38-35,13,96,7.4,1,4,69.2,2,2,9,4.5,0,100.0,4.5,0,50.0,40,51.9,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,SandMi01
186,Devin Duvernay,51.8,0,0,4,0,0,Sun,1,1,2022-09-11,24-364,BAL,@,NYJ,W 24-9,0,0,,0,0,,4,4,54,13.5,2,100.0,13.5,2,100.0,29,51.8,0,0.0,9,33.3,2,0,0,,0,0,,0,0,12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,DuveDe00
187,Julio Jones,51.6,0,2,5,0,0,Sun,1,1,2022-09-11,33-220,TAM,@,DAL,W 19-3,2,17,8.5,0,2,100.0,5,3,69,23.0,0,60.0,13.8,2,60.0,32,51.6,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,JoneJu02
188,Travis Etienne,51.4,0,4,4,0,1,Sun,1,1,2022-09-11,23-228,JAX,@,WAS,L 22-28,4,47,11.8,0,2,50.0,4,2,18,9.0,0,50.0,4.5,1,25.0,36,51.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,RB,EtieTr00
189,Alec Pierce,51.1,0,0,2,0,0,Sun,1,1,2022-09-11,22-132,IND,@,HOU,T 20-20 (OT),0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,47,51.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,PierAl00
190,Marquise Goodwin,50.9,0,0,2,0,0,Mon,1,1,2022-09-12,31-297,SEA,,DEN,W 17-16,0,0,,0,0,,2,2,22,11.0,0,100.0,11.0,1,50.0,28,50.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,GoodMa00
191,AJ Dillon,50.8,0,10,6,0,0,Sun,1,1,2022-09-11,24-132,GNB,@,MIN,L 7-23,10,45,4.5,1,4,60.0,6,5,46,9.2,0,83.3,7.7,2,66.7,31,50.8,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,DillAJ00
192,Austin Ekeler,49.3,0,14,4,0,0,Sun,1,1,2022-09-11,27-117,LAC,,LVR,W 24-19,14,36,2.6,0,0,28.6,4,4,36,9.0,0,100.0,9.0,3,75.0,33,49.3,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,EkelAu00
193,Garrett Wilson,48.8,0,0,8,0,0,Sun,1,1,2022-09-11,22-051,NYJ,,BAL,L 9-24,0,0,,0,0,,8,4,52,13.0,0,50.0,6.5,2,37.5,41,48.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,1,0,0,0,WR,WilsGa00
194,Chris Moore,48.6,0,0,3,0,0,Sun,1,1,2022-09-11,29-087,HOU,,IND,T 20-20 (OT),0,0,,0,0,,3,3,31,10.3,0,100.0,10.3,2,100.0,34,48.6,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,MoorCh00
195,James Robinson,48.6,0,11,2,0,0,Sun,1,1,2022-09-11,24-033,JAX,@,WAS,L 22-28,11,66,6.0,1,3,36.4,2,1,3,3.0,1,50.0,1.5,1,50.0,34,48.6,0,0.0,0,0.0,2,0,0,,0,0,,0,0,12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,RobiJa00
196,Cade Otton,48.4,0,0,0,0,0,Sun,1,1,2022-09-11,23-149,TAM,@,DAL,W 19-3,0,0,,0,,,0,0,0,,0,,,,,30,48.4,0,0.0,12,50.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,OttoCa00
197,Kyle Philips,47.7,0,0,9,0,1,Sun,1,1,2022-09-11,23-086,TEN,,NYG,L 20-21,0,0,,0,0,,9,6,66,11.0,0,66.7,7.3,3,55.6,31,47.7,0,0.0,6,21.4,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,PhilKy01
