,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,PAT,PAT,,FG,FG,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Fmb,FR,Yds,FRTD,FF,Pos.,-9999
25,Dalton Schultz,100.0,0,0,9,0,0,Sun,1,1,2022-09-11,26-062,DAL,,TAM,L 3-19,0,0,,0,0,,9,7,62,8.9,0,77.8,6.9,2,55.6,69,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,SchuDa00
26,Geno Smith,100.0,28,6,0,0,1,Mon,1,1,2022-09-12,31-337,SEA,,DEN,W 17-16,6,14,2.3,0,1,33.3,0,0,0,,0,,,0,,55,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,23,28,5,82.1,195,2,0,0,7.1,0.0,119.5,2,18,6.67,7.0,8.39,7.23,8.5,46.7,1,0,0,0,0,QB,SmitGe00
27,Matthew Stafford,100.0,41,1,0,0,1,Thu,1,1,2022-09-08,34-213,LAR,,BUF,L 10-31,1,2,2.0,0,1,100.0,0,0,0,,0,,,0,,67,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,29,41,12,70.7,240,1,3,0,2.4,7.3,63.1,7,49,14.58,5.9,3.05,1.58,8.3,45.8,1,1,0,0,0,QB,StafMa00
28,Tua Tagovailoa,100.0,33,2,0,0,1,Sun,1,1,2022-09-11,24-193,MIA,,NWE,W 20-7,2,0,0.0,0,0,0.0,0,0,0,,0,,,0,,60,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,23,33,10,69.7,270,1,0,0,3.0,0.0,104.4,3,28,8.33,8.2,8.79,7.28,11.7,52.8,1,0,0,0,0,QB,TagoTu00
29,Ryan Tannehill,100.0,33,2,0,0,0,Sun,1,1,2022-09-11,34-046,TEN,,NYG,L 20-21,2,7,3.5,0,1,50.0,0,0,0,,0,,,0,,65,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,20,33,13,60.6,266,2,0,0,6.1,0.0,106.4,1,0,2.94,8.1,9.27,9.00,13.3,52.9,0,0,0,0,0,QB,TannRy00
30,Mitchell Trubisky,100.0,38,3,0,0,0,Sun,1,1,2022-09-11,28-022,PIT,@,CIN,W 23-20 (OT),3,9,3.0,0,1,33.3,0,0,0,,0,,,0,,63,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,21,38,17,55.3,194,1,0,0,2.6,0.0,78.2,1,2,2.56,5.1,5.63,5.44,9.2,33.3,0,0,0,0,0,QB,TrubMi00
31,Carson Wentz,100.0,41,6,0,0,0,Sun,1,1,2022-09-11,29-255,WAS,,JAX,W 28-22,6,12,2.0,0,0,16.7,0,0,0,,0,,,0,,77,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,27,41,14,65.9,313,4,2,0,9.8,4.9,101.0,1,8,2.38,7.6,7.39,7.02,11.6,50.0,0,0,0,0,0,QB,WentCa00
32,Russell Wilson,100.0,42,1,0,0,0,Mon,1,1,2022-09-12,33-287,DEN,@,SEA,L 16-17,1,2,2.0,0,0,0.0,0,0,0,,0,,,0,,66,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,29,42,13,69.0,340,1,0,0,2.4,0.0,101.3,2,10,4.55,8.1,8.57,7.95,11.7,45.5,0,0,0,0,0,QB,WilsRu00
33,Jameis Winston,100.0,34,2,0,0,0,Sun,1,1,2022-09-11,28-248,NOR,@,ATL,W 27-26,2,9,4.5,0,0,50.0,0,0,0,,0,,,0,,61,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,23,34,11,67.6,269,2,0,0,5.9,0.0,111.0,4,35,10.53,7.9,9.09,7.21,11.7,47.4,0,0,0,0,0,QB,WinsJa00
34,Brandon Aiyuk,98.5,0,1,3,0,0,Sun,1,1,2022-09-11,24-178,SFO,@,CHI,L 10-19,1,7,7.0,0,0,100.0,3,2,40,20.0,0,66.7,13.3,1,66.7,67,98.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,AiyuBr00
35,Gabriel Davis,98.3,0,0,5,0,0,Thu,1,1,2022-09-08,23-160,BUF,@,LAR,W 31-10,0,0,,0,0,,5,4,88,22.0,1,80.0,17.6,3,80.0,58,98.3,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,DaviGa01
36,Michael Pittman Jr.,97.8,0,0,13,0,0,Sun,1,1,2022-09-11,24-341,IND,@,HOU,T 20-20 (OT),0,0,,0,0,,13,9,121,13.4,1,69.2,9.3,7,61.5,90,97.8,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,PittMi01
37,Davis Mills,97.1,37,2,0,0,1,Sun,1,1,2022-09-11,23-325,HOU,,IND,T 20-20 (OT),2,-1,-0.5,0,0,0.0,0,0,0,,0,,,0,,68,97.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,23,37,14,62.2,240,2,0,0,5.4,0.0,98.9,3,18,7.50,6.5,7.57,6.55,10.4,50.0,1,0,0,0,0,QB,MillDa02
