rk,player,st_snp_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp_17,st_percent,pos,x9999
3077,Jake Ferguson,8,Sun,7,7,2022-10-23,23-278,DAL,NA,DET,W 24-6,24,38.1,0,0,8,36.4,TE,FergJa00
3085,Connor Heyward,18,Sun,7,7,2022-10-23,23-274,PIT,@,MIA,L 10-16,5,6.7,0,0,18,69.2,TE,HeywCo00
3164,Deon Jackson,9,Sun,7,7,2022-10-23,23-247,IND,@,TEN,L 10-19,5,7.8,0,0,9,37.5,RB,JackDe02
3171,Donovan Peoples-Jones,3,Sun,7,7,2022-10-23,23-246,CLE,@,BAL,L 20-23,56,93.3,0,0,3,11.1,WR,PeopDo00
3194,Jalen Tolbert,6,Sun,7,7,2022-10-23,23-238,DAL,NA,DET,W 24-6,1,1.6,0,0,6,27.3,WR,TolbJa00
3195,Gary Brightwell,13,Sun,7,7,2022-10-23,23-237,NYG,@,JAX,W 23-17,0,0,0,0,13,59.1,RB,BrigGa00
3197,Isiah Pacheco,13,Sun,7,7,2022-10-23,23-235,KAN,@,SFO,W 44-23,19,29.7,0,0,13,46.4,RB,PachIs00
3212,Cole Kmet,4,Mon,7,7,2022-10-24,23-228,CHI,@,NWE,W 33-14,68,95.8,0,0,4,16,TE,KmetCo00
3221,Montrell Washington,16,Sun,7,7,2022-10-23,23-223,DEN,NA,NYJ,L 9-16,3,3.8,0,0,16,57.1,WR,WashMo00
3292,Cade Otton,6,Sun,7,7,2022-10-23,23-191,TAM,@,CAR,L 3-21,54,80.6,0,0,6,25,TE,OttoCa00
3307,Peyton Hendershot,15,Sun,7,7,2022-10-23,23-183,DAL,NA,DET,W 24-6,19,30.2,0,0,15,68.2,TE,HendPe01
3318,Noah Gray,16,Sun,7,7,2022-10-23,23-176,KAN,@,SFO,W 44-23,37,57.8,0,0,16,57.1,TE,GrayNo00
3362,Dareke Young,15,Sun,7,7,2022-10-23,23-141,SEA,@,LAC,W 37-23,17,23.9,0,0,15,51.7,WR,YounDa02
3363,Raheem Blackshear,16,Sun,7,7,2022-10-23,23-140,CAR,NA,TAM,W 21-3,5,10,0,0,16,66.7,RB,BlacRa00
3372,Chuba Hubbard,6,Sun,7,7,2022-10-23,23-134,CAR,NA,TAM,W 21-3,23,46,0,0,6,25,RB,HubbCh01
3384,Dax Milne,6,Sun,7,7,2022-10-23,23-122,WAS,NA,GNB,W 23-21,26,35.1,0,0,6,20.7,WR,MilnDa00
3430,James Mitchell,7,Sun,6,7,2022-10-23,23-073,DET,@,DAL,L 6-24,6,10.2,0,0,7,31.8,TE,MitcJa00
3451,Chigoziem Okonkwo,15,Sun,6,7,2022-10-23,23-045,TEN,NA,IND,W 19-10,27,45.8,0,0,15,62.5,TE,OkonCh00
3457,Zamir White,5,Sun,6,7,2022-10-23,23-035,LVR,NA,HOU,W 38-20,5,8.9,0,0,5,18.5,RB,WhitZa01
3460,Amari Rodgers,11,Sun,7,7,2022-10-23,23-030,GNB,@,WAS,L 21-23,16,29.6,0,0,11,37.9,WR,RodgAm00
3506,Kyric McGowan,12,Sun,7,7,2022-10-23,22-356,WAS,NA,GNB,W 23-21,1,1.4,0,0,12,41.4,WR,McGoKy00
3519,Trey McBride,24,Thu,7,7,2022-10-20,22-332,ARI,NA,NOR,W 42-34,34,51.5,0,0,24,75,TE,McBrTr01
3520,Hassan Haskins,15,Sun,6,7,2022-10-23,22-331,TEN,NA,IND,W 19-10,4,6.8,0,0,15,62.5,RB,HaskHa00
3579,Michael Woods II,3,Sun,7,7,2022-10-23,22-218,CLE,@,BAL,L 20-23,6,10,0,0,3,11.1,WR,WoodMi00
3596,Isaiah Likely,9,Sun,7,7,2022-10-23,22-188,BAL,NA,CLE,W 23-20,7,10.9,0,0,9,33.3,TE,LikeIs00
3619,Tommy Tremble,13,Sun,7,7,2022-10-23,22-143,CAR,NA,TAM,W 21-3,32,64,0,0,13,54.2,TE,TremTo00
3637,Brevin Jordan,6,Sun,6,7,2022-10-23,22-099,HOU,@,LVR,L 20-38,30,46.2,0,0,6,22.2,TE,JordBr00
3664,Skyy Moore,1,Sun,7,7,2022-10-23,22-043,KAN,@,SFO,W 44-23,14,21.9,0,0,1,3.6,WR,MoorSk01
3670,Daniel Bellinger,4,Sun,7,7,2022-10-23,22-031,NYG,@,JAX,W 23-17,26,33.8,0,0,4,18.2,TE,BellDa00
3686,Tyrion Davis-Price,8,Sun,7,7,2022-10-23,22-000,SFO,NA,KAN,L 23-44,13,16.5,0,0,8,28.6,RB,DaviTy03
3694,David Bell,11,Sun,7,7,2022-10-23,21-313,CLE,@,BAL,L 20-23,34,56.7,0,0,11,40.7,WR,BellDa02
