,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,,PAT,PAT,,FG,FG,,,,,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Fmb,FR,Yds,FRTD,FF,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
225,Trent Sherfield,35.0,0,0,2,0,0,Sun,1,1,2022-09-11,26-198,MIA,,NWE,W 20-7,0,0,,0,,,2,1,8,8.0,0,50.0,4.0,,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,21,35.0,0,0.0,13,68.4,WR,SherTr00
226,Ashton Dulin,34.8,0,0,6,0,0,Sun,1,1,2022-09-11,25-119,IND,@,HOU,T 20-20 (OT),0,0,,0,0,,6,3,46,15.3,0,50.0,7.7,2,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,32,34.8,0,0.0,20,62.5,WR,DuliAs00
227,Travis Homer,34.5,0,1,0,0,0,Mon,1,1,2022-09-12,24-036,SEA,,DEN,W 17-16,1,2,2.0,0,,0.0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,19,34.5,0,0.0,10,52.6,RB,HomeTr00
228,Jody Fortson,34.3,0,0,1,0,0,Sun,1,1,2022-09-11,26-278,KAN,@,ARI,W 44-21,0,0,,0,0,,1,1,1,1.0,1,100.0,1.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,24,34.3,0,0.0,17,63.0,TE,FortJo01
229,Tommy Tremble,34.0,0,0,1,0,0,Sun,1,1,2022-09-11,22-101,CAR,,CLE,L 24-26,0,0,,0,,,1,1,1,1.0,0,100.0,1.0,,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,18,34.0,0,0.0,20,62.5,TE,TremTo00
230,Eno Benjamin,33.8,0,4,4,0,0,Sun,1,1,2022-09-11,23-151,ARI,,KAN,L 21-44,4,28,7.0,0,1,50.0,4,3,33,11.0,0,75.0,8.3,1,75.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,22,33.8,0,0.0,13,48.1,RB,BenjEn00
231,Jamaal Williams,33.3,0,11,2,0,0,Sun,1,1,2022-09-11,27-161,DET,,PHI,L 35-38,11,28,2.5,2,3,63.6,2,1,2,2.0,0,50.0,1.0,0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,0,0,,0,0,,0,0,12,23,33.3,0,0.0,0,0.0,RB,WillJa06
232,Keenan Allen,32.8,0,0,4,0,0,Sun,1,1,2022-09-11,30-137,LAC,,LVR,W 24-19,0,0,,0,0,,4,4,66,16.5,0,100.0,16.5,2,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,22,32.8,0,0.0,0,0.0,WR,AlleKe00
233,Mark Ingram,32.8,0,4,1,0,1,Sun,1,1,2022-09-11,32-264,NOR,@,ATL,W 27-26,4,22,5.5,0,2,75.0,1,1,1,1.0,0,100.0,1.0,0,0.0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,20,32.8,0,0.0,0,0.0,RB,IngrMa01
234,Andy Isabella,32.3,0,0,3,0,0,Sun,1,1,2022-09-11,25-297,ARI,,KAN,L 21-44,0,0,,0,0,,3,1,10,10.0,0,33.3,3.3,1,33.3,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,21,32.3,0,0.0,5,18.5,WR,IsabAn00
