Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
26,Robert Woods,0,0,7,0,0,75.8,Thu,10,11,2022-11-17,30-221,TEN,@,GNB,W 27-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,6,69,11.5,0,85.7,9.9,3,71.4,0,0,0,,0,0,,0,0,0,0,0,0,0,0,50,75.8,0,0.0,0,0.0,WR,WoodRo02
27,Jordan Akins,0,0,3,0,0,46.4,Sun,10,11,2022-11-20,30-215,HOU,,WAS,L 10-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,8,4.0,0,66.7,2.7,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,26,46.4,0,0.0,6,22.2,TE,AkinJo00
28,Keenan Allen,0,0,8,0,1,67.7,Sun,10,11,2022-11-20,30-207,LAC,,KAN,L 27-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,5,94,18.8,0,62.5,11.8,3,62.5,0,0,0,,0,0,,0,0,0,1,0,0,0,0,44,67.7,0,0.0,0,0.0,WR,AlleKe00
29,Jerick McKinnon,0,6,1,0,1,52.3,Sun,10,11,2022-11-20,30-201,KAN,@,LAC,W 30-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,6,24,4.0,0,1,83.3,1,1,0,0.0,0,100.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,1,0,0,0,0,34,52.3,0,0.0,8,27.6,RB,McKiJe00
30,DeAndre Hopkins,0,0,12,0,0,69.0,Mon,11,11,2022-11-21,30-168,ARI,,SFO,L 10-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,12,9,91,10.1,0,75.0,7.6,6,58.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0,WR,HopkDe00
31,Jarvis Landry,0,0,4,1,0,56.1,Sun,11,11,2022-11-20,29-357,NOR,,LAR,W 27-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,33,11.0,1,75.0,8.3,3,75.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,32,56.1,0,0.0,1,3.2,WR,LandJa00
32,Jacoby Brissett,28,7,0,0,1,100.0,Sun,10,11,2022-11-20,29-344,CLE,@,BUF,L 23-31,28,41,13,68.3,324,3,0,0,7.3,0.0,116.3,1,8,2.38,7.9,9.37,8.95,11.6,54.8,7,29,4.1,0,1,28.6,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,-1,0,0,75,100.0,0,0.0,0,0.0,QB,BrisJa00
33,Davante Adams,0,0,13,2,0,98.5,Sun,10,11,2022-11-20,29-331,LVR,@,DEN,W 22-16 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,13,7,141,20.1,2,53.8,10.8,6,46.2,2,0,0,,0,0,,0,0,12,0,0,0,0,0,65,98.5,0,0.0,0,0.0,WR,AdamDa01
34,Tyler Higbee,0,0,8,0,0,92.2,Sun,10,11,2022-11-20,29-323,LAR,@,NOR,L 20-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,4,45,11.3,0,50.0,5.6,2,37.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0,TE,HigbTy00
35,Phillip Dorsett,0,0,1,0,0,25.0,Sun,10,11,2022-11-20,29-319,HOU,,WAS,L 10-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,14,25.0,0,0.0,0,0.0,WR,DorsPh00
36,C.J. Uzomah,0,0,0,0,0,66.0,Sun,10,11,2022-11-20,29-310,NYJ,@,NWE,L 3-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,33,66.0,0,0.0,17,56.7,TE,UzomC.00
37,DeVante Parker,0,0,2,0,0,39.7,Sun,10,11,2022-11-20,29-304,NWE,,NYJ,W 10-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,2,19,9.5,0,100.0,9.5,,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,25,39.7,0,0.0,0,0.0,WR,ParkDe01
38,Damiere Byrd,0,0,2,0,0,34.5,Sun,11,11,2022-11-20,29-297,ATL,,CHI,W 27-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,29,14.5,0,100.0,14.5,2,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,19,34.5,0,0.0,0,0.0,WR,ByrdDa00
39,Stephen Anderson,0,0,1,0,0,14.1,Mon,11,11,2022-11-21,29-295,ARI,,SFO,L 10-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,14.1,0,0.0,14,53.8,TE,AndeSt01
40,Mike Davis,0,0,1,0,0,1.4,Sun,10,11,2022-11-20,29-274,BAL,,CAR,W 13-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,-3,-3.0,0,100.0,-3.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,1.4,0,0.0,0,0.0,RB,DaviMi01
