Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
26,Kyle Juszczyk,36.8,0,0,2,0,0,Sun,1,1,2022-09-11,31-141,SFO,@,CHI,L 10-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,25,36.8,0,0.0,9,37.5,FB,JuszKy00
27,Logan Thomas,62.3,0,0,6,0,0,Sun,1,1,2022-09-11,31-072,WAS,,JAX,W 28-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,3,45,15.0,0,50.0,7.5,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,48,62.3,0,0.0,0,0.0,TE,ThomLo00
28,Cameron Brate,67.7,0,0,3,0,0,Sun,1,1,2022-09-11,31-070,TAM,@,DAL,W 19-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,1,7,7.0,0,33.3,2.3,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,42,67.7,0,0.0,0,0.0,TE,BratCa00
29,Richard Rodgers,3.0,0,0,1,0,0,Sun,1,1,2022-09-11,30-232,LAC,,LVR,W 24-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,3.0,0,0.0,0,0.0,TE,RodgRi00
30,Michael Burton,12.9,0,0,0,0,0,Sun,1,1,2022-09-11,30-222,KAN,@,ARI,W 44-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,9,12.9,0,0.0,14,51.9,RB,BurtMi00
31,Damien Williams,13.3,0,2,0,0,0,Sun,1,1,2022-09-11,30-161,ATL,,NOR,L 26-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,2,1.0,0,,0.0,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,13.3,0,0.0,0,0.0,RB,WillDa05
32,Raheem Mostert,41.7,0,5,1,0,0,Sun,1,1,2022-09-11,30-155,MIA,,NWE,W 20-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,5,16,3.2,0,2,40.0,1,1,16,16.0,0,100.0,16.0,1,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,25,41.7,0,0.0,2,10.5,RB,MostRa00
33,Robert Woods,70.8,0,0,2,0,0,Sun,1,1,2022-09-11,30-154,TEN,,NYG,L 20-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,13,13.0,0,50.0,6.5,1,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,46,70.8,0,0.0,0,0.0,WR,WoodRo02
34,Eric Tomlinson,30.3,0,0,1,0,0,Mon,1,1,2022-09-12,30-143,DEN,@,SEA,L 16-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,20,30.3,0,0.0,0,0.0,TE,TomlEr01
35,Keenan Allen,32.8,0,0,4,0,0,Sun,1,1,2022-09-11,30-137,LAC,,LVR,W 24-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,4,66,16.5,0,100.0,16.5,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,22,32.8,0,0.0,0,0.0,WR,AlleKe00
