Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Joshua Palmer,LAC,WR52,0.3,2.8,0,62.1,787.1,4.7,0.9,105.7
Curtis Samuel,BUF,WR53,11.3,66.7,1,61,663,4.6,0.5,105.5
Brandin Cooks,DAL,WR54,3.4,20.7,0.1,56.5,692.9,5.6,0.5,104.5
Mike Williams,NYJ,WR55,2.3,9.2,0,56.1,752.3,4.8,0.5,104.5
Khalil Shakir,BUF,WR56,0.3,3.2,0,59.2,775.8,4.5,0.2,104.4
Ty Chandler,MIN,RB42,146.6,598.6,4.3,21.1,154.9,0.6,0.8,103.6
Blake Corum,LAR,RB43,138.3,588.5,4.6,19.5,152.3,0.7,1.5,103.1
Evan Engram,JAC,TE10,0,0,0,85.4,787.1,4.4,0.9,103.1
Jakobi Meyers,LV,WR57,2.4,15.6,0.3,64.7,728.3,4.6,0.5,102.9
Keon Coleman,BUF,WR58,1,4.8,0,55.9,745.3,5,1.1,102.7
Rashid Shaheed,NO,WR59,4.3,33.2,0,51.5,742.2,4.2,0.9,101.4
Romeo Doubs,GB,WR60,0,1.5,0,55.8,686.6,5.6,0.5,101.4
Rico Dowdle,DAL,RB44,140,545.2,3.6,23.6,181.1,1.2,0.4,100.7
Tyler Allgeier,ATL,RB45,134.3,549.2,3.8,21.1,167.1,1.2,0.8,100.1
Trey Benson,ARI,RB46,134.3,578.6,3.9,19.1,139.4,0.9,1.5,97.6
DeMario Douglas,NE,WR61,8.4,44.4,0.1,61.7,745.8,3.2,0.9,97.2
Darnell Mooney,ATL,WR62,2.1,12.1,0.1,50.9,703.4,4.2,0.2,96.5
Adam Thielen,CAR,WR63,0.3,3,0,69,695.5,4.5,0.6,95.5
Brock Bowers,LV,TE11,0,0,0,62.9,696.2,4.6,1.1,95.1
Khalil Herbert,CHI,RB47,148.1,596.8,3.4,16.6,114.9,0.9,0.8,95
Antonio Gibson,NE,RB48,119.8,461,2.6,38.1,285.8,1.2,1.4,94.7
Jaleel McLaughlin,DEN,RB49,102.7,498.4,2.7,32.8,215.1,1.2,0.8,93.3
Dallas Goedert,PHI,TE12,0,0,0,65.5,690.7,4,0.5,92.2
Zach Charbonnet,SEA,RB50,117.5,486.4,2.9,31.8,213.2,0.8,0.8,90.5
Ja'Lynn Polk,NE,WR64,0.7,5.8,0,58.7,721,3.2,0.8,90.4
Dontayvion Wicks,GB,WR65,0.3,3.8,0,46.1,615.4,4.8,0.5,89.6
Dalton Schultz,HOU,TE13,0,0,0,56.9,607.8,4.9,0.8,88.4
Taysom Hill,NO,TE14,49.6,296.3,3.2,28.8,272.3,2.1,0.4,87.9
