rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
2333,Brock Wright,48,Sun,6,6,2023-10-15,24-322,DET,@,TAM,W 20-6,43,61.4,0,0,12,48,TE,WrigBr01
2342,Grant Calcaterra,36.4,Sun,6,6,2023-10-15,24-315,PHI,@,NYJ,L 14-20,5,7.1,0,0,8,36.4,TE,CalcGr00
2353,Pierre Strong,61.3,Sun,5,6,2023-10-15,24-309,CLE,NA,SFO,W 19-17,1,1.3,0,0,19,61.3,RB,StroPi00
2388,Salvon Ahmed,20,Sun,6,6,2023-10-15,24-289,MIA,NA,CAR,W 42-21,24,35.8,0,0,6,20,RB,AhmeSa01
2407,Colby Parkinson,34.8,Sun,5,6,2023-10-15,24-280,SEA,@,CIN,L 13-17,33,44.6,0,0,8,34.8,TE,ParkCo02
2411,Tre' McKitty,28,Mon,5,6,2023-10-16,24-277,LAC,NA,DAL,L 17-20,7,9.6,0,0,7,28,TE,McKiTr00
2419,Jaelon Darden,29,Sun,5,6,2023-10-15,24-274,CLE,NA,SFO,W 19-17,0,0,0,0,9,29,WR,DardJa00
2429,Emari Demercado,25.9,Sun,6,6,2023-10-15,24-268,ARI,@,LAR,L 9-26,33,43.4,0,0,7,25.9,RB,DemeEm00
2432,Quintin Morris,57.1,Sun,6,6,2023-10-15,24-267,BUF,NA,NYG,W 14-9,18,29.5,0,0,12,57.1,TE,MorrQu00
2453,Ronnie Rivers,44.4,Sun,6,6,2023-10-15,24-257,LAR,NA,ARI,W 26-9,4,7,0,0,12,44.4,RB,RiveRo01
2479,Charlie Kolar,64.5,Sun,6,6,2023-10-15,24-247,BAL,@,TEN,W 24-16,6,8.5,0,0,20,64.5,TE,KolaCh00
2502,Donovan Peoples-Jones,3.2,Sun,5,6,2023-10-15,24-238,CLE,NA,SFO,W 19-17,61,80.3,0,0,1,3.2,WR,PeopDo00
2517,Jalen Tolbert,84,Mon,6,6,2023-10-16,24-231,DAL,@,LAC,W 20-17,15,23.4,0,0,21,84,WR,TolbJa00
2518,Gary Brightwell,61.9,Sun,6,6,2023-10-15,24-229,NYG,@,BUF,L 9-14,0,0,0,0,13,61.9,RB,BrigGa00
2537,Cole Kmet,11.5,Sun,6,6,2023-10-15,24-219,CHI,NA,MIN,L 13-19,63,95.5,0,0,3,11.5,TE,KmetCo00
2552,Montrell Washington,38.1,Thu,6,6,2023-10-12,24-212,KAN,NA,DEN,W 19-8,0,0,0,0,8,38.1,WR,WashMo00
2597,Cade Otton,8,Sun,5,6,2023-10-15,24-183,TAM,NA,DET,L 6-20,54,96.4,0,0,2,8,TE,OttoCa00
2601,Colton Dowell,45.2,Sun,6,6,2023-10-15,24-179,TEN,NA,BAL,L 16-24,1,1.8,0,0,14,45.2,WR,DoweCo00
2615,Noah Gray,61.9,Thu,6,6,2023-10-12,24-165,KAN,NA,DEN,W 19-8,39,54.9,0,0,13,61.9,TE,GrayNo00
2630,Jordan Mason,54.8,Sun,6,6,2023-10-15,24-144,SFO,@,CLE,L 17-19,15,24.2,0,0,17,54.8,RB,MasoJo00
2642,Raheem Blackshear,26.7,Sun,6,6,2023-10-15,24-132,CAR,@,MIA,L 21-42,12,17.4,0,0,8,26.7,RB,BlacRa00
2648,Chuba Hubbard,3.3,Sun,6,6,2023-10-15,24-126,CAR,@,MIA,L 21-42,53,76.8,0,0,1,3.3,RB,HubbCh01
2650,Jordan Mims,15.4,Sun,6,6,2023-10-15,24-121,NOR,@,HOU,L 13-20,0,0,0,0,4,15.4,RB,MimsJo00
2654,Kyle Philips,9.7,Sun,6,6,2023-10-15,24-120,TEN,NA,BAL,L 16-24,27,49.1,0,0,3,9.7,WR,PhilKy01
2726,Ihmir Smith-Marsette,23.3,Sun,6,6,2023-10-15,24-047,CAR,@,MIA,L 21-42,6,8.7,0,0,7,23.3,WR,SmitIh00
2738,Chigoziem Okonkwo,16.1,Sun,6,6,2023-10-15,24-037,TEN,NA,BAL,L 16-24,40,72.7,0,0,5,16.1,TE,OkonCh00
2739,Josh Whyle,3.2,Sun,6,6,2023-10-15,24-037,TEN,NA,BAL,L 16-24,2,3.6,0,0,1,3.2,TE,WhylJo01
2751,Zamir White,44,Sun,6,6,2023-10-15,24-027,LVR,NA,NWE,W 21-17,4,5.7,0,0,11,44,RB,WhitZa01
2762,Amari Rodgers,58.1,Sun,6,6,2023-10-15,24-022,IND,@,JAX,L 20-37,20,25.6,0,0,18,58.1,WR,RodgAm00
